startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,60.0,437.62,125.0,140.62,150.36,437.62,140.62
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,26.0,171.86,124.99,125.01,140.63,171.86,125.01
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,38.0,437.39,125.0,140.53,250.68,437.39,140.53
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,25.0,265.62,125.0,140.58,265.6,265.62,140.58
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,42.0,437.52,125.0,140.62,171.88,437.52,140.62
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,32.0,421.72,124.99,125.0,156.28,421.72,125.0
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,24.0,436.27,124.99,125.07,421.88,436.27,125.07
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,10.0,125.03,125.0,125.01,125.03,125.03,125.01
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,27.0,437.88,125.04,156.25,390.61,437.88,156.25
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,33.0,437.45,125.0,140.63,421.85,437.45,140.63
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,30.0,437.56,125.0,125.02,437.49,437.56,125.02
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,11.0,1233.48,125.0,437.48,1233.48,1233.48,437.48
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,46.0,1093.36,125.0,126.91,415.8,1093.36,126.91
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,51.0,437.54,125.0,140.62,421.95,437.54,140.62
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,43.0,937.52,124.99,125.02,156.26,937.52,125.02
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,26.0,437.5,125.0,140.59,171.87,437.5,140.59
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,40.0,437.5,125.0,125.01,402.5,437.5,125.01
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,47.0,437.5,124.99,125.01,247.43,437.5,125.01
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,56.0,406.24,125.0,125.05,328.13,406.24,125.05
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,37.0,265.62,125.0,125.01,158.05,265.62,125.01
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,48.0,7687.39,125.01,140.62,437.45,7687.39,140.62
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,21.0,437.49,125.0,125.02,190.41,437.49,125.02
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,46.0,531.24,125.0,156.24,421.95,531.24,156.24
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,48.0,435.17,125.0,125.01,312.6,435.17,125.01
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,49.0,172.42,125.0,125.66,156.23,172.42,125.66
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,39.0,421.85,125.0,140.62,406.25,421.85,140.62
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,34.0,437.41,125.0,140.6,436.08,437.41,140.6
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,58.0,531.24,125.0,140.61,430.03,531.24,140.61
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,33.0,424.77,125.0,125.02,390.61,424.77,125.02
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,35.0,437.48,125.0,140.55,312.5,437.48,140.55
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,56.0,326.33,124.96,125.01,140.66,326.33,125.01
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,43.0,467.56,125.0,140.62,421.87,467.56,140.62
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,31.0,432.26,125.01,140.62,390.61,432.26,140.62
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,54.0,437.51,125.0,125.01,171.87,437.51,125.01
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,47.0,624.99,124.99,125.06,424.94,624.99,125.06
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,34.0,203.12,125.0,125.01,156.29,203.12,125.01
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,36.0,453.08,125.0,125.01,328.11,453.08,125.01
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,69.0,453.11,125.0,125.03,406.25,453.11,125.03
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,46.0,312.49,125.0,125.36,141.18,312.49,125.36
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,28.0,140.6,125.0,125.01,128.28,140.6,125.01
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,43.0,437.51,125.0,156.24,218.75,437.51,156.24
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,17.0,421.87,125.01,157.17,421.87,421.87,157.17
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,37.0,3406.17,125.0,125.01,1343.73,3406.17,125.01
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,21.0,140.62,125.0,125.01,140.62,140.62,125.01
2018-04-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,32.0,311.94,125.0,125.01,264.84,311.94,125.01
2018-04-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,25.0,140.64,124.99,125.0,140.63,140.64,125.0
2018-04-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceOutOfSlaReasons,26.0,140.63,124.99,125.01,140.63,140.63,125.01
