startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,300.0,468.77,125.0,140.62,421.83,437.58,140.62
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,210.0,1015.63,125.0,125.04,218.75,437.51,125.04
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,209.0,2783.0,125.01,140.63,421.8,453.15,140.63
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,242.0,546.54,125.0,135.68,296.87,441.82,135.68
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,310.0,484.46,125.0,140.62,328.15,440.73,140.62
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,217.0,453.12,124.99,125.02,265.63,437.47,125.02
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,218.0,437.51,125.0,131.84,316.04,428.89,131.84
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,153.0,2153.93,125.01,140.62,428.79,439.55,140.62
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,223.0,8062.75,125.0,140.61,437.49,453.14,140.61
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,244.0,499.99,125.01,140.62,425.47,438.46,140.62
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,145.0,453.16,125.01,140.61,421.86,453.14,140.61
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,159.0,10658.32,124.99,125.02,431.21,1640.64,125.02
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,234.0,468.91,125.0,125.42,218.78,437.54,125.42
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,257.0,484.35,125.0,140.61,421.88,439.81,140.61
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,305.0,446.01,125.0,140.58,312.48,437.49,140.58
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,191.0,449.38,125.0,140.52,187.49,441.71,140.52
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,231.0,1882.16,125.0,126.78,386.82,437.49,126.78
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,259.0,437.51,125.0,131.74,265.63,437.5,131.74
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,262.0,515.66,125.0,140.61,203.78,468.74,140.61
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,213.0,4874.55,125.0,125.49,328.17,456.57,125.49
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,240.0,468.74,125.0,140.61,187.53,437.53,140.61
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,165.0,437.5,125.0,140.58,250.0,437.49,140.58
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,265.0,2239.11,125.0,140.61,234.38,437.56,140.61
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,255.0,1968.73,125.0,140.62,421.87,468.7,140.62
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,291.0,473.28,125.0,140.62,312.5,437.5,140.62
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,204.0,439.13,125.0,140.61,421.84,437.5,140.61
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,257.0,687.48,125.0,140.62,332.95,454.39,140.62
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,294.0,593.43,125.0,140.56,218.74,437.49,140.56
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,218.0,7038.21,125.0,125.1,374.99,437.53,125.1
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,245.0,468.78,125.0,140.61,218.75,437.49,140.61
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceRootCauseTree,311.0,1266.45,125.01,140.62,421.88,461.5,140.62
