startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,399.0,453.17,125.0,140.61,234.38,437.5,140.61
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,260.0,562.47,125.0,125.04,236.91,437.47,125.04
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,279.0,875.0,125.0,140.62,421.84,437.53,140.62
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,276.0,468.77,125.0,140.58,265.63,453.13,140.58
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,319.0,2404.1,125.0,140.62,390.61,453.15,140.62
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,232.0,484.23,125.0,125.26,249.99,437.51,125.26
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,209.0,625.01,125.0,125.03,430.69,438.02,125.03
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,167.0,437.56,125.0,140.61,249.98,437.5,140.61
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,281.0,453.11,125.0,128.2,343.76,445.69,128.2
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,266.0,484.38,125.01,140.62,187.62,437.5,140.62
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,196.0,453.14,125.0,125.04,421.9,437.52,125.04
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,128.0,1062.39,124.99,129.36,312.6,437.51,129.36
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,253.0,468.69,125.0,125.51,203.12,437.61,125.51
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,269.0,453.2,125.0,140.59,359.37,437.53,140.59
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,343.0,500.06,125.0,125.06,250.0,437.51,125.06
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,236.0,1187.48,125.0,129.7,312.5,437.52,129.7
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,265.0,1109.35,125.0,140.61,234.37,437.52,140.61
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,338.0,531.25,125.0,125.04,179.15,437.5,125.04
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,275.0,453.11,125.0,128.66,249.99,437.53,128.66
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,257.0,815.66,125.0,130.73,187.51,484.36,130.73
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,266.0,2031.3,125.0,125.04,234.39,515.62,125.04
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,197.0,437.51,125.0,125.02,328.11,437.49,125.02
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,301.0,444.54,125.0,126.03,187.48,437.49,126.03
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,278.0,4468.75,125.0,127.28,203.12,453.12,127.28
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,300.0,453.16,125.0,125.56,421.88,437.5,125.56
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,199.0,453.11,125.0,125.02,328.12,437.5,125.02
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,247.0,921.86,125.0,140.62,437.21,453.34,140.62
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,332.0,718.73,125.0,125.56,187.48,437.5,125.56
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,242.0,2433.9,125.0,133.81,203.11,437.5,133.81
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,299.0,468.75,125.0,132.31,187.5,421.92,132.31
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,315.0,453.1,125.0,140.58,281.25,437.53,140.58
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,184.0,796.88,125.0,140.61,426.93,640.61,140.61
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,331.0,38813.95,125.0,140.61,421.86,453.13,140.61
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,287.0,438.35,125.0,125.09,156.98,437.49,125.09
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,306.0,437.52,124.99,125.03,187.49,437.49,125.03
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,285.0,468.74,125.0,140.6,421.83,437.53,140.6
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,234.0,484.35,124.99,125.01,156.24,437.49,125.01
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,411.0,468.74,125.0,125.04,296.86,437.5,125.04
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,308.0,671.74,125.0,125.04,203.13,437.48,125.04
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,381.0,578.11,125.0,125.98,232.39,437.48,125.98
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,217.0,687.52,125.0,125.04,234.33,470.57,125.04
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,213.0,7546.78,125.0,140.62,484.37,6390.71,140.62
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,328.0,3953.07,125.0,125.04,484.37,1656.28,125.04
2018-04-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,243.0,468.74,125.0,125.02,187.09,406.25,125.02
2018-04-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,249.0,734.36,125.0,125.03,203.11,437.49,125.03
2018-04-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,259.0,453.13,125.0,125.03,156.25,437.2,125.03
2018-04-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,304.0,390.62,125.0,125.03,140.63,218.7,125.03
2018-04-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,253.0,2861.28,125.0,140.53,203.12,1828.08,140.53
2018-04-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,269.0,812.51,125.0,140.59,171.89,421.87,140.59
2018-04-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,181.0,610.05,125.0,125.03,156.25,546.86,125.03
2018-04-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,286.0,219.31,124.99,125.03,140.63,203.13,125.03
2018-04-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,218.0,468.75,124.99,125.01,140.64,281.28,125.01
2018-04-17,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,343.0,375.0,125.0,125.01,140.66,185.14,125.01
2018-04-18,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,323.0,439.07,125.0,125.04,156.24,250.0,125.04
2018-04-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,407.0,8814.19,125.0,125.04,156.25,374.3,125.04
2018-04-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,262.0,506.74,125.0,125.03,156.12,421.88,125.03
2018-04-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,297.0,2124.38,125.0,125.01,140.64,390.63,125.01
2018-04-24,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,255.0,812.5,125.0,125.02,141.03,406.24,125.02
2018-04-25,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,232.0,421.86,125.0,125.03,156.28,312.49,125.03
2018-04-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,219.0,21021.11,62.55,125.0,156.23,750.03,125.0
2018-04-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,268.0,1093.75,125.0,140.39,203.12,673.36,140.39
2018-04-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,262.0,301.9,125.0,125.03,141.2,203.12,125.03
2018-05-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,189.0,625.0,125.0,125.03,156.24,265.62,125.03
2018-05-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,382.0,431.12,125.0,125.04,140.71,265.57,125.04
2018-05-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,314.0,375.02,125.0,125.04,140.65,218.75,125.04
2018-05-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,269.0,656.21,125.0,125.03,156.25,390.65,125.03
2018-05-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,197.0,593.74,125.0,125.04,203.12,421.89,125.04
2018-05-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,217.0,468.76,125.0,125.04,140.63,328.13,125.04
2018-05-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,447.0,3156.19,125.0,140.59,174.03,609.36,140.59
2018-05-10,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,926.0,301652.81,125.0,140.59,921.87,69469.71,140.59
2018-05-11,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,338.0,468.73,125.0,125.04,203.11,425.2,125.04
2018-05-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,233.0,453.86,125.0,126.49,156.32,312.55,126.49
2018-05-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,279.0,343.76,125.0,125.03,140.64,312.56,125.03
2018-05-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,247.0,1109.4,124.98,125.02,140.67,390.66,125.02
2018-05-17,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,298.0,3031.25,125.0,125.04,156.23,312.49,125.04
2018-05-18,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,212.0,1156.23,125.0,140.58,156.35,328.15,140.58
2018-05-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,279.0,2546.55,124.99,125.04,156.27,1964.33,125.04
2018-05-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,325.0,832.43,125.0,125.04,156.26,326.78,125.04
2018-05-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,239.0,437.5,125.0,126.24,205.06,358.77,126.24
2018-05-24,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,241.0,421.9,124.99,125.03,156.25,359.24,125.03
2018-05-25,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,231.0,468.73,125.0,125.06,173.59,421.89,125.06
2018-05-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,100.0,389.92,125.0,125.25,145.98,312.44,125.25
2018-05-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,281.0,1478.81,125.0,127.98,171.84,1017.61,127.98
2018-05-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,309.0,3296.88,125.0,125.04,140.65,437.5,125.04
2018-05-31,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,263.0,889.62,125.0,125.05,171.83,706.87,125.05
2018-06-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,241.0,799.63,125.0,125.07,156.28,437.48,125.07
2018-06-04,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,215.0,343.74,125.0,125.07,170.83,328.07,125.07
2018-06-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,237.0,406.25,125.0,125.06,156.23,330.49,125.06
2018-06-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTeamSymptomTree,199.0,500.01,124.99,125.02,156.22,361.99,125.02
