startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,115.0,19267.66,125.01,140.62,375.0,446.87,140.62
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,96.0,1249.39,125.0,125.5,218.51,1249.39,125.5
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,95.0,484.36,125.0,140.6,272.13,484.36,140.6
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,115.0,9992.07,125.01,140.59,249.94,437.47,140.59
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,107.0,421.86,125.01,140.63,249.98,421.85,140.63
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,58.0,454.8,124.99,125.02,156.29,454.8,125.02
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,95.0,438.8,125.0,140.61,421.87,438.8,140.61
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,56.0,437.54,125.01,140.1,421.87,437.54,140.1
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,114.0,453.08,125.0,140.61,249.95,437.5,140.61
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,89.0,440.67,125.01,135.8,422.86,440.67,135.8
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,79.0,438.71,125.01,125.06,437.46,438.71,125.06
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,57.0,439.57,124.99,130.26,390.61,439.57,130.26
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,76.0,2710.53,124.99,125.02,234.39,2710.53,125.02
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,108.0,459.4,125.0,139.4,437.02,437.65,139.4
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,121.0,437.54,125.0,125.16,156.26,421.87,125.16
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,78.0,437.48,125.0,126.15,312.5,437.48,126.15
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,92.0,437.52,125.0,125.04,406.26,437.52,125.04
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,109.0,440.98,125.0,125.04,328.12,437.0,125.04
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,108.0,453.14,125.01,140.62,437.48,453.11,140.62
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,87.0,2875.04,125.0,125.01,156.24,2875.04,125.01
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketEmailCommunicationRecipients,140.0,519.01,125.0,140.58,187.49,448.07,140.58
