startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsCreatedByUserSubStateCount,37.0,421.89,125.0,140.58,171.86,421.89,140.58
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsCreatedByUserSubStateCount,25.0,1507.07,124.96,125.01,437.54,1507.07,125.01
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsCreatedByUserSubStateCount,16.0,484.37,31.23,124.99,484.37,484.37,124.99
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsCreatedByUserSubStateCount,17.0,140.64,123.74,125.01,140.64,140.64,125.01
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsCreatedByUserSubStateCount,21.0,265.6,124.92,125.0,140.66,265.6,125.0
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsCreatedByUserSubStateCount,32.0,453.13,15.66,125.0,171.12,453.13,125.0
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsCreatedByUserSubStateCount,20.0,2680.24,125.01,140.63,375.0,2680.24,140.63
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsCreatedByUserSubStateCount,12.0,156.24,124.97,125.0,156.24,156.24,125.0
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsCreatedByUserSubStateCount,30.0,453.11,15.64,125.0,234.38,453.11,125.0
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsCreatedByUserSubStateCount,19.0,141.62,15.65,125.0,141.62,141.62,125.0
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsCreatedByUserSubStateCount,25.0,437.5,124.99,125.41,143.86,437.5,125.41
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsCreatedByUserSubStateCount,18.0,234.38,121.31,125.0,234.38,234.38,125.0
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsCreatedByUserSubStateCount,15.0,171.89,15.67,125.01,171.89,171.89,125.01
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsCreatedByUserSubStateCount,29.0,437.5,121.78,125.01,140.66,437.5,125.01
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsCreatedByUserSubStateCount,28.0,406.23,124.99,125.35,171.88,406.23,125.35
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsCreatedByUserSubStateCount,33.0,468.78,124.99,125.04,437.49,468.78,125.04
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsCreatedByUserSubStateCount,30.0,453.1,124.96,125.01,437.49,453.1,125.01
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsCreatedByUserSubStateCount,32.0,140.67,124.99,132.85,140.63,140.67,132.85
