startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,229.0,468.74,125.0,126.95,171.88,437.5,126.95
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,224.0,921.86,125.0,125.03,187.5,498.06,125.03
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,220.0,876.09,125.0,125.06,171.88,437.5,125.06
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,191.0,453.14,125.0,125.03,156.27,437.62,125.03
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,272.0,471.09,125.0,140.6,187.5,453.02,140.6
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,216.0,453.14,125.0,125.12,171.88,437.56,125.12
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,215.0,453.12,125.0,140.55,421.9,440.43,140.55
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,156.0,10034.51,125.0,140.59,421.88,484.38,140.59
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,232.0,531.25,125.0,125.04,406.27,437.65,125.04
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,210.0,437.51,125.0,140.59,187.5,437.45,140.59
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,171.0,453.09,125.01,128.21,421.86,453.03,128.21
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,171.0,562.49,125.0,140.61,203.18,437.49,140.61
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,237.0,19255.22,124.99,125.02,421.91,484.37,125.02
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,241.0,19844.63,125.0,125.55,358.17,437.5,125.55
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,254.0,566.67,125.0,125.06,171.92,437.49,125.06
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,214.0,624.99,124.99,125.05,312.54,437.59,125.05
2018-02-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,253.0,18612.33,125.0,136.03,421.88,468.8,136.03
2018-02-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,244.0,437.54,125.0,125.04,187.56,437.52,125.04
2018-02-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,257.0,874.58,125.0,127.3,187.29,437.68,127.3
2018-03-01,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,260.0,624.81,125.0,140.62,390.62,439.1,140.62
2018-03-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,229.0,500.0,125.0,140.59,359.38,453.06,140.59
2018-03-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,202.0,468.73,125.0,125.04,374.98,453.13,125.04
2018-03-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,250.0,468.72,125.0,140.61,425.47,453.1,140.61
2018-03-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,266.0,15969.74,125.0,125.35,171.88,437.49,125.35
2018-03-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,253.0,703.12,125.0,140.61,406.25,625.0,140.61
2018-03-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,197.0,3781.26,125.0,126.3,328.12,468.74,126.3
2018-03-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,259.0,2203.1,125.0,133.72,343.74,453.12,133.72
2018-03-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,305.0,1112.97,125.0,125.04,171.88,437.5,125.04
2018-03-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,238.0,531.25,125.0,140.59,248.41,453.11,140.59
2018-03-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,262.0,578.15,125.0,138.21,281.26,437.5,138.21
2018-03-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,248.0,499.99,125.0,132.31,171.87,437.5,132.31
2018-03-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,222.0,453.08,125.0,139.0,343.75,437.5,139.0
2018-03-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,316.0,484.36,125.0,134.19,171.88,437.5,134.19
2018-03-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,232.0,499.99,125.0,125.42,328.12,437.49,125.42
2018-03-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,248.0,468.7,125.0,125.05,156.25,437.49,125.05
2018-03-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,247.0,453.08,125.0,125.04,187.5,437.49,125.04
2018-03-26,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,234.0,609.37,125.0,125.04,187.49,437.5,125.04
2018-03-27,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,280.0,437.5,125.0,125.08,187.49,437.47,125.08
2018-03-28,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,276.0,484.37,125.0,125.04,171.87,437.48,125.04
2018-03-29,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,238.0,440.21,125.0,125.03,156.25,437.51,125.03
2018-03-30,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,190.0,531.24,125.0,140.54,187.49,437.49,140.54
2018-04-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,204.0,1578.09,125.0,140.61,421.86,671.4,140.61
2018-04-03,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/TicketingWorkspaceTicketsSubStateCountByTeamId,251.0,4140.27,125.0,125.19,415.43,1734.32,125.19
