startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/UploadBlockRulesFile,2.0,31.28,31.24,31.28,31.28,31.28,31.28
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/UploadBlockRulesFile,2.0,62.47,31.25,62.47,62.47,62.47,62.47
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/UploadBlockRulesFile,2.0,31.25,31.25,31.25,31.25,31.25,31.25
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/UploadBlockRulesFile,2.0,31.25,31.24,31.25,31.25,31.25,31.25
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/UploadBlockRulesFile,2.0,31.24,19.4,31.24,31.24,31.24,31.24
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/UploadBlockRulesFile,2.0,31.27,31.25,31.27,31.27,31.27,31.27
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/UploadBlockRulesFile,2.0,203.13,31.25,203.13,203.13,203.13,203.13
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/UploadBlockRulesFile,1.0,15.64,15.64,15.64,15.64,15.64,15.64
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/UploadBlockRulesFile,2.0,78.13,31.26,78.13,78.13,78.13,78.13
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/UploadBlockRulesFile,2.0,31.29,31.25,31.29,31.29,31.29,31.29
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/UploadBlockRulesFile,2.0,31.28,31.19,31.28,31.28,31.28,31.28
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/UploadBlockRulesFile,2.0,46.91,31.25,46.91,46.91,46.91,46.91
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/UploadBlockRulesFile,2.0,31.25,31.24,31.25,31.25,31.25,31.25
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/UploadBlockRulesFile,3.0,78.13,31.25,78.13,78.13,78.13,78.13
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/UploadBlockRulesFile,2.0,31.24,31.23,31.24,31.24,31.24,31.24
