startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Watchlist,79.0,489.62,124.97,156.25,265.61,489.62,156.25
2018-02-05,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Watchlist,72.0,453.27,125.0,140.65,218.75,453.27,140.65
2018-02-06,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Watchlist,64.0,250.0,125.0,156.25,218.74,250.0,156.25
2018-02-07,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Watchlist,57.0,218.75,93.76,140.59,187.11,218.75,140.59
2018-02-08,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Watchlist,43.0,202.98,62.82,156.14,187.54,202.98,156.14
2018-02-09,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Watchlist,53.0,421.87,62.5,156.22,281.33,421.87,156.22
2018-02-12,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Watchlist,62.0,218.72,93.64,140.63,187.48,218.72,140.63
2018-02-13,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Watchlist,59.0,218.75,125.0,156.25,203.13,218.75,156.25
2018-02-14,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Watchlist,71.0,468.78,78.1,140.65,218.74,468.78,140.65
2018-02-15,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Watchlist,51.0,515.64,124.99,156.26,203.13,515.64,156.26
2018-02-16,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Watchlist,45.0,421.91,46.88,93.79,203.14,421.91,93.79
2018-02-19,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Watchlist,23.0,156.25,46.88,62.54,156.23,156.25,62.54
2018-02-20,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Watchlist,58.0,437.54,62.51,140.67,249.98,437.54,140.67
2018-02-21,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Watchlist,59.0,484.3,122.5,171.85,453.11,484.3,171.85
2018-02-22,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Watchlist,79.0,234.36,124.96,156.25,203.12,234.36,156.25
2018-02-23,ClientCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/Watchlist,44.0,1152.98,78.1,140.61,171.91,1152.98,140.61
