startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2085.0,949.9,108.76,182.58,437.48,500.0,182.58
2018-02-05,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2457.0,6923.97,109.61,171.17,437.55,515.58,171.17
2018-02-06,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2538.0,19268.5,107.57,171.88,437.53,546.87,171.88
2018-02-07,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2941.0,21041.19,92.18,140.95,436.0,500.0,140.95
2018-02-08,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2557.0,21662.61,89.7,156.28,437.48,468.84,156.28
2018-02-09,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2192.0,19253.48,93.71,182.68,426.76,500.02,182.68
2018-02-12,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2745.0,19274.46,109.25,168.9,437.53,531.14,168.9
2018-02-13,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,1975.0,656.22,124.11,156.14,437.27,484.29,156.14
2018-02-14,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2383.0,300015.27,93.07,156.26,435.33,499.91,156.26
2018-02-15,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2205.0,300009.7,77.68,140.76,421.99,515.64,140.76
2018-02-16,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2067.0,2115.09,91.95,140.76,421.92,468.42,140.76
2018-02-19,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,1733.0,19236.73,61.14,139.59,374.95,488.95,139.59
2018-02-20,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2853.0,21073.33,109.19,171.95,437.54,515.59,171.95
2018-02-21,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2719.0,1031.47,109.37,182.03,437.47,468.76,182.03
2018-02-22,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2693.0,9440.86,93.54,156.26,437.47,498.37,156.26
2018-02-23,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,1809.0,3206.69,78.17,140.66,428.74,497.65,140.66
2018-02-26,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,3135.0,19240.92,79.26,140.64,430.06,503.7,140.64
2018-02-27,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2638.0,19264.87,78.15,140.65,434.19,484.04,140.65
2018-02-28,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2448.0,300001.55,91.09,141.27,436.41,531.02,141.27
2018-03-01,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2134.0,97275.97,93.76,156.42,437.62,515.95,156.42
2018-03-02,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,1532.0,121402.89,91.28,170.06,437.51,624.99,170.06
2018-03-05,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2395.0,69042.3,93.79,156.29,437.5,516.68,156.29
2018-03-06,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2832.0,749.46,93.06,155.86,437.49,468.78,155.86
2018-03-07,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2261.0,4614.42,108.44,156.31,437.49,515.64,156.31
2018-03-08,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2602.0,19247.3,93.8,156.3,437.5,484.38,156.3
2018-03-09,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,1778.0,19257.81,105.7,176.79,435.48,538.55,176.79
2018-03-12,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2869.0,19286.31,78.12,140.64,421.89,468.67,140.64
2018-03-13,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2733.0,6086.69,93.76,156.29,437.5,531.24,156.29
2018-03-14,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2822.0,21286.5,110.02,186.74,441.8,563.46,186.74
2018-03-15,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2328.0,1374.97,90.41,156.25,437.32,486.07,156.25
2018-03-16,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,1954.0,19380.31,76.17,140.81,433.87,469.41,140.81
2018-03-19,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2099.0,1218.74,75.93,140.66,421.88,468.54,140.66
2018-03-20,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2075.0,21079.65,77.14,141.9,421.9,703.13,141.9
2018-03-21,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,2048.0,42032.55,93.41,156.46,499.99,21050.2,156.46
