startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,439.0,12706.66,109.29,186.99,438.55,625.01,186.99
2018-02-05,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,517.0,21119.35,122.62,187.27,453.13,640.64,187.27
2018-02-06,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,479.0,1437.48,109.36,217.44,453.13,531.24,217.44
2018-02-07,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,438.0,18962.36,106.62,171.87,437.52,810.16,171.87
2018-02-08,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,388.0,671.88,106.66,156.26,437.51,515.66,156.26
2018-02-09,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,307.0,875.3,107.77,156.29,437.51,531.3,156.29
2018-02-12,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,423.0,3111.85,126.04,187.01,453.12,560.63,187.01
2018-02-13,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,313.0,19262.53,140.62,218.8,453.12,1734.39,218.8
2018-02-14,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,351.0,300008.39,111.41,216.31,453.11,562.59,216.31
2018-02-15,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,378.0,300006.92,109.29,200.58,453.11,1421.64,200.58
2018-02-16,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,296.0,937.53,108.24,171.86,437.54,671.88,171.86
2018-02-19,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,237.0,2765.58,106.53,156.29,452.04,593.75,156.29
2018-02-20,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,457.0,9154.53,125.03,203.37,453.17,609.35,203.37
2018-02-21,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,378.0,1187.82,125.67,172.9,453.11,593.75,172.9
2018-02-22,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,477.0,19039.18,108.69,171.18,468.74,687.71,171.18
2018-02-23,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,351.0,653.83,93.67,151.64,421.89,484.4,151.64
2018-02-26,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,594.0,2209.08,107.12,156.25,437.49,546.88,156.25
2018-02-27,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,593.0,671.82,121.02,168.75,437.5,484.38,168.75
2018-02-28,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,473.0,749.99,109.99,159.31,437.49,515.63,159.31
2018-03-01,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,514.0,718.78,140.63,216.78,453.12,515.61,216.78
2018-03-02,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,366.0,670.27,108.83,172.72,437.5,577.49,172.72
2018-03-05,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,363.0,906.24,140.46,171.88,453.13,633.14,171.88
2018-03-06,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,446.0,18990.43,108.02,156.25,437.52,500.03,156.25
2018-03-07,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,247.0,1687.46,140.62,234.37,453.12,484.37,234.37
2018-03-08,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,308.0,562.49,139.32,203.13,437.5,484.37,203.13
2018-03-09,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,191.0,468.79,93.75,156.28,437.49,453.15,156.28
2018-03-12,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,496.0,546.87,109.39,156.25,436.94,484.41,156.25
2018-03-13,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,473.0,1202.53,124.81,172.07,437.54,593.58,172.07
2018-03-14,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,414.0,687.5,140.62,202.71,453.13,546.87,202.71
2018-03-15,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,433.0,812.48,137.41,172.65,453.12,609.37,172.65
2018-03-16,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,327.0,4578.11,135.89,194.61,453.06,593.76,194.61
2018-03-19,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,297.0,688.39,94.63,168.8,453.1,562.5,168.8
2018-03-20,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,285.0,21072.02,108.83,171.91,458.01,703.12,171.91
2018-03-21,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,313.0,21095.76,109.39,174.35,499.78,21046.59,174.35
2018-03-22,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,299.0,21062.99,95.64,156.89,21016.77,21055.79,156.89
2018-03-23,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,328.0,703.12,109.25,156.43,437.49,499.99,156.43
2018-03-26,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,476.0,21084.83,112.22,171.92,453.14,21039.6,171.92
2018-03-27,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,497.0,796.87,109.37,156.27,437.5,546.92,156.27
2018-03-28,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,479.0,718.07,140.62,184.83,453.15,562.51,184.83
