startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,2277.0,19255.92,140.16,218.71,453.13,702.89,218.71
2018-02-05,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1676.0,1888.91,140.68,218.76,484.3,686.71,218.76
2018-02-06,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1470.0,19256.77,154.2,233.58,477.5,734.36,233.58
2018-02-07,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1940.0,9273.51,140.63,233.82,484.36,718.74,233.82
2018-02-08,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1650.0,6509.11,140.63,216.98,468.77,734.38,216.98
2018-02-09,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1282.0,19182.06,148.03,249.88,500.0,765.62,249.88
2018-02-12,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1539.0,2574.59,140.62,218.74,483.72,703.04,218.74
2018-02-13,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1394.0,2493.97,153.51,218.75,484.38,671.86,218.75
2018-02-14,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1237.0,3343.76,139.78,208.28,468.7,690.84,208.28
2018-02-15,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1267.0,300011.28,140.71,234.38,531.26,22470.32,234.38
2018-02-16,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1086.0,11758.8,140.28,215.41,467.93,703.08,215.41
2018-02-19,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,592.0,4644.89,169.15,265.65,562.5,1078.12,265.65
2018-02-20,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1305.0,15613.3,153.24,249.96,549.65,2139.08,249.96
2018-02-21,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1278.0,13897.82,140.63,218.79,460.59,640.64,218.79
2018-02-22,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1222.0,1873.3,140.62,217.65,468.66,687.5,217.65
2018-02-23,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1007.0,7565.33,140.63,234.01,468.76,859.47,234.01
2018-02-26,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1502.0,15338.63,140.78,218.22,499.93,734.35,218.22
2018-02-27,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1666.0,9731.57,140.62,233.77,499.64,749.97,233.77
2018-02-28,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1475.0,300026.32,140.03,218.74,500.0,781.24,218.74
2018-03-01,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1831.0,300009.67,140.55,212.57,453.12,718.74,212.57
2018-03-02,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1284.0,300001.31,140.61,204.06,468.75,687.98,204.06
2018-03-05,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1422.0,5343.75,140.41,204.31,453.11,703.12,204.31
2018-03-06,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1367.0,21755.87,140.62,203.12,468.75,671.99,203.12
2018-03-07,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,965.0,6078.96,140.63,218.75,468.75,765.61,218.75
2018-03-08,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1027.0,3741.23,140.62,218.74,486.18,671.88,218.74
2018-03-09,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,782.0,19250.34,138.32,204.97,468.74,734.37,204.97
2018-03-12,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1703.0,4676.07,140.62,216.25,468.79,687.82,216.25
2018-03-13,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1437.0,3888.31,140.65,219.14,484.21,656.25,219.14
2018-03-14,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1523.0,21197.36,156.14,234.69,495.15,718.73,234.69
2018-03-15,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1376.0,1234.34,155.98,235.49,515.62,812.5,235.49
2018-03-16,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1135.0,19248.85,156.46,276.49,546.87,827.5,276.49
2018-03-19,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,848.0,9696.57,156.24,259.03,560.26,859.37,259.03
