startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,1123.0,19262.75,138.74,233.62,501.42,703.36,233.62
2018-02-05,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,1046.0,1469.33,140.65,254.75,546.93,765.65,254.75
2018-02-06,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,869.0,19272.23,153.25,266.14,546.75,876.47,266.14
2018-02-07,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,926.0,2593.58,140.56,264.95,515.65,890.33,264.95
2018-02-08,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,891.0,4390.57,140.52,248.24,531.26,763.71,248.24
2018-02-09,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,636.0,1815.08,140.65,273.45,535.46,858.69,273.45
2018-02-12,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,893.0,941.24,140.34,232.3,562.13,734.42,232.3
2018-02-13,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,789.0,19262.94,141.37,304.42,546.91,703.12,304.42
2018-02-14,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,711.0,300007.82,136.73,234.39,515.61,765.61,234.39
2018-02-15,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,720.0,118799.6,137.65,269.99,562.48,890.68,269.99
2018-02-16,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,675.0,5708.42,137.96,246.04,562.76,765.64,246.04
2018-02-19,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,200.0,1091.85,140.65,312.52,578.7,843.75,312.52
2018-02-20,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,771.0,5750.12,138.78,232.38,531.2,843.77,232.38
2018-02-21,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,813.0,1660.2,137.0,218.43,500.01,734.36,218.43
2018-02-22,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,794.0,1421.93,124.67,187.34,486.02,734.39,187.34
2018-02-23,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,556.0,796.89,139.75,263.75,515.68,609.4,263.75
2018-02-26,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,877.0,7343.83,124.86,211.06,515.61,749.98,211.06
2018-02-27,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,982.0,19449.74,140.41,247.68,515.62,749.93,247.68
2018-02-28,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,822.0,300010.16,109.58,202.65,531.25,828.11,202.65
2018-03-01,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,864.0,1468.74,138.61,243.1,531.23,781.24,243.1
2018-03-02,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,704.0,300007.79,140.33,266.83,578.11,1126.72,266.83
2018-03-05,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,838.0,2437.44,135.52,218.61,500.02,764.46,218.61
2018-03-06,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,851.0,1437.28,137.22,218.61,514.76,720.96,218.61
2018-03-07,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,689.0,19266.99,140.19,265.63,531.23,718.78,265.63
2018-03-08,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,683.0,1281.24,140.65,266.71,531.29,749.99,266.71
2018-03-09,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,548.0,19235.28,120.94,203.82,562.57,671.87,203.82
2018-03-12,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,998.0,1329.04,139.12,218.76,504.63,671.86,218.76
2018-03-13,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,815.0,1031.23,141.03,249.04,531.25,718.7,249.04
2018-03-14,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,887.0,4812.45,156.25,266.87,534.69,733.33,266.87
