startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,352.0,781.27,111.66,171.88,453.07,562.56,171.88
2018-02-05,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,242.0,1187.51,156.24,341.2,687.51,890.62,341.2
2018-02-06,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,217.0,781.22,125.01,233.25,515.63,694.13,233.25
2018-02-07,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,213.0,1034.35,140.65,234.38,484.37,628.09,234.38
2018-02-08,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,196.0,1124.81,123.39,203.08,593.75,1049.87,203.08
2018-02-09,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,182.0,1609.4,123.73,248.84,562.5,1546.86,248.84
2018-02-12,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,200.0,7691.61,129.32,218.75,516.51,671.43,218.75
2018-02-13,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,164.0,781.23,140.64,175.24,437.5,703.1,175.24
2018-02-14,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,208.0,1203.18,93.78,186.23,500.1,796.68,186.23
2018-02-15,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,106.0,19237.48,140.31,187.72,437.59,656.24,187.72
2018-02-16,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,153.0,796.91,156.31,343.76,671.85,796.9,343.76
2018-02-19,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,119.0,3898.28,78.13,171.92,578.16,821.98,171.92
2018-02-20,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,167.0,936.04,93.75,198.78,593.69,812.53,198.78
2018-02-21,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,193.0,749.99,125.0,245.86,546.87,702.95,245.86
2018-02-22,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,164.0,1078.08,156.26,296.87,562.53,1062.49,296.87
2018-02-23,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,153.0,984.43,90.29,187.5,453.14,703.13,187.5
2018-02-26,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,158.0,859.36,125.42,192.73,499.99,718.75,192.73
2018-02-27,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,112.0,687.32,109.37,265.62,484.36,633.95,265.62
2018-02-28,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,202.0,1031.25,121.06,218.75,499.99,671.92,218.75
2018-03-01,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,200.0,55501.44,109.41,218.43,437.5,890.6,218.43
2018-03-02,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAdvertisers,113.0,547.24,79.73,140.63,430.19,484.37,140.63
