startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2559.0,1015.67,73.5,109.41,328.13,531.22,109.41
2018-02-05,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2768.0,9228.17,77.47,121.67,347.44,578.13,121.67
2018-02-06,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2991.0,2044.88,75.33,116.2,296.86,499.99,116.2
2018-02-07,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2515.0,24004.2,62.49,109.2,344.89,505.92,109.2
2018-02-08,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2505.0,1574.56,62.01,105.07,312.51,546.87,105.07
2018-02-09,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2381.0,18996.88,61.75,105.21,283.32,578.16,105.21
2018-02-12,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2075.0,19290.32,77.52,124.98,390.58,523.82,124.98
2018-02-13,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1536.0,1620.96,70.76,121.12,406.25,515.39,121.12
2018-02-14,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2158.0,5674.55,62.21,104.48,284.56,484.36,104.48
2018-02-15,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1832.0,122615.28,62.02,106.77,359.44,8510.34,106.77
2018-02-16,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1998.0,300008.88,61.1,106.14,303.1,632.79,106.14
2018-02-19,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2414.0,4611.45,62.53,105.1,265.65,625.03,105.1
2018-02-20,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2605.0,9147.21,77.55,124.47,418.62,730.85,124.47
2018-02-21,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2288.0,1203.13,77.05,125.05,366.31,562.52,125.05
2018-02-22,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2186.0,11158.59,77.76,125.14,374.76,516.92,125.14
2018-02-23,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2189.0,4968.24,62.01,98.83,297.92,562.51,98.83
2018-02-26,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2703.0,3909.75,78.18,125.16,396.93,578.09,125.16
2018-02-27,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2841.0,8421.35,62.16,108.82,265.8,458.21,108.82
2018-02-28,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2612.0,115982.11,61.86,99.6,280.83,499.99,99.6
2018-03-01,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2040.0,4270.32,61.41,106.66,265.65,500.03,106.66
2018-03-02,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1988.0,205834.46,71.83,125.35,359.48,640.54,125.35
2018-03-05,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2272.0,7561.03,62.53,109.37,340.76,531.25,109.37
2018-03-06,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2705.0,3250.11,64.49,109.43,359.52,499.97,109.43
2018-03-07,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2521.0,4661.83,73.91,109.41,313.24,468.75,109.41
2018-03-08,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2775.0,6136.85,76.88,121.34,310.0,515.62,121.34
2018-03-09,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2393.0,21081.25,59.85,102.12,292.95,515.6,102.12
2018-03-12,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,2839.0,1655.66,58.43,94.08,305.02,453.13,94.08
