startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,1064.0,613.94,62.52,108.47,280.77,452.2,108.47
2018-02-05,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,1132.0,640.72,65.43,109.39,280.67,499.8,109.39
2018-02-06,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,1170.0,2958.02,75.22,110.44,281.28,498.49,110.44
2018-02-07,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,1130.0,2890.56,62.51,106.7,264.78,468.78,106.7
2018-02-08,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,1092.0,1673.21,60.6,93.86,248.66,323.48,93.86
2018-02-09,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,1020.0,2095.89,61.62,95.03,275.97,500.01,95.03
2018-02-12,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,861.0,19238.7,74.75,110.41,327.38,562.51,110.41
2018-02-13,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,643.0,983.63,59.82,104.59,278.07,560.73,104.59
2018-02-14,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,840.0,1328.12,62.28,99.08,261.89,449.48,99.08
2018-02-15,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseQueueTiles,758.0,123302.08,61.64,106.49,281.51,28413.49,106.49
