startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,99.0,875.0,109.1,156.26,453.19,875.0,156.26
2018-02-05,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,136.0,609.39,96.05,156.23,452.74,546.89,156.23
2018-02-06,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,113.0,515.63,142.76,421.88,453.28,484.38,421.88
2018-02-07,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,160.0,734.4,104.27,187.49,468.75,625.0,187.49
2018-02-08,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,76.0,468.75,93.76,171.88,453.11,468.75,171.88
2018-02-09,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,68.0,503.61,62.93,155.9,437.52,503.61,155.9
2018-02-12,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,126.0,2361.7,78.13,227.27,437.51,859.35,227.27
2018-02-13,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,59.0,484.38,140.23,234.41,453.12,484.38,234.41
2018-02-14,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,50.0,484.35,109.41,156.26,437.53,484.35,156.26
2018-02-15,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,49.0,453.11,78.13,156.35,437.53,453.11,156.35
2018-02-16,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,33.0,446.26,78.11,140.63,390.5,446.26,140.63
2018-02-19,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,22.0,446.75,47.67,156.25,251.3,446.75,156.25
2018-02-20,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,60.0,518.19,93.78,156.24,437.58,518.19,156.24
2018-02-21,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,68.0,4111.72,76.98,140.61,447.67,4111.72,140.61
2018-02-22,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,71.0,453.98,49.46,93.72,250.05,453.98,93.72
2018-02-23,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,50.0,2031.37,140.62,296.92,608.81,2031.37,296.92
2018-02-26,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,94.0,470.6,109.39,156.25,437.53,470.6,156.25
2018-02-27,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,115.0,640.63,140.61,218.74,453.12,499.99,218.74
2018-02-28,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,105.0,721.45,93.74,187.5,442.62,470.07,187.5
2018-03-01,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,129.0,890.58,62.48,151.22,437.22,453.12,151.22
2018-03-02,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,138.0,468.82,89.82,140.65,312.46,468.73,140.65
2018-03-05,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,118.0,7128.5,62.5,125.0,442.44,3685.91,125.0
2018-03-06,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,66.0,484.34,140.61,218.75,438.58,484.34,218.75
2018-03-07,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,108.0,470.87,154.73,281.26,453.13,458.18,281.26
2018-03-08,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,37.0,842.52,109.38,156.25,781.23,842.52,156.25
2018-03-09,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,54.0,515.63,73.93,187.4,446.73,515.63,187.4
2018-03-12,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,66.0,976.08,97.67,171.9,468.59,976.08,171.9
2018-03-13,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/DismissAlerts,57.0,454.57,78.16,140.62,296.87,454.57,140.62
