startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1689.0,5986.46,140.63,281.25,446.39,484.42,281.25
2018-02-05,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2221.0,19505.08,140.29,250.01,437.51,455.3,250.01
2018-02-06,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2354.0,1000.0,140.62,265.66,437.5,531.25,265.66
2018-02-07,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2307.0,21700.69,140.62,243.55,437.49,468.76,243.55
2018-02-08,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2116.0,19262.85,140.62,280.2,453.12,499.66,280.2
2018-02-09,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1692.0,19265.24,140.62,281.25,437.52,484.47,281.25
2018-02-12,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2262.0,19269.68,140.62,265.68,437.59,470.22,265.68
2018-02-13,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1544.0,19259.24,140.62,253.03,437.5,468.77,253.03
2018-02-14,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2056.0,26854.07,140.63,281.3,437.5,486.55,281.3
2018-02-15,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1931.0,300011.11,140.63,327.98,437.59,625.14,327.98
2018-02-16,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1757.0,120248.23,140.62,296.76,437.5,515.91,296.76
2018-02-19,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2032.0,19232.87,140.64,327.84,437.5,562.47,327.84
2018-02-20,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2328.0,57470.86,140.63,302.85,437.53,483.0,302.85
2018-02-21,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2371.0,19257.15,140.62,277.04,437.5,484.36,277.04
2018-02-22,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2544.0,908.04,140.63,302.17,437.51,500.0,302.17
2018-02-23,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2040.0,19241.15,140.63,328.1,437.51,468.74,328.1
2018-02-26,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2080.0,19272.52,140.62,284.21,437.5,469.88,284.21
2018-02-27,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2604.0,21081.05,140.63,313.35,437.51,484.72,313.35
2018-02-28,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2606.0,300014.25,140.62,265.54,437.5,500.01,265.54
2018-03-01,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2553.0,122867.64,140.63,308.58,437.51,484.36,308.58
2018-03-02,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1882.0,300013.61,140.62,291.06,437.5,843.85,291.06
2018-03-05,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2104.0,1218.75,140.62,265.62,437.49,484.36,265.62
2018-03-06,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2574.0,19253.38,140.62,264.38,437.5,472.3,264.38
2018-03-07,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2140.0,19301.25,140.63,317.81,437.51,531.24,317.81
2018-03-08,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2110.0,19264.97,140.63,290.94,437.5,484.37,290.94
2018-03-09,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1768.0,21097.8,140.62,314.18,437.49,469.95,314.18
2018-03-12,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2192.0,4281.25,140.62,265.61,437.49,468.76,265.61
2018-03-13,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2171.0,19254.9,139.08,239.2,437.49,499.97,239.2
2018-03-14,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2512.0,19273.4,140.62,265.62,437.49,484.11,265.62
2018-03-15,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2119.0,796.87,140.63,265.62,453.12,484.36,265.62
2018-03-16,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1829.0,812.44,140.62,281.23,437.49,468.75,281.23
2018-03-19,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2202.0,19255.52,140.62,266.98,437.49,468.77,266.98
2018-03-20,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1980.0,21216.13,140.62,296.8,437.51,21022.6,296.8
2018-03-21,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1868.0,42050.89,140.63,328.12,21019.9,21051.33,328.12
2018-03-22,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1738.0,42077.07,140.62,328.11,21025.37,21064.87,328.11
2018-03-23,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1874.0,19246.06,140.62,265.61,437.5,468.74,265.61
2018-03-26,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2053.0,21155.77,140.62,265.61,453.12,21046.28,265.61
2018-03-27,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2375.0,21016.49,140.61,193.62,437.49,468.78,193.62
2018-03-28,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2459.0,19272.11,140.59,156.37,437.47,531.22,156.37
2018-03-29,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2366.0,19268.97,140.62,250.27,437.49,468.74,250.27
2018-03-30,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1585.0,19265.42,140.62,299.6,437.49,578.15,299.6
2018-04-02,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1945.0,21130.15,140.53,233.9,437.49,468.66,233.9
2018-04-03,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2461.0,19337.78,140.55,180.04,437.48,545.84,180.04
2018-04-04,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2544.0,19247.72,140.61,169.26,437.48,455.52,169.26
2018-04-05,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2502.0,2687.71,140.6,156.24,421.86,453.12,156.24
2018-04-06,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2129.0,750.04,125.09,140.64,359.35,437.5,140.64
2018-04-09,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2201.0,734.36,125.03,140.65,343.75,421.98,140.65
2018-04-10,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2306.0,17551.1,125.0,140.64,343.74,453.13,140.64
2018-04-11,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2077.0,1078.23,125.03,140.76,359.35,437.5,140.76
2018-04-12,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2174.0,687.5,125.02,140.63,328.29,406.24,140.63
2018-04-13,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2150.0,734.35,125.01,140.64,333.78,421.87,140.64
2018-04-16,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2095.0,39453.23,125.0,140.64,328.28,421.83,140.64
2018-04-17,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2129.0,3348.61,125.13,140.66,341.51,422.89,140.66
2018-04-18,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2442.0,609.36,125.04,140.64,343.51,429.87,140.64
2018-04-19,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2254.0,1453.08,125.01,140.64,328.15,421.87,140.64
2018-04-20,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2024.0,874.99,125.01,140.66,343.65,421.88,140.66
2018-04-23,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2029.0,4221.9,125.03,140.66,328.15,421.88,140.66
2018-04-24,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1942.0,846.68,125.03,140.65,329.1,421.87,140.65
2018-04-25,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2270.0,562.53,125.04,140.64,328.54,421.91,140.64
2018-04-26,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1653.0,21205.64,124.99,140.66,328.15,468.74,140.66
2018-04-27,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1651.0,703.11,140.44,140.66,328.13,425.44,140.66
2018-04-30,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1945.0,1064.45,125.04,140.66,343.74,437.49,140.66
2018-05-01,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2159.0,10073.28,125.01,140.63,328.16,421.88,140.63
2018-05-02,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2620.0,765.62,125.0,140.63,328.13,421.91,140.63
2018-05-03,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2114.0,812.48,125.01,140.63,328.15,421.86,140.63
2018-05-04,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1829.0,578.13,125.02,140.66,328.55,421.87,140.66
2018-05-07,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2117.0,3437.44,125.0,140.63,328.16,421.9,140.63
2018-05-08,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2103.0,499.69,125.0,140.63,327.88,421.86,140.63
2018-05-09,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2240.0,11640.34,125.01,140.64,328.14,422.69,140.64
2018-05-10,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1999.0,279259.73,140.37,148.1,359.36,2515.59,148.1
2018-05-11,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1880.0,950.09,125.48,140.67,343.75,437.49,140.67
2018-05-14,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2066.0,753.27,125.02,140.65,328.15,406.37,140.65
2018-05-15,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2160.0,2650.06,125.05,140.65,328.15,421.87,140.65
2018-05-16,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2258.0,640.59,125.04,140.65,328.14,421.92,140.65
2018-05-17,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2232.0,19131.18,125.12,140.65,328.12,416.92,140.65
2018-05-18,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,1807.0,734.32,137.03,140.68,328.14,395.04,140.68
2018-05-21,MessageCenterMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/SmbAccountAlerts,2093.0,687.49,125.04,140.64,328.13,390.65,140.64
