startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,ReportingMiddleTier,All,All,14996.0,28815.31,215.72,282.41,453.64,3565.31,282.41
2018-02-05,ReportingMiddleTier,All,All,30790.0,19501.07,171.89,218.91,359.36,3103.78,218.91
2018-02-06,ReportingMiddleTier,All,All,29835.0,21950.58,198.38,218.83,421.23,4070.8,218.83
2018-02-07,ReportingMiddleTier,All,All,39764.0,18948.08,192.42,296.84,509.78,3093.88,296.84
2018-02-08,ReportingMiddleTier,All,All,16788.0,22771.02,235.37,359.38,576.66,933.44,359.38
2018-02-09,ReportingMiddleTier,All,All,14852.0,24301.05,328.1,444.62,703.81,1665.36,444.62
2018-02-12,ReportingMiddleTier,All,All,10288.0,22011.72,359.32,451.09,653.22,968.75,451.09
2018-02-13,ReportingMiddleTier,All,All,3736.0,42245.25,284.77,359.58,547.42,919.09,359.58
2018-02-14,ReportingMiddleTier,All,All,8133.0,21963.78,218.77,296.88,452.62,609.98,296.88
2018-02-15,ReportingMiddleTier,All,All,8467.0,22011.1,234.33,312.45,451.81,578.17,312.45
2018-02-16,ReportingMiddleTier,All,All,11374.0,22122.43,249.46,321.2,454.64,609.38,321.2
2018-02-19,ReportingMiddleTier,All,All,3003.0,21891.81,249.01,326.63,468.76,594.34,326.63
2018-02-20,ReportingMiddleTier,All,All,10853.0,7616.54,233.61,312.41,453.16,655.06,312.41
2018-02-21,ReportingMiddleTier,All,All,11088.0,22496.62,218.85,311.28,438.71,594.17,311.28
2018-02-22,ReportingMiddleTier,All,All,4829.0,22012.12,234.99,312.5,468.72,656.26,312.5
2018-02-23,ReportingMiddleTier,All,All,6203.0,23437.38,233.29,294.69,437.52,609.38,294.69
2018-02-26,ReportingMiddleTier,All,All,7811.0,21754.56,281.26,343.74,484.31,671.1,343.74
2018-02-27,ReportingMiddleTier,All,All,6579.0,168345.02,250.03,324.26,468.76,656.22,324.26
2018-02-28,ReportingMiddleTier,All,All,7101.0,19404.48,234.4,311.03,468.63,625.0,311.03
2018-03-01,ReportingMiddleTier,All,All,10395.0,22106.33,218.75,296.87,437.5,576.29,296.87
2018-03-02,ReportingMiddleTier,All,All,7938.0,21959.63,218.76,279.37,399.05,575.83,279.37
2018-03-05,ReportingMiddleTier,All,All,7131.0,7166.63,218.82,281.3,420.94,578.13,281.3
2018-03-06,ReportingMiddleTier,All,All,11640.0,22027.68,203.69,281.23,421.86,562.41,281.23
2018-03-07,ReportingMiddleTier,All,All,10455.0,10466.97,230.31,296.88,453.1,591.15,296.88
2018-03-08,ReportingMiddleTier,All,All,11807.0,22295.87,218.75,312.49,453.11,577.97,312.49
2018-03-09,ReportingMiddleTier,All,All,3835.0,19490.3,265.41,331.6,466.66,609.37,331.6
2018-03-12,ReportingMiddleTier,All,All,5934.0,19465.25,233.68,309.12,453.3,593.78,309.12
2018-03-13,ReportingMiddleTier,All,All,9810.0,22062.45,218.77,295.92,437.49,593.7,295.92
2018-03-14,ReportingMiddleTier,All,All,10094.0,52778.86,217.62,281.25,417.33,593.73,281.25
2018-03-15,ReportingMiddleTier,All,All,11325.0,19428.98,263.73,312.49,452.46,592.99,312.49
2018-03-16,ReportingMiddleTier,All,All,9354.0,21883.06,234.4,307.86,467.97,668.17,307.86
2018-03-19,ReportingMiddleTier,All,All,5017.0,19627.58,312.5,405.84,812.49,2312.46,405.84
2018-03-20,ReportingMiddleTier,All,All,4373.0,8504.73,281.23,369.73,735.11,1750.18,369.73
2018-03-21,ReportingMiddleTier,All,All,4673.0,19599.83,252.56,328.34,670.94,1391.68,328.34
2018-03-22,ReportingMiddleTier,All,All,7446.0,21914.17,281.26,409.92,896.02,2256.79,409.92
2018-03-23,ReportingMiddleTier,All,All,8236.0,26800.48,246.45,313.16,484.36,939.77,313.16
2018-03-26,ReportingMiddleTier,All,All,7812.0,20469.53,250.27,342.79,547.07,921.97,342.79
2018-03-27,ReportingMiddleTier,All,All,10152.0,19506.67,248.62,328.13,577.98,995.31,328.13
2018-03-28,ReportingMiddleTier,All,All,6863.0,19591.9,281.22,390.58,702.53,1514.07,390.58
2018-03-29,ReportingMiddleTier,All,All,6508.0,22068.23,224.45,296.91,506.93,880.16,296.91
2018-03-30,ReportingMiddleTier,All,All,3235.0,21886.94,218.76,298.97,484.37,810.83,298.97
2018-04-02,ReportingMiddleTier,All,All,4565.0,14000.18,230.04,297.26,453.57,609.41,297.26
2018-04-03,ReportingMiddleTier,All,All,9139.0,22151.08,230.45,296.77,453.52,618.85,296.77
