startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmBusinessReportingDbConn,All,All,10275.0,31097.05,62.46,94.11,1156.18,3988.84,94.11
2018-02-05,UcmBusinessReportingDbConn,All,All,12536.0,20172.36,43.81,65.17,1125.0,2348.71,65.17
2018-02-06,UcmBusinessReportingDbConn,All,All,12015.0,30355.81,61.81,78.13,1140.61,3987.97,78.13
2018-02-07,UcmBusinessReportingDbConn,All,All,11104.0,42072.84,62.47,79.58,1140.35,2087.9,79.58
2018-02-08,UcmBusinessReportingDbConn,All,All,11605.0,41965.92,62.5,93.75,1173.12,6200.1,93.75
2018-02-09,UcmBusinessReportingDbConn,All,All,9299.0,21297.15,62.5,109.34,1176.02,6218.77,109.34
2018-02-12,UcmBusinessReportingDbConn,All,All,10844.0,40694.11,61.49,78.13,1140.54,2365.58,78.13
2018-02-13,UcmBusinessReportingDbConn,All,All,7155.0,53052.84,62.49,78.17,1138.69,3528.06,78.17
2018-02-14,UcmBusinessReportingDbConn,All,All,10146.0,41727.61,62.45,92.77,1156.24,5462.96,92.77
2018-02-15,UcmBusinessReportingDbConn,All,All,9447.0,24425.23,60.92,78.14,1140.61,1592.56,78.14
2018-02-16,UcmBusinessReportingDbConn,All,All,8025.0,41863.64,62.19,92.28,1155.74,3301.37,92.28
2018-02-19,UcmBusinessReportingDbConn,All,All,5784.0,3645.81,19.7,84.43,1132.7,1218.72,84.43
2018-02-20,UcmBusinessReportingDbConn,All,All,11274.0,40223.09,46.46,77.35,1135.4,2432.8,77.35
2018-02-21,UcmBusinessReportingDbConn,All,All,11938.0,26423.6,62.43,79.11,1147.84,3929.81,79.11
2018-02-22,UcmBusinessReportingDbConn,All,All,15852.0,28977.34,48.09,78.2,1164.52,6671.8,78.2
2018-02-23,UcmBusinessReportingDbConn,All,All,21871.0,32427.78,31.22,76.9,833.86,3516.55,76.9
2018-02-26,UcmBusinessReportingDbConn,All,All,27547.0,22698.47,31.26,76.03,764.56,3589.42,76.03
2018-02-27,UcmBusinessReportingDbConn,All,All,25142.0,33579.47,31.26,64.97,727.1,3448.99,64.97
2018-02-28,UcmBusinessReportingDbConn,All,All,21522.0,31908.77,46.9,78.12,793.42,2542.2,78.12
2018-03-01,UcmBusinessReportingDbConn,All,All,20073.0,25644.7,62.06,78.13,1140.02,5910.09,78.13
2018-03-02,UcmBusinessReportingDbConn,All,All,16342.0,25775.52,45.39,78.13,1140.68,3396.55,78.13
2018-03-05,UcmBusinessReportingDbConn,All,All,20134.0,28506.55,34.72,78.11,686.67,1729.15,78.11
2018-03-06,UcmBusinessReportingDbConn,All,All,18618.0,21099.2,62.49,79.32,928.18,2861.38,79.32
2018-03-07,UcmBusinessReportingDbConn,All,All,14286.0,24600.31,62.5,93.72,1123.27,1885.53,93.72
2018-03-08,UcmBusinessReportingDbConn,All,All,15778.0,30603.4,62.38,79.96,1126.11,1839.49,79.96
2018-03-09,UcmBusinessReportingDbConn,All,All,12868.0,17372.92,62.49,93.76,1140.62,2766.79,93.76
2018-03-12,UcmBusinessReportingDbConn,All,All,21310.0,29493.84,31.84,77.73,715.42,2168.61,77.73
2018-03-13,UcmBusinessReportingDbConn,All,All,21464.0,29335.95,46.96,78.12,835.07,1914.43,78.12
2018-03-14,UcmBusinessReportingDbConn,All,All,19518.0,21649.23,52.34,78.12,874.31,2905.69,78.12
2018-03-15,UcmBusinessReportingDbConn,All,All,18300.0,40786.75,53.39,78.13,1125.04,4184.95,78.13
2018-03-16,UcmBusinessReportingDbConn,All,All,16302.0,29064.11,53.13,93.72,1143.08,3662.17,93.72
2018-03-19,UcmBusinessReportingDbConn,All,All,12102.0,18487.34,31.24,78.94,1145.43,3089.91,78.94
2018-03-20,UcmBusinessReportingDbConn,All,All,11615.0,20611.13,31.22,78.25,1140.61,1944.04,78.25
2018-03-21,UcmBusinessReportingDbConn,All,All,11129.0,24798.03,46.91,93.76,1171.7,3520.87,93.76
