startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,136.0,750.77,62.48,78.12,625.23,718.68,78.12
2018-02-05,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,145.0,703.13,31.23,62.5,609.37,688.54,62.5
2018-02-06,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,121.0,1124.66,62.47,62.69,625.0,703.03,62.69
2018-02-07,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,99.0,749.9,62.48,62.52,625.01,749.9,62.52
2018-02-08,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,144.0,687.42,62.49,78.12,624.89,671.86,78.12
2018-02-09,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,106.0,702.95,62.49,93.11,640.63,671.88,93.11
2018-02-12,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,129.0,1078.12,20.48,62.52,640.63,921.86,62.52
2018-02-13,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,69.0,609.37,60.66,62.5,93.75,609.37,62.5
2018-02-14,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,104.0,702.76,62.49,62.54,609.37,671.93,62.54
2018-02-15,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,80.0,640.63,46.88,62.5,593.79,640.63,62.5
2018-02-16,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,65.0,763.94,46.82,62.5,656.25,763.94,62.5
2018-02-19,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,38.0,812.47,15.62,62.51,609.67,812.47,62.51
2018-02-20,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,105.0,718.79,46.88,62.5,640.59,687.51,62.5
2018-02-21,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,169.0,718.76,62.41,62.51,624.97,687.51,62.51
2018-02-22,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,345.0,640.59,15.67,62.49,96.55,609.05,62.49
2018-02-23,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,560.0,1234.39,11.48,62.44,94.13,640.51,62.44
2018-02-26,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,764.0,656.25,15.18,62.49,97.6,625.0,62.49
2018-02-27,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,626.0,671.87,15.59,62.49,95.48,640.62,62.49
2018-02-28,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,553.0,828.19,17.23,62.49,109.36,622.37,62.49
2018-03-01,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,524.0,703.11,19.44,62.5,172.66,640.63,62.5
2018-03-02,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,443.0,1062.49,15.64,62.5,609.37,656.22,62.5
2018-03-05,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,532.0,640.63,16.41,62.49,93.76,612.0,62.49
2018-03-06,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,424.0,718.75,46.87,62.5,138.95,655.19,62.5
2018-03-07,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,285.0,921.87,45.08,62.5,593.74,656.24,62.5
2018-03-08,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,325.0,686.89,46.88,62.5,609.39,640.64,62.5
2018-03-09,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,311.0,671.87,31.94,62.51,624.98,656.27,62.51
2018-03-12,UcmBusinessReportingDbConn,[AttainmentReport].[GetSourceBingAdsUserForDelegate],All,533.0,2341.75,17.18,62.49,110.81,687.5,62.49
