startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,574.0,18125.18,78.12,603.68,4134.8,11961.51,603.68
2018-02-05,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,502.0,9723.08,62.54,625.02,3840.34,8396.38,625.02
2018-02-06,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,420.0,16827.84,78.14,761.33,7079.84,10182.94,761.33
2018-02-07,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,345.0,11234.47,62.5,211.87,5452.72,9578.06,211.87
2018-02-08,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,462.0,13978.11,94.51,1198.42,7566.1,10927.15,1198.42
2018-02-09,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,400.0,13703.87,109.38,1031.74,6265.62,10090.04,1031.74
2018-02-12,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,447.0,11604.61,62.5,429.11,4140.67,7188.31,429.11
2018-02-13,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,264.0,13703.04,62.5,359.43,6156.05,12378.56,359.43
2018-02-14,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,342.0,13655.14,105.8,1082.06,6641.4,8859.2,1082.06
2018-02-15,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,245.0,14578.12,62.5,163.06,3707.69,9269.01,163.06
2018-02-16,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,237.0,13360.94,62.52,633.41,6327.73,11406.78,633.41
2018-02-19,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,131.0,3645.81,29.26,187.51,1171.92,3140.67,187.51
2018-02-20,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,351.0,11847.39,62.32,577.51,4708.19,10752.61,577.51
2018-02-21,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,486.0,15984.59,62.53,718.77,6771.07,10199.65,718.77
2018-02-22,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,1320.0,13889.01,30.91,175.46,5078.61,9377.59,175.46
2018-02-23,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,3002.0,11810.78,16.19,78.12,1352.49,6743.24,78.12
2018-02-26,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,3693.0,14687.19,23.02,75.34,1337.55,6831.33,75.34
2018-02-27,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,2935.0,12415.87,19.23,63.53,1241.84,6367.48,63.53
2018-02-28,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,2276.0,12151.18,31.26,78.13,1361.95,7127.17,78.13
2018-03-01,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,2209.0,14240.48,62.32,78.13,3678.89,8073.76,78.13
2018-03-02,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,1734.0,12960.62,31.26,78.14,1797.46,7558.39,78.14
2018-03-05,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,2378.0,28506.55,31.25,78.11,699.23,5406.16,78.11
2018-03-06,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,2163.0,13206.92,62.49,78.13,1282.73,6296.73,78.13
2018-03-07,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,1252.0,15684.97,62.51,235.85,1407.61,6076.99,235.85
2018-03-08,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,1578.0,11952.89,62.49,78.15,1032.85,6703.11,78.15
2018-03-09,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,1241.0,12894.05,62.49,131.43,1601.59,6093.62,131.43
2018-03-12,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,2443.0,10484.37,31.21,75.47,640.5,5531.15,75.47
2018-03-13,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,2384.0,20865.04,40.5,78.13,967.64,6726.58,78.13
2018-03-14,UcmBusinessReportingDbConn,[Attainment].[GetAggregatedAttainmentDetails],All,2111.0,15959.44,32.66,78.13,1451.94,6442.05,78.13
