startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,574.0,3235.13,62.5,78.14,1124.99,1749.99,78.14
2018-02-05,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,502.0,9060.52,31.27,78.1,1156.27,3207.56,78.1
2018-02-06,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,420.0,5892.45,62.5,80.02,1165.76,2179.18,80.02
2018-02-07,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,345.0,42072.84,62.49,109.31,1208.28,40420.11,109.31
2018-02-08,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,462.0,41418.97,62.54,125.01,1562.53,40167.95,125.01
2018-02-09,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,400.0,6617.3,62.5,78.16,1174.97,2106.37,78.16
2018-02-12,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,447.0,40178.54,62.49,78.11,1156.22,1703.07,78.11
2018-02-13,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,264.0,40782.25,62.5,72.1,718.74,1662.35,72.1
2018-02-14,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,342.0,40698.26,62.5,120.87,1390.7,40193.73,120.87
2018-02-15,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,245.0,1696.45,31.33,78.1,1125.01,1593.7,78.1
2018-02-16,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,238.0,41488.63,62.5,93.77,1609.41,40177.45,93.77
2018-02-19,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,131.0,1176.3,15.63,62.5,249.98,1144.21,62.5
2018-02-20,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,351.0,40223.09,62.46,78.08,1171.85,40125.95,78.08
2018-02-21,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,486.0,7943.04,62.49,78.13,1218.7,4280.68,78.13
2018-02-22,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,1320.0,10812.51,15.66,62.52,1125.03,4634.55,62.52
2018-02-23,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,3002.0,8569.6,15.62,62.49,593.73,1203.12,62.49
2018-02-26,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,3693.0,9176.46,15.63,62.5,168.58,1171.86,62.5
2018-02-27,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,2935.0,10571.42,15.63,62.5,593.69,1187.47,62.5
2018-02-28,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,2276.0,5093.78,19.21,62.51,624.98,1187.49,62.51
2018-03-01,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,2209.0,9001.79,46.94,62.53,624.91,1250.0,62.53
2018-03-02,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,1734.0,5343.49,18.87,62.51,996.04,1234.34,62.51
2018-03-05,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,2378.0,25637.85,17.77,62.5,593.75,1146.05,62.5
2018-03-06,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,2163.0,4484.3,62.49,62.65,625.01,1234.32,62.65
2018-03-07,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,1252.0,8317.9,62.49,66.44,655.62,1265.6,66.44
2018-03-08,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,1578.0,9234.26,62.48,62.54,1124.98,1296.87,62.54
2018-03-09,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,1241.0,8234.28,62.46,67.33,1140.61,1866.08,67.33
2018-03-12,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,2443.0,14694.84,16.31,62.51,602.62,1187.25,62.51
2018-03-13,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,2384.0,9953.05,30.43,62.53,625.02,1237.08,62.53
2018-03-14,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,2111.0,12338.08,31.25,62.52,640.56,1390.58,62.52
2018-03-15,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,1951.0,21669.63,59.18,62.97,640.61,1690.44,62.97
2018-03-16,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,1665.0,11391.2,31.31,77.15,1144.68,2303.72,77.15
2018-03-19,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,1055.0,5890.55,15.64,62.51,1125.01,1703.1,62.51
2018-03-20,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,786.0,6168.71,15.64,62.51,609.37,1222.08,62.51
2018-03-21,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,883.0,7260.29,31.25,78.12,1187.53,2160.22,78.12
2018-03-22,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,889.0,9059.27,15.63,62.52,648.66,1665.66,62.52
2018-03-23,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,1950.0,19498.98,31.49,63.29,1089.6,2310.98,63.29
2018-03-26,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,2673.0,11249.95,15.67,62.51,609.37,1203.16,62.51
2018-03-27,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,2461.0,15777.66,46.79,62.53,609.36,1218.74,62.53
2018-03-28,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,2131.0,19265.5,62.5,78.11,671.85,1374.98,78.11
2018-03-29,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,1938.0,15319.15,48.95,62.54,640.62,1546.84,62.54
2018-03-30,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,1489.0,22030.04,62.5,78.12,1122.57,2018.32,78.12
2018-04-02,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,1731.0,8874.43,61.68,62.72,625.02,1234.36,62.72
2018-04-03,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,2226.0,11064.1,28.66,62.52,666.94,1249.97,62.52
2018-04-04,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,2283.0,9688.52,31.15,62.53,640.61,1281.14,62.53
2018-04-05,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,1912.0,8234.26,61.0,62.53,697.84,1312.48,62.53
2018-04-06,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,1544.0,10656.14,31.44,69.85,1125.0,1953.15,69.85
2018-04-09,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,2441.0,4457.68,15.7,62.51,609.26,1187.48,62.51
2018-04-10,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,2055.0,9822.44,46.86,62.54,635.84,1406.11,62.54
2018-04-11,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,1975.0,5040.37,38.27,62.54,624.99,1187.38,62.54
2018-04-12,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,1656.0,11984.92,62.49,64.64,705.61,1546.83,64.64
2018-04-13,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,1644.0,5234.28,18.04,62.53,640.65,1218.73,62.53
2018-04-16,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,1897.0,3844.64,15.65,62.51,609.39,1187.48,62.51
2018-04-17,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,1613.0,23437.23,31.22,62.53,751.4,1733.7,62.53
2018-04-18,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,2031.0,19267.08,31.28,62.52,631.2,2175.43,62.52
2018-04-19,UcmBusinessReportingDbConn,[Attainment].[GetFilteredAggregatedAttainmentDetails],All,2083.0,14000.75,31.77,62.53,628.18,1177.37,62.53
