startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,112.0,4079.66,46.87,609.37,1796.83,2597.24,609.37
2018-02-05,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,120.0,4015.68,31.29,140.63,2068.49,3027.25,140.63
2018-02-06,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,105.0,3078.09,76.54,296.86,1671.71,2265.67,296.86
2018-02-07,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,98.0,2982.77,578.12,656.22,1812.22,2982.77,656.22
2018-02-08,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,144.0,12693.76,625.03,1178.4,3711.93,5280.79,1178.4
2018-02-09,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,106.0,14823.92,609.36,1140.62,3675.0,14812.8,1140.62
2018-02-12,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,129.0,2578.08,93.77,640.63,1765.05,2312.51,640.63
2018-02-13,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,69.0,2247.32,140.61,640.63,1093.77,2247.32,640.63
2018-02-14,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,104.0,2953.13,604.58,1078.11,1796.42,2328.32,1078.11
2018-02-15,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,80.0,2406.26,185.05,1124.93,1692.62,2406.26,1124.93
2018-02-16,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,65.0,2421.7,138.19,669.46,2249.9,2421.7,669.46
2018-02-19,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,38.0,1828.06,78.08,187.55,1687.41,1828.06,187.55
2018-02-20,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,105.0,2312.64,140.62,640.65,1787.94,2296.34,640.65
2018-02-21,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,169.0,2468.79,624.97,718.66,1796.72,2312.39,718.66
2018-02-22,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,345.0,4970.96,109.14,640.6,1313.22,2312.41,640.6
2018-02-23,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,560.0,2437.5,62.5,202.68,1281.24,2328.11,202.68
2018-02-26,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,764.0,4140.82,63.01,185.36,1265.6,1724.39,185.36
2018-02-27,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,626.0,2436.89,59.14,206.75,1248.97,1780.97,206.75
2018-02-28,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,553.0,6797.37,78.53,612.9,1156.27,1796.83,612.9
2018-03-01,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,524.0,2593.76,93.74,625.01,1687.45,2358.42,625.01
2018-03-02,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,443.0,2386.28,78.53,625.03,1704.05,2265.62,625.03
2018-03-05,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,532.0,21285.37,78.13,400.95,1187.47,1734.34,400.95
2018-03-06,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,424.0,1875.01,109.26,640.62,1274.88,1781.19,640.62
2018-03-07,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,285.0,2656.22,93.78,640.61,1703.11,2218.71,640.61
2018-03-08,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,325.0,2327.38,109.48,641.09,1703.16,1765.6,641.09
2018-03-09,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,311.0,2914.06,109.38,640.62,1718.7,2313.14,640.62
2018-03-12,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,533.0,2359.45,78.31,270.64,1237.04,1828.05,270.64
2018-03-13,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,527.0,3046.85,93.06,624.43,1687.49,2281.23,624.43
2018-03-14,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,443.0,2390.68,82.86,624.99,1688.84,2312.5,624.99
2018-03-15,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,450.0,3031.1,93.74,624.97,1210.86,1797.07,624.97
2018-03-16,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,426.0,7249.94,109.91,640.61,1703.42,2296.82,640.61
2018-03-19,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,247.0,2968.75,75.75,249.99,1718.76,2390.6,249.99
2018-03-20,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,203.0,3047.06,62.54,232.86,1812.47,2372.7,232.86
2018-03-21,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,173.0,2328.13,78.13,624.99,1734.8,2328.08,624.99
2018-03-22,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,227.0,2437.46,93.75,312.53,1765.6,2328.1,312.53
2018-03-23,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,409.0,2499.98,93.74,624.98,1703.07,2226.34,624.98
2018-03-26,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,619.0,2843.8,80.02,624.8,1281.25,1812.45,624.8
2018-03-27,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,568.0,2453.12,93.74,624.97,781.59,1796.85,624.97
2018-03-28,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,470.0,2546.83,109.39,655.78,1515.62,2065.02,655.78
2018-03-29,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,419.0,7621.2,93.75,625.0,1718.71,2062.49,625.0
2018-03-30,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,333.0,2437.43,140.47,656.22,1703.1,2032.21,656.22
2018-04-02,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,423.0,3004.72,101.82,640.66,1734.39,2312.48,640.66
2018-04-03,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,490.0,2468.33,82.16,624.99,1687.38,1864.69,624.99
2018-04-04,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,420.0,5845.56,93.74,624.3,1671.82,1796.84,624.3
2018-04-05,UcmBusinessReportingDbConn,[Attainment].[GetTeamMembersWithFiscalOption],All,394.0,2624.77,93.74,625.0,1687.46,2249.99,625.0
