startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,12.0,93.74,0.0,62.5,93.74,93.74,62.5
2018-02-05,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,11.0,640.6,62.49,78.12,640.6,640.6,78.12
2018-02-06,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,6.0,78.13,62.5,62.65,78.13,78.13,62.65
2018-02-07,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,31.0,609.46,62.51,78.12,593.78,609.46,78.12
2018-02-08,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,60.0,640.62,78.12,93.74,375.03,640.62,93.74
2018-02-09,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,67.0,1609.34,62.49,62.54,609.36,1609.34,62.54
2018-02-12,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,16.0,312.5,62.55,93.75,312.5,312.5,93.75
2018-02-13,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,25.0,913.53,62.53,93.73,640.66,913.53,93.73
2018-02-14,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,23.0,624.97,62.53,93.74,343.75,624.97,93.74
2018-02-15,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,12.0,103.52,62.5,62.53,103.52,103.52,62.53
2018-02-16,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,8.0,627.63,69.97,593.88,627.63,627.63,593.88
2018-02-19,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,2.0,31.26,0.0,31.26,31.26,31.26,31.26
2018-02-20,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,13.0,656.28,62.53,77.43,656.28,656.28,77.43
2018-02-21,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,17.0,406.27,62.5,62.54,406.27,406.27,62.54
2018-02-22,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,37.0,348.67,62.5,62.54,93.75,348.67,62.54
2018-02-23,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,134.0,687.56,31.26,62.5,93.77,437.56,62.5
2018-02-26,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,119.0,515.61,29.72,62.46,95.18,359.38,62.46
2018-02-27,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,82.0,1078.12,31.25,74.13,281.8,1078.12,74.13
2018-02-28,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,85.0,359.4,46.86,62.51,109.38,359.4,62.51
2018-03-01,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,65.0,640.62,46.87,62.5,93.81,640.62,62.5
2018-03-02,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,71.0,843.73,62.44,62.51,625.04,843.73,62.51
2018-03-05,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,74.0,484.37,62.49,62.51,140.58,484.37,62.51
2018-03-06,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,55.0,953.14,62.48,63.0,328.13,953.14,63.0
2018-03-07,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,40.0,312.5,62.5,93.73,125.03,312.5,93.73
2018-03-08,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,53.0,671.87,62.49,62.53,593.75,671.87,62.53
2018-03-09,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,54.0,1055.93,62.5,78.12,624.98,1055.93,78.12
2018-03-12,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,83.0,328.16,34.05,62.54,93.78,328.16,62.54
2018-03-13,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,63.0,656.27,46.82,62.51,390.67,656.27,62.51
2018-03-14,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,67.0,593.68,62.48,77.91,281.26,593.68,77.91
2018-03-15,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,74.0,734.48,62.5,68.31,328.13,734.48,68.31
2018-03-16,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,74.0,656.25,31.29,78.16,342.94,656.25,78.16
2018-03-19,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,51.0,966.42,62.48,78.12,281.25,966.42,78.12
2018-03-20,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,26.0,1031.25,62.51,93.77,687.49,1031.25,93.77
2018-03-21,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,41.0,484.38,62.5,68.5,265.63,484.38,68.5
2018-03-22,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,34.0,656.25,31.27,78.16,296.74,656.25,78.16
2018-03-23,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,74.0,656.23,46.86,78.23,421.86,656.23,78.23
2018-03-26,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,120.0,546.88,62.45,62.51,93.75,359.37,62.51
2018-03-27,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,64.0,593.74,45.49,62.51,93.75,593.74,62.51
2018-03-28,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,75.0,455.37,62.5,64.73,109.38,455.37,64.73
2018-03-29,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,49.0,578.12,62.5,78.12,296.87,578.12,78.12
2018-03-30,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,63.0,624.99,62.5,62.51,125.0,624.99,62.51
2018-04-02,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,54.0,625.04,62.49,93.74,343.76,625.04,93.74
2018-04-03,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,61.0,1047.35,31.63,78.13,287.24,1047.35,78.13
2018-04-04,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,69.0,624.99,62.5,78.12,328.15,624.99,78.12
2018-04-05,UcmBusinessReportingDbConn,[Attainment].[GetTeamsAggregatedAttainmentSummaryV1],All,55.0,678.25,31.25,62.5,265.65,678.25,62.5
