startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,35.0,3218.66,66.15,142.17,765.62,3218.66,142.17
2018-02-05,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,40.0,1171.87,46.86,194.47,609.35,1171.87,194.47
2018-02-06,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,36.0,1312.47,62.49,124.99,609.37,1312.47,124.99
2018-02-07,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,21.0,749.99,142.46,250.01,343.79,749.99,250.01
2018-02-08,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,41.0,3102.66,140.63,281.24,921.9,3102.66,281.24
2018-02-09,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,38.0,3734.3,203.14,765.62,3031.22,3734.3,765.62
2018-02-12,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,29.0,3762.47,62.5,141.7,1687.51,3762.47,141.7
2018-02-13,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,20.0,875.07,62.47,203.12,735.82,875.07,203.12
2018-02-14,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,31.0,1172.06,156.24,265.59,859.43,1172.06,265.59
2018-02-15,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,16.0,887.88,140.62,249.97,887.88,887.88,249.97
2018-02-16,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,15.0,3406.25,250.01,860.59,3406.25,3406.25,860.59
2018-02-19,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,9.0,78.13,15.63,31.31,78.13,78.13,31.31
2018-02-20,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,21.0,718.79,140.63,203.14,609.36,718.79,203.14
2018-02-21,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,44.0,3906.17,64.02,265.63,1250.15,3906.17,265.63
2018-02-22,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,116.0,1453.14,62.49,156.24,671.87,1375.0,156.24
2018-02-23,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,111.0,3706.81,15.63,156.26,874.91,2593.88,156.26
2018-02-26,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,153.0,2147.77,15.63,93.8,312.49,1713.1,93.8
2018-02-27,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,128.0,1921.87,15.63,78.14,312.54,1187.44,78.14
2018-02-28,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,103.0,843.79,31.26,78.13,591.39,828.12,78.13
2018-03-01,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,124.0,2734.34,62.5,187.54,796.87,1844.38,187.54
2018-03-02,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,91.0,3031.18,62.51,140.78,656.22,3031.18,140.78
2018-03-05,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,88.0,1515.42,31.26,62.54,140.66,1515.42,62.54
2018-03-06,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,105.0,2765.65,62.49,78.16,828.12,2390.08,78.16
2018-03-07,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,72.0,796.86,62.24,62.53,249.99,796.86,62.53
2018-03-08,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,77.0,1953.08,62.49,62.51,749.99,1953.08,62.51
2018-03-09,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,56.0,1530.53,62.49,140.62,703.13,1530.53,140.62
2018-03-12,UcmBusinessReportingDbConn,[Attainment].[GetViewAsListForManagerV1],All,104.0,3124.94,15.6,62.5,734.37,2189.17,62.5
