startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Banners].[GetBannerDomainData],All,66.0,859.39,62.5,78.41,640.56,859.39,78.41
2018-02-05,UcmDbConn,[Banners].[GetBannerDomainData],All,83.0,1499.95,62.5,63.33,596.65,1499.95,63.33
2018-02-06,UcmDbConn,[Banners].[GetBannerDomainData],All,101.0,671.78,62.5,62.52,609.37,656.13,62.52
2018-02-07,UcmDbConn,[Banners].[GetBannerDomainData],All,120.0,1656.17,62.49,62.56,593.74,1140.37,62.56
2018-02-08,UcmDbConn,[Banners].[GetBannerDomainData],All,81.0,3000.04,62.5,78.28,625.0,3000.04,78.28
2018-02-09,UcmDbConn,[Banners].[GetBannerDomainData],All,99.0,703.15,62.5,62.51,593.75,703.15,62.51
2018-02-12,UcmDbConn,[Banners].[GetBannerDomainData],All,77.0,1125.02,62.5,62.51,578.12,1125.02,62.51
2018-02-13,UcmDbConn,[Banners].[GetBannerDomainData],All,79.0,624.93,62.5,62.51,593.74,624.93,62.51
2018-02-14,UcmDbConn,[Banners].[GetBannerDomainData],All,108.0,609.33,62.5,62.5,78.14,593.71,62.5
2018-02-15,UcmDbConn,[Banners].[GetBannerDomainData],All,69.0,703.14,62.5,62.51,624.99,703.14,62.51
2018-02-16,UcmDbConn,[Banners].[GetBannerDomainData],All,86.0,624.13,62.5,62.51,80.87,624.13,62.51
2018-02-19,UcmDbConn,[Banners].[GetBannerDomainData],All,18.0,624.98,57.31,62.54,624.98,624.98,62.54
2018-02-20,UcmDbConn,[Banners].[GetBannerDomainData],All,56.0,640.57,62.5,78.13,609.3,640.57,78.13
2018-02-21,UcmDbConn,[Banners].[GetBannerDomainData],All,100.0,609.5,62.5,62.52,171.87,593.74,62.52
2018-02-22,UcmDbConn,[Banners].[GetBannerDomainData],All,151.0,671.89,62.5,62.56,593.78,656.24,62.56
2018-02-23,UcmDbConn,[Banners].[GetBannerDomainData],All,76.0,609.52,62.49,62.51,78.13,609.52,62.51
2018-02-26,UcmDbConn,[Banners].[GetBannerDomainData],All,145.0,2171.88,62.5,62.51,93.76,765.62,62.51
2018-02-27,UcmDbConn,[Banners].[GetBannerDomainData],All,113.0,686.93,62.49,62.51,109.37,656.23,62.51
2018-02-28,UcmDbConn,[Banners].[GetBannerDomainData],All,78.0,1438.89,62.5,78.12,640.63,1438.89,78.12
2018-03-01,UcmDbConn,[Banners].[GetBannerDomainData],All,138.0,1109.36,62.5,62.51,640.57,765.62,62.51
2018-03-02,UcmDbConn,[Banners].[GetBannerDomainData],All,76.0,1093.78,62.5,62.51,625.0,1093.78,62.51
2018-03-05,UcmDbConn,[Banners].[GetBannerDomainData],All,80.0,625.0,62.5,62.92,437.5,625.0,62.92
2018-03-06,UcmDbConn,[Banners].[GetBannerDomainData],All,114.0,19255.15,62.5,62.59,609.38,2546.84,62.59
2018-03-07,UcmDbConn,[Banners].[GetBannerDomainData],All,82.0,729.59,62.5,62.53,593.74,729.59,62.53
2018-03-08,UcmDbConn,[Banners].[GetBannerDomainData],All,87.0,687.53,62.5,62.76,593.76,687.53,62.76
2018-03-09,UcmDbConn,[Banners].[GetBannerDomainData],All,68.0,640.14,62.5,62.52,580.15,640.14,62.52
2018-03-12,UcmDbConn,[Banners].[GetBannerDomainData],All,127.0,640.61,62.5,62.61,593.73,639.83,62.61
2018-03-13,UcmDbConn,[Banners].[GetBannerDomainData],All,108.0,640.69,62.5,62.51,125.18,625.0,62.51
2018-03-14,UcmDbConn,[Banners].[GetBannerDomainData],All,160.0,640.62,62.5,62.58,203.11,625.01,62.58
2018-03-15,UcmDbConn,[Banners].[GetBannerDomainData],All,100.0,656.24,62.5,62.51,609.37,656.24,62.51
2018-03-16,UcmDbConn,[Banners].[GetBannerDomainData],All,122.0,858.17,62.5,62.64,625.0,656.3,62.64
2018-03-19,UcmDbConn,[Banners].[GetBannerDomainData],All,120.0,656.29,62.5,62.53,546.7,640.62,62.53
2018-03-20,UcmDbConn,[Banners].[GetBannerDomainData],All,129.0,647.12,62.5,62.52,93.75,641.32,62.52
2018-03-21,UcmDbConn,[Banners].[GetBannerDomainData],All,78.0,734.37,62.5,62.61,609.37,734.37,62.61
2018-03-22,UcmDbConn,[Banners].[GetBannerDomainData],All,159.0,671.86,62.5,62.55,609.38,656.25,62.55
2018-03-23,UcmDbConn,[Banners].[GetBannerDomainData],All,106.0,640.68,62.5,62.51,592.93,623.85,62.51
2018-03-26,UcmDbConn,[Banners].[GetBannerDomainData],All,152.0,624.99,62.5,62.51,109.36,609.36,62.51
2018-03-27,UcmDbConn,[Banners].[GetBannerDomainData],All,145.0,19243.62,62.49,62.51,609.38,750.01,62.51
2018-03-28,UcmDbConn,[Banners].[GetBannerDomainData],All,106.0,624.99,62.5,62.68,93.75,624.15,62.68
2018-03-29,UcmDbConn,[Banners].[GetBannerDomainData],All,78.0,562.49,62.49,62.51,125.0,562.49,62.51
2018-03-30,UcmDbConn,[Banners].[GetBannerDomainData],All,116.0,749.99,62.5,62.51,125.0,656.35,62.51
2018-04-02,UcmDbConn,[Banners].[GetBannerDomainData],All,116.0,1625.09,62.5,78.12,593.76,1531.24,78.12
2018-04-03,UcmDbConn,[Banners].[GetBannerDomainData],All,119.0,624.99,62.5,63.21,578.13,608.9,63.21
2018-04-04,UcmDbConn,[Banners].[GetBannerDomainData],All,148.0,643.64,62.5,62.51,93.75,640.62,62.51
2018-04-05,UcmDbConn,[Banners].[GetBannerDomainData],All,91.0,609.37,62.49,62.51,93.31,609.37,62.51
2018-04-06,UcmDbConn,[Banners].[GetBannerDomainData],All,120.0,671.86,62.48,62.51,597.8,640.61,62.51
2018-04-09,UcmDbConn,[Banners].[GetBannerDomainData],All,111.0,625.0,62.5,62.51,578.13,624.96,62.51
2018-04-10,UcmDbConn,[Banners].[GetBannerDomainData],All,135.0,671.7,62.5,62.84,593.75,640.62,62.84
2018-04-11,UcmDbConn,[Banners].[GetBannerDomainData],All,112.0,702.37,62.5,62.51,609.3,640.68,62.51
2018-04-12,UcmDbConn,[Banners].[GetBannerDomainData],All,114.0,1156.02,62.5,62.77,609.37,1124.9,62.77
2018-04-13,UcmDbConn,[Banners].[GetBannerDomainData],All,97.0,640.65,62.5,62.71,625.03,640.65,62.71
2018-04-16,UcmDbConn,[Banners].[GetBannerDomainData],All,82.0,1123.93,62.5,62.92,140.63,1123.93,62.92
2018-04-17,UcmDbConn,[Banners].[GetBannerDomainData],All,136.0,703.13,62.5,62.88,593.75,640.63,62.88
2018-04-18,UcmDbConn,[Banners].[GetBannerDomainData],All,238.0,1110.94,62.5,62.54,171.9,1109.35,62.54
2018-04-19,UcmDbConn,[Banners].[GetBannerDomainData],All,195.0,1110.24,62.5,62.67,609.36,665.1,62.67
2018-04-20,UcmDbConn,[Banners].[GetBannerDomainData],All,225.0,1109.36,62.5,62.53,93.75,609.34,62.53
2018-04-23,UcmDbConn,[Banners].[GetBannerDomainData],All,119.0,640.66,62.5,65.3,609.38,625.0,65.3
2018-04-24,UcmDbConn,[Banners].[GetBannerDomainData],All,183.0,656.24,62.5,63.13,578.11,656.24,63.13
2018-04-25,UcmDbConn,[Banners].[GetBannerDomainData],All,108.0,1014.46,62.5,62.53,593.77,671.87,62.53
2018-04-26,UcmDbConn,[Banners].[GetBannerDomainData],All,178.0,593.79,62.5,75.9,156.25,593.74,75.9
2018-04-27,UcmDbConn,[Banners].[GetBannerDomainData],All,83.0,1031.24,62.5,62.72,314.78,1031.24,62.72
2018-04-30,UcmDbConn,[Banners].[GetBannerDomainData],All,174.0,1109.37,62.5,62.5,109.4,609.4,62.5
2018-05-01,UcmDbConn,[Banners].[GetBannerDomainData],All,80.0,625.0,62.49,62.5,94.59,625.0,62.5
2018-05-02,UcmDbConn,[Banners].[GetBannerDomainData],All,118.0,1047.34,62.5,63.16,625.02,749.99,63.16
2018-05-03,UcmDbConn,[Banners].[GetBannerDomainData],All,114.0,625.03,62.44,62.5,593.04,624.99,62.5
2018-05-04,UcmDbConn,[Banners].[GetBannerDomainData],All,101.0,859.38,62.5,78.12,593.74,671.88,78.12
2018-05-07,UcmDbConn,[Banners].[GetBannerDomainData],All,66.0,1624.98,62.5,64.42,578.12,1624.98,64.42
2018-05-08,UcmDbConn,[Banners].[GetBannerDomainData],All,102.0,1109.36,62.5,62.51,93.75,734.22,62.51
2018-05-09,UcmDbConn,[Banners].[GetBannerDomainData],All,92.0,624.92,62.5,78.12,312.49,624.92,78.12
2018-05-10,UcmDbConn,[Banners].[GetBannerDomainData],All,114.0,968.71,62.5,81.15,623.2,703.12,81.15
2018-05-11,UcmDbConn,[Banners].[GetBannerDomainData],All,106.0,624.99,62.5,62.89,125.0,609.41,62.89
2018-05-14,UcmDbConn,[Banners].[GetBannerDomainData],All,117.0,1093.8,62.5,63.64,592.8,751.93,63.64
2018-05-15,UcmDbConn,[Banners].[GetBannerDomainData],All,130.0,4920.72,62.47,67.34,578.13,640.64,67.34
2018-05-16,UcmDbConn,[Banners].[GetBannerDomainData],All,113.0,687.55,62.5,65.0,184.79,625.36,65.0
2018-05-17,UcmDbConn,[Banners].[GetBannerDomainData],All,117.0,1125.02,62.51,78.08,608.85,687.46,78.08
2018-05-18,UcmDbConn,[Banners].[GetBannerDomainData],All,90.0,1640.66,62.5,67.56,593.67,1640.66,67.56
2018-05-21,UcmDbConn,[Banners].[GetBannerDomainData],All,134.0,1140.65,62.49,67.06,593.45,1093.77,67.06
2018-05-22,UcmDbConn,[Banners].[GetBannerDomainData],All,112.0,859.24,62.5,66.23,93.95,669.32,66.23
2018-05-23,UcmDbConn,[Banners].[GetBannerDomainData],All,134.0,1012.74,62.44,67.39,593.78,736.97,67.39
2018-05-24,UcmDbConn,[Banners].[GetBannerDomainData],All,105.0,765.48,62.51,67.82,578.18,609.06,67.82
2018-05-25,UcmDbConn,[Banners].[GetBannerDomainData],All,74.0,1127.18,62.49,66.58,592.31,1127.18,66.58
2018-05-28,UcmDbConn,[Banners].[GetBannerDomainData],All,41.0,1078.15,62.49,66.61,609.41,1078.15,66.61
2018-05-29,UcmDbConn,[Banners].[GetBannerDomainData],All,101.0,658.15,61.21,63.56,126.39,639.73,63.56
2018-05-30,UcmDbConn,[Banners].[GetBannerDomainData],All,101.0,609.4,61.87,63.23,78.71,125.0,63.23
2018-05-31,UcmDbConn,[Banners].[GetBannerDomainData],All,113.0,609.41,62.51,68.14,124.61,602.94,68.14
2018-06-01,UcmDbConn,[Banners].[GetBannerDomainData],All,91.0,671.91,62.47,67.32,203.09,671.91,67.32
2018-06-04,UcmDbConn,[Banners].[GetBannerDomainData],All,108.0,3593.46,62.48,66.52,128.86,1113.65,66.52
2018-06-05,UcmDbConn,[Banners].[GetBannerDomainData],All,145.0,624.99,62.49,65.33,93.76,624.13,65.33
2018-06-06,UcmDbConn,[Banners].[GetBannerDomainData],All,148.0,1265.66,62.51,78.11,128.63,733.99,78.11
2018-06-07,UcmDbConn,[Banners].[GetBannerDomainData],All,162.0,671.87,62.46,66.26,139.45,653.76,66.26
2018-06-08,UcmDbConn,[Banners].[GetBannerDomainData],All,147.0,1110.98,61.72,65.97,171.88,640.65,65.97
2018-06-11,UcmDbConn,[Banners].[GetBannerDomainData],All,123.0,605.96,62.46,73.73,156.61,578.13,73.73
2018-06-12,UcmDbConn,[Banners].[GetBannerDomainData],All,131.0,5748.1,62.16,64.47,139.92,1015.6,64.47
2018-06-13,UcmDbConn,[Banners].[GetBannerDomainData],All,116.0,640.63,62.47,75.57,143.35,625.0,75.57
