startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Banners].[GetBannersByUser],All,7939.0,21115.55,62.5,78.15,640.61,1140.63,78.15
2018-02-05,UcmDbConn,[Banners].[GetBannersByUser],All,9058.0,22834.3,62.5,78.12,625.0,1101.65,78.12
2018-02-06,UcmDbConn,[Banners].[GetBannersByUser],All,9635.0,19264.67,62.5,78.12,625.01,1124.99,78.12
2018-02-07,UcmDbConn,[Banners].[GetBannersByUser],All,9222.0,15078.56,62.5,78.12,624.99,897.1,78.12
2018-02-08,UcmDbConn,[Banners].[GetBannersByUser],All,9001.0,45740.89,62.5,78.13,640.61,1104.17,78.13
2018-02-09,UcmDbConn,[Banners].[GetBannersByUser],All,8291.0,19280.9,62.5,78.13,625.04,878.9,78.13
2018-02-12,UcmDbConn,[Banners].[GetBannersByUser],All,10458.0,2718.69,62.5,78.12,594.14,671.88,78.12
2018-02-13,UcmDbConn,[Banners].[GetBannersByUser],All,6626.0,2953.11,62.5,78.13,609.36,687.62,78.13
2018-02-14,UcmDbConn,[Banners].[GetBannersByUser],All,9190.0,19263.93,62.5,78.13,624.99,781.22,78.13
2018-02-15,UcmDbConn,[Banners].[GetBannersByUser],All,8627.0,10046.63,62.5,78.13,625.08,757.8,78.13
2018-02-16,UcmDbConn,[Banners].[GetBannersByUser],All,7302.0,3093.41,62.5,78.13,625.04,781.29,78.13
2018-02-19,UcmDbConn,[Banners].[GetBannersByUser],All,5891.0,2781.2,62.5,78.13,640.09,1109.37,78.13
2018-02-20,UcmDbConn,[Banners].[GetBannersByUser],All,9073.0,8234.74,62.5,79.64,625.0,821.86,79.64
2018-02-21,UcmDbConn,[Banners].[GetBannersByUser],All,9481.0,5908.25,62.5,78.13,625.0,734.2,78.13
2018-02-22,UcmDbConn,[Banners].[GetBannersByUser],All,9989.0,4031.28,62.5,78.13,625.0,765.64,78.13
2018-02-23,UcmDbConn,[Banners].[GetBannersByUser],All,8710.0,19355.21,62.5,78.13,625.06,1124.61,78.13
2018-02-26,UcmDbConn,[Banners].[GetBannersByUser],All,10890.0,3296.83,62.5,78.12,616.03,711.45,78.12
2018-02-27,UcmDbConn,[Banners].[GetBannersByUser],All,11164.0,5001.17,62.5,78.12,624.6,722.64,78.12
2018-02-28,UcmDbConn,[Banners].[GetBannersByUser],All,11004.0,14624.8,62.5,78.13,624.92,781.14,78.13
2018-03-01,UcmDbConn,[Banners].[GetBannersByUser],All,11586.0,15219.15,62.5,78.13,609.37,749.14,78.13
2018-03-02,UcmDbConn,[Banners].[GetBannersByUser],All,11578.0,19249.98,62.5,78.13,609.45,777.18,78.13
2018-03-05,UcmDbConn,[Banners].[GetBannersByUser],All,9869.0,3046.8,62.5,78.12,609.37,703.11,78.12
2018-03-06,UcmDbConn,[Banners].[GetBannersByUser],All,10352.0,19281.74,62.5,78.13,624.99,859.9,78.13
2018-03-07,UcmDbConn,[Banners].[GetBannersByUser],All,9690.0,12952.95,62.5,78.14,625.0,1057.33,78.14
2018-03-08,UcmDbConn,[Banners].[GetBannersByUser],All,9141.0,19261.95,62.5,78.13,625.0,819.96,78.13
2018-03-09,UcmDbConn,[Banners].[GetBannersByUser],All,7748.0,15509.92,62.5,78.13,640.47,1124.99,78.13
2018-03-12,UcmDbConn,[Banners].[GetBannersByUser],All,11589.0,19363.39,62.5,78.13,609.58,703.11,78.13
2018-03-13,UcmDbConn,[Banners].[GetBannersByUser],All,11056.0,66081.56,62.5,78.12,624.99,875.01,78.12
2018-03-14,UcmDbConn,[Banners].[GetBannersByUser],All,12053.0,9815.33,62.5,78.13,609.49,718.74,78.13
2018-03-15,UcmDbConn,[Banners].[GetBannersByUser],All,13165.0,19266.85,62.5,78.13,609.36,702.57,78.13
2018-03-16,UcmDbConn,[Banners].[GetBannersByUser],All,10364.0,19300.98,62.5,78.13,626.53,1105.82,78.13
2018-03-19,UcmDbConn,[Banners].[GetBannersByUser],All,8621.0,19367.98,62.5,78.14,640.49,859.44,78.14
2018-03-20,UcmDbConn,[Banners].[GetBannersByUser],All,9558.0,19378.84,62.5,78.13,640.61,1113.01,78.13
