startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,27259.0,19257.77,61.78,77.95,204.28,527.36,77.95
2018-02-05,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,33761.0,7490.05,48.92,64.31,172.28,465.82,64.31
2018-02-06,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,34314.0,12498.91,61.94,76.52,187.57,499.5,76.52
2018-02-07,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,32116.0,3670.85,62.26,63.51,171.86,422.41,63.51
2018-02-08,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,30511.0,19377.4,60.33,78.08,171.52,421.68,78.08
2018-02-09,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,25575.0,19371.47,59.43,63.58,159.76,435.49,63.58
2018-02-12,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,32728.0,3636.62,61.85,62.61,156.15,374.24,62.61
2018-02-13,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,21667.0,19268.56,62.49,78.09,183.95,421.9,78.09
2018-02-14,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,29303.0,8234.53,60.1,63.52,171.43,414.43,63.52
2018-02-15,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,27369.0,19261.52,62.3,78.06,174.81,406.23,78.06
2018-02-16,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,25323.0,8795.46,61.13,62.69,171.85,499.5,62.69
2018-02-19,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,23389.0,3046.94,48.36,62.51,156.24,483.74,62.51
2018-02-20,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,33390.0,12829.18,62.5,78.14,278.11,703.7,78.14
2018-02-21,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,32546.0,19277.16,62.01,64.71,187.51,499.47,64.71
2018-02-22,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,32803.0,19365.9,62.49,76.52,188.85,539.65,76.52
2018-02-23,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,27931.0,7641.18,62.46,67.93,188.36,500.81,67.93
2018-02-26,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,33335.0,4718.58,62.2,77.85,188.0,496.55,77.85
2018-02-27,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,37740.0,7297.13,62.34,67.02,187.47,500.92,67.02
2018-02-28,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,36140.0,78719.17,62.44,66.28,171.89,418.81,66.28
2018-03-01,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,33359.0,18430.11,62.48,65.67,173.4,422.07,65.67
2018-03-02,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,26376.0,19270.67,47.68,62.61,200.59,498.81,62.61
2018-03-05,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,30602.0,5218.32,49.45,63.06,189.79,477.6,63.06
2018-03-06,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,31602.0,19263.45,62.36,63.15,187.66,501.9,63.15
2018-03-07,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,27370.0,10451.83,62.49,76.92,204.21,593.73,76.92
2018-03-08,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,27392.0,5002.5,62.47,62.65,186.66,499.81,62.65
2018-03-09,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,22789.0,3621.03,62.03,62.55,173.27,541.2,62.55
2018-03-12,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,33424.0,18472.55,59.17,72.21,188.46,527.51,72.21
2018-03-13,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,33793.0,23228.39,48.73,65.39,201.72,532.78,65.39
2018-03-14,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,34469.0,14244.8,62.14,64.17,171.89,468.59,64.17
2018-03-15,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,30943.0,19265.31,61.19,65.67,158.13,437.57,65.67
2018-03-16,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,26710.0,29256.39,61.77,65.22,172.75,513.71,65.22
2018-03-19,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,28609.0,8421.18,59.92,64.67,188.84,548.73,64.67
2018-03-20,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,26971.0,19265.45,48.06,62.65,173.85,562.31,62.65
2018-03-21,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,25406.0,17833.28,61.78,62.54,172.54,489.81,62.54
2018-03-22,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,24900.0,11699.89,56.11,62.54,186.31,482.98,62.54
2018-03-23,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,25946.0,19278.84,48.7,62.56,174.56,483.51,62.56
2018-03-26,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,32160.0,19260.56,59.58,65.96,171.9,454.66,65.96
2018-03-27,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,34602.0,3169.62,55.5,68.41,187.49,453.21,68.41
2018-03-28,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,34766.0,19268.7,62.47,77.95,187.55,456.18,77.95
2018-03-29,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,30223.0,22171.47,62.42,66.24,187.3,499.22,66.24
2018-03-30,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,21876.0,22843.46,62.49,78.11,187.48,578.87,78.11
2018-04-02,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,23875.0,29734.86,62.48,77.12,187.42,526.32,77.12
2018-04-03,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,35873.0,31501.91,62.28,77.64,199.11,624.98,77.64
2018-04-04,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,37060.0,18765.41,50.43,62.53,156.26,389.27,62.53
2018-04-05,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,35445.0,5843.62,47.69,62.53,156.3,376.75,62.53
2018-04-06,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,28358.0,4871.87,61.71,66.58,201.39,583.43,66.58
2018-04-09,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,34562.0,19260.58,60.69,62.64,187.49,483.5,62.64
2018-04-10,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,34468.0,52388.1,58.6,64.71,182.61,456.63,64.71
2018-04-11,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,31823.0,19187.01,62.44,78.04,203.26,532.81,78.04
2018-04-12,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,31684.0,6656.11,62.28,72.44,202.25,517.83,72.44
2018-04-13,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,29168.0,21075.42,62.14,63.28,187.1,500.01,63.28
2018-04-16,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,32719.0,3934.89,62.12,78.08,202.17,498.57,78.08
2018-04-17,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,33749.0,3468.7,62.47,77.63,187.6,499.68,77.63
2018-04-18,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,35315.0,3655.75,62.49,78.11,187.52,466.29,78.11
2018-04-19,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,34364.0,19281.05,62.48,78.11,205.29,494.26,78.11
2018-04-20,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,27534.0,4809.65,60.06,63.25,187.56,501.3,63.25
2018-04-23,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,32731.0,16938.81,61.47,77.75,189.31,531.3,77.75
2018-04-24,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,31381.0,21109.36,62.5,78.12,217.14,546.45,78.12
2018-04-25,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,32891.0,19365.89,62.49,77.56,203.24,452.59,77.56
2018-04-26,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,25431.0,73636.4,62.53,89.72,264.46,594.62,89.72
2018-04-27,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,27002.0,5566.22,62.51,78.15,250.23,625.01,78.15
2018-04-30,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,31749.0,5767.29,62.49,78.08,187.55,546.87,78.08
2018-05-01,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,29543.0,3906.18,62.49,77.96,172.97,423.03,77.96
2018-05-02,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,34845.0,17920.12,62.22,72.17,173.77,486.92,72.17
2018-05-03,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,32882.0,19277.58,62.48,78.08,194.95,513.74,78.08
2018-05-04,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,26550.0,5540.91,62.49,77.82,195.1,528.47,77.82
2018-05-07,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,30801.0,19367.45,62.45,77.55,171.85,392.12,77.55
2018-05-08,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,34593.0,10343.7,62.49,63.69,156.36,391.68,63.69
2018-05-09,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,35799.0,56006.53,62.49,78.09,187.7,578.55,78.09
2018-05-10,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,33341.0,357849.42,62.5,78.11,236.93,827.5,78.11
2018-05-11,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,27781.0,177085.69,62.49,77.51,203.09,531.46,77.51
2018-05-14,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,33144.0,5553.58,58.22,78.07,211.23,594.07,78.07
2018-05-15,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,33109.0,7802.34,53.07,65.3,171.93,422.68,65.3
2018-05-16,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,33027.0,19563.09,59.58,64.81,187.44,527.74,64.81
2018-05-17,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,31889.0,9929.53,62.47,78.11,218.72,593.7,78.11
2018-05-18,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,27380.0,9123.76,60.12,63.4,169.25,453.35,63.4
2018-05-21,UcmDbConn,[BookOfBusiness].[GetAccountTeamForAccounts],All,32131.0,12278.68,62.48,78.08,200.55,530.36,78.08
