startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,14698.0,19257.77,32.54,62.51,943.07,1901.88,62.51
2018-02-05,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,16709.0,2187.46,20.06,62.5,78.25,593.79,62.5
2018-02-06,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,17969.0,3249.96,31.25,62.51,83.57,593.76,62.51
2018-02-07,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,18474.0,2091.61,30.31,62.51,78.21,593.64,62.51
2018-02-08,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,15912.0,18522.9,31.23,62.51,93.71,527.99,62.51
2018-02-09,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,13457.0,19371.47,20.15,62.5,78.2,593.77,62.5
2018-02-12,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,17492.0,3029.37,31.97,62.51,78.22,516.07,62.51
2018-02-13,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,11382.0,19377.93,60.95,62.51,78.38,283.57,62.51
2018-02-14,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,15223.0,6484.53,31.29,62.51,78.35,593.77,62.51
2018-02-15,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,13860.0,2859.24,31.27,62.51,78.64,593.78,62.51
2018-02-16,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,13387.0,2487.48,20.43,62.51,78.17,593.73,62.51
2018-02-19,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,14135.0,2890.58,59.88,62.51,93.75,613.18,62.51
2018-02-20,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,18894.0,7515.71,62.48,77.33,155.2,624.26,77.33
2018-02-21,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,17045.0,2609.29,45.14,62.51,92.75,609.23,62.51
2018-02-22,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,20230.0,19365.9,61.3,62.51,78.36,592.45,62.51
2018-02-23,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,14540.0,4453.46,61.68,62.51,92.76,609.39,62.51
2018-02-26,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,19728.0,2921.89,30.98,62.51,78.19,241.25,62.51
2018-02-27,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,21774.0,4593.63,31.66,62.51,78.19,470.89,62.51
2018-02-28,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,19034.0,18577.87,61.26,62.51,78.92,562.5,62.51
2018-03-01,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,18339.0,18476.98,62.36,62.51,92.67,593.7,62.51
2018-03-02,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,13241.0,19270.67,28.98,62.5,78.2,593.75,62.5
2018-03-05,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,15675.0,2029.85,19.7,62.5,78.16,310.73,62.5
2018-03-06,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,19987.0,19263.45,30.48,62.5,78.33,286.87,62.5
2018-03-07,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,14672.0,3892.29,62.34,62.51,93.75,600.87,62.51
2018-03-08,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,16562.0,4296.34,46.67,62.51,78.36,593.74,62.51
2018-03-09,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,12136.0,1828.17,34.26,62.51,79.41,609.43,62.51
2018-03-12,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,17053.0,4811.8,19.78,62.5,78.49,577.98,62.5
2018-03-13,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,17403.0,29785.74,19.43,62.5,78.16,542.97,62.5
2018-03-14,UcmDbConn,[BookOfBusiness].[GetNdmAccountManagersByAccountIds],All,19386.0,3613.03,34.89,62.51,93.77,1153.77,62.51
