startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,272.0,3203.54,889.4,1015.55,2065.11,2796.88,1015.55
2018-02-05,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,248.0,2406.25,875.02,1081.7,1828.12,2218.77,1081.7
2018-02-06,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,248.0,2765.59,890.63,996.0,1911.06,2609.36,996.0
2018-02-07,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,250.0,2796.79,890.74,1078.15,2028.22,2407.28,1078.15
2018-02-08,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,266.0,2437.49,937.5,1010.51,1828.16,2296.85,1010.51
2018-02-09,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,272.0,4463.43,953.13,1234.37,2203.34,2952.73,1234.37
2018-02-12,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,272.0,3499.98,968.74,1073.42,2145.5,2953.12,1073.42
2018-02-13,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,170.0,3525.12,981.05,1140.6,2394.15,2843.81,1140.6
2018-02-14,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,238.0,2582.15,953.25,1218.75,1968.73,2364.31,1218.75
2018-02-15,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,272.0,3631.02,954.91,1127.52,2218.79,2812.59,1127.52
2018-02-16,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,272.0,2862.89,782.71,917.51,1764.38,2546.66,917.51
2018-02-19,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,272.0,2765.59,980.02,1094.43,2265.65,2539.61,1094.43
2018-02-20,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,272.0,3829.32,984.37,1312.54,2359.35,3604.43,1312.54
2018-02-21,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,204.0,2846.07,968.75,1046.89,2171.85,2593.7,1046.89
2018-02-22,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,272.0,3140.43,954.8,1046.91,2087.47,2529.23,1046.91
2018-02-23,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,272.0,2755.99,796.9,941.28,2046.87,2484.38,941.28
2018-02-26,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,306.0,2885.05,953.23,1062.59,2093.77,2596.92,1062.59
2018-02-27,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,244.0,3031.22,999.1,1234.37,1937.46,2518.19,1234.37
2018-02-28,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,272.0,2859.39,975.37,1249.97,2192.27,2531.31,1249.97
2018-03-01,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,272.0,3187.94,983.93,1109.73,2015.62,2804.81,1109.73
2018-03-02,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,275.0,6432.18,953.35,1093.75,2348.32,3084.3,1093.75
2018-03-05,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,304.0,3281.23,890.62,1093.77,2062.49,2640.63,1093.77
2018-03-06,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountAgentMapping],All,282.0,2500.05,906.24,1062.53,2031.26,2421.85,1062.53
