startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,14684.0,1406.3,15.62,62.5,66.93,78.52,62.5
2018-02-05,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,18605.0,19266.0,15.63,62.5,65.93,78.75,62.5
2018-02-06,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,17502.0,3734.36,15.62,62.5,78.11,171.83,62.5
2018-02-07,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,23608.0,2952.69,15.64,62.5,78.09,124.99,62.5
2018-02-08,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,20792.0,9399.93,15.64,62.5,78.14,101.52,62.5
2018-02-09,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,17628.0,1640.62,15.64,62.5,78.11,93.76,62.5
2018-02-12,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,22707.0,12596.64,15.67,62.5,78.1,93.76,62.5
2018-02-13,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,15558.0,1155.99,19.68,62.5,78.12,93.79,62.5
2018-02-14,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,19173.0,19281.39,15.66,62.5,78.09,93.75,62.5
2018-02-15,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,17779.0,15628.86,15.64,62.5,78.12,93.75,62.5
2018-02-16,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,16293.0,828.13,15.67,62.5,77.94,93.74,62.5
2018-02-19,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,14337.0,2062.45,15.62,62.4,74.8,156.06,62.4
2018-02-20,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,23320.0,2687.67,30.65,62.5,109.39,401.58,62.5
2018-02-21,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,21812.0,19260.99,16.58,62.5,78.12,93.85,62.5
2018-02-22,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,23330.0,19370.75,16.22,62.5,78.12,95.56,62.5
2018-02-23,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,17921.0,12733.5,15.67,62.5,78.11,94.4,62.5
2018-02-26,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,24081.0,2296.86,15.64,62.5,78.11,93.76,62.5
2018-02-27,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,24556.0,4593.47,15.64,62.5,77.89,93.76,62.5
2018-02-28,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,22331.0,10797.7,15.67,62.5,78.11,93.76,62.5
2018-03-01,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,20800.0,3109.74,15.72,62.5,78.12,93.76,62.5
2018-03-02,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,15509.0,1220.89,15.63,62.49,68.69,93.67,62.49
2018-03-05,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,18884.0,4571.54,15.63,62.5,72.2,93.76,62.5
2018-03-06,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,22094.0,19377.23,16.41,62.5,78.11,93.75,62.5
2018-03-07,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,18074.0,5578.02,19.22,62.5,78.12,140.62,62.5
2018-03-08,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,18823.0,2973.9,15.67,62.5,78.11,95.86,62.5
2018-03-09,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,14064.0,1140.64,15.65,62.5,78.06,93.76,62.5
2018-03-12,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,18206.0,3168.29,15.62,62.5,70.24,93.74,62.5
2018-03-13,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,17651.0,19264.13,15.62,62.5,66.19,93.75,62.5
2018-03-14,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,16720.0,19262.69,15.63,62.5,67.25,78.32,62.5
2018-03-15,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,14767.0,1812.48,15.63,62.5,76.04,80.44,62.5
2018-03-16,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,13309.0,3413.21,15.62,62.5,72.63,78.78,62.5
2018-03-19,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,13449.0,781.11,15.62,62.49,72.96,82.06,62.49
2018-03-20,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,13693.0,906.17,15.62,62.5,78.1,93.75,62.5
2018-03-21,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,13420.0,1593.73,15.62,62.5,72.23,78.27,62.5
2018-03-22,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,12145.0,19399.81,15.61,62.49,63.71,78.16,62.49
2018-03-23,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,13217.0,19271.84,15.62,62.5,72.62,81.71,62.5
2018-03-26,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,16060.0,4932.97,15.62,62.5,72.19,80.15,62.5
2018-03-27,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,17115.0,19248.55,15.62,62.5,76.5,93.74,62.5
2018-03-28,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,16816.0,11511.13,15.69,62.5,78.12,93.75,62.5
2018-03-29,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,16463.0,12200.3,15.64,62.5,78.11,93.79,62.5
2018-03-30,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,12653.0,3576.56,62.49,62.51,78.13,109.36,62.51
2018-04-02,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,12327.0,6234.91,61.4,62.5,78.12,93.79,62.5
2018-04-03,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,17932.0,3515.55,15.63,62.5,72.27,93.75,62.5
2018-04-04,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,18726.0,624.97,15.62,62.5,71.09,78.43,62.5
2018-04-05,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,19326.0,19406.47,15.62,62.5,66.39,78.67,62.5
2018-04-06,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,14775.0,1203.14,15.63,62.5,78.13,235.23,62.5
2018-04-09,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,18883.0,640.61,15.62,62.5,65.63,79.23,62.5
2018-04-10,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,19700.0,2125.04,15.62,62.5,78.11,93.74,62.5
2018-04-11,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,16944.0,843.68,15.62,62.5,78.12,93.76,62.5
2018-04-12,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,16859.0,1171.87,15.63,62.5,75.52,93.74,62.5
2018-04-13,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,14458.0,20406.33,15.62,62.5,63.55,93.63,62.5
2018-04-16,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,17165.0,3155.88,15.63,62.5,78.11,93.75,62.5
2018-04-17,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,18266.0,11543.37,15.64,62.5,78.1,83.48,62.5
2018-04-18,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,18542.0,19402.42,15.64,62.5,78.11,93.74,62.5
2018-04-19,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,19604.0,16702.82,15.63,62.5,78.1,93.44,62.5
2018-04-20,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,14971.0,640.63,15.62,62.5,64.01,78.17,62.5
2018-04-23,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,18249.0,5109.28,15.64,62.5,78.12,109.37,62.5
2018-04-24,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,17808.0,640.69,28.67,62.51,93.73,156.24,62.51
2018-04-25,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,18319.0,1255.4,15.66,62.5,78.11,93.75,62.5
2018-04-26,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,11982.0,2214.58,62.5,62.53,78.14,125.0,62.53
2018-04-27,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,14384.0,19380.59,62.5,62.53,78.69,187.49,62.53
2018-04-30,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,18719.0,765.62,15.65,62.5,78.11,93.75,62.5
2018-05-01,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,15836.0,1796.85,15.65,62.5,78.11,93.75,62.5
2018-05-02,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,18779.0,906.22,15.63,62.5,71.56,93.74,62.5
2018-05-03,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,18226.0,19393.58,15.62,62.5,70.92,79.81,62.5
2018-05-04,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,13292.0,13794.46,15.63,62.5,69.37,78.9,62.5
2018-05-07,UcmDbConn,[BookOfBusiness].[GetNdmBobAccountsByCustomerIdV2],All,16345.0,2218.8,15.64,62.5,78.1,80.94,62.5
