startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,437.0,1232.75,15.63,24.78,93.77,187.51,24.78
2018-02-05,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,493.0,312.71,15.63,19.31,62.53,125.02,19.31
2018-02-06,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,401.0,250.03,15.63,20.45,89.25,171.87,20.45
2018-02-07,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,397.0,203.13,15.62,18.6,77.61,112.31,18.6
2018-02-08,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,435.0,892.1,15.62,17.65,56.77,110.89,17.65
2018-02-09,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,487.0,234.3,15.59,15.65,31.29,91.8,15.65
2018-02-12,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,321.0,923.73,15.61,16.73,62.54,93.35,16.73
2018-02-13,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,210.0,220.04,15.62,16.24,62.5,93.78,16.24
2018-02-14,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,285.0,218.48,15.56,16.15,46.88,124.98,16.15
2018-02-15,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,256.0,343.78,15.62,17.7,78.12,156.25,17.7
2018-02-16,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,300.0,140.59,15.3,15.65,48.9,78.29,15.65
2018-02-19,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,346.0,531.3,15.62,15.66,47.34,352.44,15.66
2018-02-20,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,346.0,906.28,15.63,31.26,156.23,453.04,31.26
2018-02-21,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,365.0,109.35,15.62,17.77,62.54,90.54,17.77
2018-02-22,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,412.0,261.5,15.62,17.64,62.51,109.41,17.64
2018-02-23,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,408.0,343.74,15.61,16.03,47.94,109.38,16.03
2018-02-26,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,474.0,312.49,15.63,19.75,78.12,140.61,19.75
2018-02-27,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,463.0,277.07,15.63,19.62,78.13,144.02,19.62
2018-02-28,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,456.0,265.6,15.62,17.69,76.93,140.63,17.69
2018-03-01,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,325.0,109.38,15.6,16.33,46.82,78.12,16.33
2018-03-02,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,441.0,218.75,15.63,31.3,78.12,140.63,31.3
2018-03-05,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,408.0,390.89,15.62,16.14,46.89,78.15,16.14
2018-03-06,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,467.0,1048.19,15.62,16.82,62.5,194.99,16.82
2018-03-07,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,405.0,93.87,15.61,15.67,62.5,78.13,15.67
2018-03-08,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,543.0,254.22,15.62,17.15,62.49,129.82,17.15
2018-03-09,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,455.0,193.24,15.62,16.82,62.48,80.63,16.82
2018-03-12,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,490.0,308.27,15.63,19.38,62.51,156.25,19.38
2018-03-13,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,458.0,425.47,15.62,17.72,72.9,125.01,17.72
2018-03-14,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,338.0,341.79,15.63,18.55,62.66,125.02,18.55
2018-03-15,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,365.0,199.65,15.62,18.81,78.12,140.62,18.81
2018-03-16,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,380.0,921.88,15.63,18.68,62.5,140.62,18.68
2018-03-19,UcmDbConn,[CatchAndRelease].UpdateCatchAndReleaseAssignmentToCompletion,All,487.0,343.75,15.63,29.82,78.12,97.34,29.82
