startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,59.0,13891.11,2578.31,3087.05,4906.29,13891.11,3087.05
2018-02-05,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,34.0,12851.26,2569.3,3655.05,7522.72,12851.26,3655.05
2018-02-06,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,40.0,10245.82,2765.76,3846.47,6147.86,10245.82,3846.47
2018-02-07,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,44.0,6662.99,2921.87,3953.13,4953.54,6662.99,3953.13
2018-02-08,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,62.0,5209.33,2562.99,3107.67,4253.83,5209.33,3107.67
2018-02-09,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,106.0,6531.77,2382.88,2547.29,4093.74,5641.72,2547.29
2018-02-12,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,73.0,15023.45,2395.73,2634.35,4296.88,15023.45,2634.35
2018-02-13,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,77.0,14865.13,2458.46,2694.6,6460.61,14865.13,2694.6
2018-02-14,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,84.0,10393.36,2453.1,2640.52,4446.14,10393.36,2640.52
2018-02-15,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,87.0,23808.83,2412.58,2627.1,4285.45,23808.83,2627.1
2018-02-16,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,91.0,24800.83,2396.63,2578.15,4909.61,24800.83,2578.15
2018-02-19,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,60.0,29243.08,2374.12,2724.96,4494.18,29243.08,2724.96
2018-02-20,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,76.0,26721.48,2875.01,4546.87,8615.36,26721.48,4546.87
2018-02-21,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,66.0,10554.13,2578.2,2858.3,4424.32,10554.13,2858.3
2018-02-22,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,66.0,20908.51,2468.59,3514.42,7814.39,20908.51,3514.42
2018-02-23,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,67.0,20114.51,2567.79,3176.27,6125.08,20114.51,3176.27
2018-02-26,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,56.0,8843.96,2718.81,3469.5,5781.15,8843.96,3469.5
2018-02-27,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,96.0,27651.24,2650.11,3164.1,7328.32,27651.24,3164.1
2018-02-28,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,87.0,11390.38,2758.52,3071.18,5313.83,11390.38,3071.18
2018-03-01,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,58.0,14007.19,2734.32,4582.71,9902.48,14007.19,4582.71
2018-03-02,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,60.0,11110.74,2796.82,3649.54,8869.76,11110.74,3649.54
2018-03-05,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,102.0,19325.82,2710.53,3375.07,6226.72,10110.13,3375.07
2018-03-06,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,59.0,22774.33,2812.45,4805.62,11547.29,22774.33,4805.62
2018-03-07,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,38.0,7056.51,2783.49,3767.79,6926.88,7056.51,3767.79
2018-03-08,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,48.0,13818.32,2828.09,4484.55,8439.85,13818.32,4484.55
2018-03-09,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,41.0,13761.29,2936.62,3898.21,7455.57,13761.29,3898.21
2018-03-12,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,81.0,7852.16,2332.01,2655.34,4237.03,7852.16,2655.34
2018-03-13,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,66.0,5894.8,2503.01,2868.74,4087.12,5894.8,2868.74
2018-03-14,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,69.0,27473.76,2440.55,2839.7,3812.52,27473.76,2839.7
2018-03-15,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,45.0,3765.62,2268.22,2421.86,2812.6,3765.62,2421.86
2018-03-16,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,47.0,5759.28,2359.39,2578.46,3360.31,5759.28,2578.46
2018-03-19,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,49.0,9105.04,2922.03,4140.67,6521.15,9105.04,4140.67
2018-03-20,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,51.0,15812.78,2488.83,2966.02,4937.68,15812.78,2966.02
2018-03-21,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,67.0,5560.02,2296.89,2516.91,3380.08,5560.02,2516.91
2018-03-22,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,75.0,13200.15,2359.56,2753.74,4328.11,13200.15,2753.74
2018-03-23,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,43.0,9374.93,2456.16,2907.44,3941.34,9374.93,2907.44
2018-03-26,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,52.0,8068.21,2541.03,3066.81,5953.01,8068.21,3066.81
2018-03-27,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,46.0,21748.4,2801.06,3110.52,8209.67,21748.4,3110.52
2018-03-28,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,38.0,5302.66,2675.38,3018.47,5271.38,5302.66,3018.47
2018-03-29,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,36.0,17804.6,3126.61,4046.9,12441.18,17804.6,4046.9
2018-03-30,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,29.0,6971.04,2562.51,2749.95,5198.53,6971.04,2749.95
2018-04-02,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,31.0,28350.68,2695.19,4997.96,12229.76,28350.68,4997.96
2018-04-03,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,52.0,9922.98,2765.61,3140.57,7077.9,9922.98,3140.57
2018-04-04,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,38.0,6156.28,2546.85,2812.53,2970.62,6156.28,2812.53
2018-04-05,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,46.0,3764.51,2515.71,2734.35,3653.74,3764.51,2734.35
2018-04-06,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,45.0,7671.81,2718.21,3930.18,6789.08,7671.81,3930.18
2018-04-09,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,56.0,4125.04,2609.33,2906.28,3984.4,4125.04,2906.28
2018-04-10,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,47.0,23447.92,2957.28,4181.52,8250.1,23447.92,4181.52
2018-04-11,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,52.0,14739.81,2760.21,4015.56,5046.9,14739.81,4015.56
2018-04-12,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,55.0,21825.85,2546.84,3203.11,5330.58,21825.85,3203.11
2018-04-13,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,34.0,36608.33,2751.78,4359.37,12587.85,36608.33,4359.37
2018-04-16,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,42.0,7407.42,2844.0,3171.9,5449.86,7407.42,3171.9
2018-04-17,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,67.0,13076.68,2628.4,2860.84,4296.9,13076.68,2860.84
2018-04-18,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,81.0,7859.51,2718.71,3053.03,4771.95,7859.51,3053.03
2018-04-19,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,32.0,30892.9,2830.87,3348.13,4203.24,30892.9,3348.13
2018-04-20,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,81.0,11524.45,2703.08,2955.09,6145.36,11524.45,2955.09
2018-04-23,UcmDbConn,[CatchAndRelease].[AddToCnrQueueV3],All,53.0,7098.2,2949.69,3375.07,5364.67,7098.2,3375.07
