startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,27259.0,19257.77,61.74,78.13,158.52,510.38,78.13
2018-02-05,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,33761.0,8667.32,49.49,78.12,142.68,396.74,78.12
2018-02-06,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,34315.0,4437.48,62.08,78.12,155.57,463.67,78.12
2018-02-07,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,32116.0,2212.87,62.39,78.12,140.65,347.79,78.12
2018-02-08,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,30511.0,19236.79,61.04,78.13,140.61,330.1,78.13
2018-02-09,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,25575.0,19371.47,60.3,78.12,140.43,359.44,78.12
2018-02-12,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,32728.0,3248.48,61.92,78.12,138.64,328.09,78.12
2018-02-13,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,21667.0,19377.93,62.5,78.13,155.23,356.3,78.13
2018-02-14,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,29303.0,20118.65,59.92,78.12,140.62,382.98,78.12
2018-02-15,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,27369.0,19267.51,62.42,78.13,144.47,381.62,78.13
2018-02-16,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,25323.0,5625.0,59.9,78.12,140.42,384.47,78.12
2018-02-19,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,23389.0,5617.91,59.31,78.12,138.3,578.67,78.12
2018-02-20,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,33391.0,8328.85,62.51,93.72,265.5,703.72,93.72
2018-02-21,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,32547.0,19376.38,62.22,78.12,156.25,447.45,78.12
2018-02-22,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,32802.0,19365.9,62.5,78.13,155.67,391.59,78.13
2018-02-23,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,27931.0,7127.73,62.47,78.13,153.97,561.46,78.13
2018-02-26,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,33335.0,3341.57,62.15,78.13,155.47,359.33,78.13
2018-02-27,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,37740.0,7265.82,62.4,78.12,143.07,385.01,78.12
2018-02-28,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,36140.0,78703.63,62.48,78.12,140.7,344.16,78.12
2018-03-01,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,33359.0,18430.11,62.5,78.13,140.62,344.32,78.13
2018-03-02,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,26376.0,19270.67,49.06,78.12,142.9,389.51,78.12
2018-03-05,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,30603.0,1703.11,59.06,78.12,147.07,359.8,78.12
2018-03-06,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,31602.0,19263.45,62.47,78.13,140.99,409.39,78.13
2018-03-07,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,27369.0,9940.94,62.5,78.13,170.63,565.28,78.13
2018-03-08,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,27393.0,5375.02,62.49,78.13,154.46,435.8,78.13
2018-03-09,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,22789.0,3585.29,62.38,78.12,140.6,518.03,78.12
2018-03-12,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,33424.0,18472.55,61.28,78.13,148.38,374.98,78.13
2018-03-13,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,33793.0,14000.5,49.42,78.13,143.17,360.16,78.13
2018-03-14,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,34469.0,7289.54,62.4,78.12,140.6,345.28,78.12
2018-03-15,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,30943.0,19265.31,62.25,78.13,140.61,349.5,78.13
2018-03-16,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,26710.0,3388.77,62.29,78.13,140.62,383.65,78.13
2018-03-19,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,28609.0,6531.13,61.89,78.13,155.77,447.91,78.13
2018-03-20,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForAccounts],All,26971.0,19265.45,55.33,78.12,143.93,593.55,78.12
