startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,23090.0,19267.61,19.61,62.5,93.75,265.59,62.5
2018-02-05,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,24462.0,19255.01,18.95,62.5,93.73,206.74,62.5
2018-02-06,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,24785.0,3921.83,16.71,62.5,93.35,249.43,62.5
2018-02-07,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,26220.0,3140.63,17.87,62.5,93.74,234.97,62.5
2018-02-08,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,22860.0,50978.83,17.61,62.51,93.76,234.41,62.51
2018-02-09,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,19917.0,5388.62,17.46,62.5,81.7,202.75,62.5
2018-02-12,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,24696.0,19362.85,17.6,62.5,93.62,202.11,62.5
2018-02-13,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,17254.0,15141.68,31.24,62.51,93.75,203.48,62.51
2018-02-14,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,21504.0,20009.58,18.08,62.5,91.16,203.12,62.5
2018-02-15,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,19699.0,19372.31,17.81,62.5,93.75,217.8,62.5
2018-02-16,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,17554.0,1656.25,18.07,62.5,82.63,202.71,62.5
2018-02-19,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,14837.0,1982.9,15.64,46.13,93.72,265.07,46.13
2018-02-20,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,24729.0,4341.82,31.26,63.16,171.5,479.3,63.16
2018-02-21,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,22846.0,18124.75,27.76,62.51,93.75,218.41,62.51
2018-02-22,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,22246.0,19248.69,19.05,62.5,93.74,206.69,62.5
2018-02-23,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,18561.0,4208.21,17.68,62.5,93.38,249.15,62.5
2018-02-26,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,24256.0,2406.65,18.55,62.5,93.74,202.25,62.5
2018-02-27,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,24586.0,1501.93,18.19,62.5,93.75,203.29,62.5
2018-02-28,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,23243.0,5999.88,19.3,62.5,93.76,234.38,62.5
2018-03-01,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,21832.0,10915.33,29.7,62.51,107.76,234.36,62.51
2018-03-02,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,16489.0,19366.97,26.92,62.51,108.72,277.96,62.51
2018-03-05,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAccountTeamForCustomers],All,19955.0,1281.27,19.97,62.5,93.84,219.02,62.5
