startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,24694.0,19267.21,15.85,62.5,78.13,306.98,62.5
2018-02-05,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,30408.0,2890.56,15.69,62.5,78.12,158.33,62.5
2018-02-06,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,32154.0,2578.24,15.68,62.5,78.13,187.5,62.5
2018-02-07,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,30677.0,2077.19,15.67,62.5,78.12,109.38,62.5
2018-02-08,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,28241.0,19361.78,15.66,62.5,78.15,125.28,62.5
2018-02-09,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,24514.0,8062.92,15.91,62.5,78.12,109.39,62.5
2018-02-12,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,31055.0,2906.27,15.96,62.5,78.12,124.99,62.5
2018-02-13,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,20781.0,18681.33,19.19,62.5,78.12,124.81,62.5
2018-02-14,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,27544.0,2234.45,15.79,62.5,78.12,123.59,62.5
2018-02-15,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,24840.0,19369.94,15.72,62.5,78.13,140.61,62.5
2018-02-16,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,22841.0,2218.66,15.79,62.5,78.12,127.28,62.5
2018-02-19,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,21929.0,1702.65,15.64,62.49,78.12,260.96,62.49
2018-02-20,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,31824.0,5061.6,31.23,62.51,125.01,402.04,62.51
2018-02-21,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,30348.0,19272.97,17.98,62.5,78.13,132.63,62.5
2018-02-22,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,30246.0,13647.97,18.16,62.5,78.13,140.72,62.5
2018-02-23,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,25157.0,7176.51,16.8,62.5,78.13,313.18,62.5
2018-02-26,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,30694.0,2328.11,16.22,62.5,78.13,125.17,62.5
2018-02-27,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,33519.0,4593.66,16.47,62.5,78.13,156.92,62.5
2018-02-28,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,31753.0,19264.86,18.08,62.5,78.13,202.39,62.5
2018-03-01,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,28689.0,10332.31,19.73,62.5,78.15,172.95,62.5
2018-03-02,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,21948.0,22916.06,16.41,62.5,78.13,199.89,62.5
2018-03-05,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,26672.0,1704.26,17.51,62.5,78.13,140.85,62.5
2018-03-06,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,29838.0,14202.58,27.17,62.5,78.15,157.05,62.5
2018-03-07,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,26484.0,5015.56,31.27,62.51,78.17,246.57,62.51
2018-03-08,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,25782.0,1687.14,20.2,62.5,78.14,156.62,62.5
2018-03-09,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,21576.0,2063.05,19.43,62.5,78.14,280.72,62.5
2018-03-12,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,30344.0,2828.14,17.59,62.5,78.15,168.78,62.5
2018-03-13,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,31658.0,45023.29,16.72,62.5,78.13,156.25,62.5
2018-03-14,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,30785.0,19254.53,19.2,62.5,78.13,156.11,62.5
2018-03-15,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,28009.0,19270.86,18.59,62.5,78.14,140.59,62.5
2018-03-16,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,23653.0,9017.55,18.24,62.5,78.14,173.63,62.5
2018-03-19,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,25271.0,1718.63,17.6,62.5,78.15,171.88,62.5
2018-03-20,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,25402.0,19271.35,17.12,62.5,78.27,354.23,62.5
2018-03-21,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,23392.0,1848.18,19.36,62.5,78.14,185.48,62.5
2018-03-22,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,22982.0,15257.7,16.07,62.5,78.13,187.83,62.5
2018-03-23,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,23021.0,19381.21,17.67,62.5,78.13,166.14,62.5
2018-03-26,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,28242.0,18807.44,17.72,62.5,78.13,177.56,62.5
2018-03-27,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,29806.0,19347.78,17.75,62.5,78.14,142.51,62.5
2018-03-28,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,30023.0,5724.33,30.1,62.51,78.15,156.82,62.51
2018-03-29,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,26986.0,1703.14,19.04,62.5,78.14,171.9,62.5
2018-03-30,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,20247.0,2189.48,46.95,62.51,82.12,593.75,62.51
2018-04-02,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,21157.0,5468.68,31.88,62.51,78.24,593.74,62.51
2018-04-03,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,31425.0,21010.24,19.35,62.5,78.14,187.37,62.5
2018-04-04,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,32002.0,17275.72,18.22,62.5,78.13,171.15,62.5
2018-04-05,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,33421.0,19383.14,16.87,62.5,78.13,140.93,62.5
2018-04-06,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,26497.0,8937.56,19.39,62.5,93.75,567.3,62.5
2018-04-09,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,30595.0,19260.58,18.03,62.5,78.13,142.22,62.5
2018-04-10,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseAgentsByCustomerIds],All,32704.0,5848.48,17.37,62.5,78.14,157.73,62.5
