startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,106.0,23736.54,5531.31,6362.56,8718.75,11948.71,6362.56
2018-02-05,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,89.0,10984.2,5630.82,6366.96,7580.95,10984.2,6366.96
2018-02-06,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,119.0,17190.54,6075.06,7627.16,10478.23,13431.94,7627.16
2018-02-07,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,64.0,11847.9,5955.06,6756.35,8855.17,11847.9,6756.35
2018-02-08,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,83.0,12576.63,5828.22,6491.82,8953.29,12576.63,6491.82
2018-02-09,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,123.0,23063.41,5933.18,6424.47,8571.76,10046.85,6424.47
2018-02-12,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,65.0,10637.2,5687.63,6093.73,7576.83,10637.2,6093.73
2018-02-13,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,60.0,17020.61,5853.69,7083.98,8908.06,17020.61,7083.98
2018-02-14,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,71.0,11869.98,5829.73,6156.24,8136.47,11869.98,6156.24
2018-02-15,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,47.0,7705.55,5570.7,5981.35,6500.2,7705.55,5981.35
2018-02-16,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,71.0,12987.67,5731.94,6679.62,8341.18,12987.67,6679.62
2018-02-19,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,83.0,18119.74,5595.28,6619.5,9350.78,18119.74,6619.5
2018-02-20,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,126.0,27638.12,6916.94,9316.17,17158.66,24259.21,9316.17
2018-02-21,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,56.0,27075.62,6266.22,7529.36,18045.11,27075.62,7529.36
2018-02-22,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,98.0,24820.21,5731.69,6451.87,10879.08,24820.21,6451.87
2018-02-23,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,72.0,12599.38,6156.3,7047.0,11204.02,12599.38,7047.0
2018-02-26,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,96.0,11674.96,5691.71,6690.95,9843.69,11674.96,6690.95
2018-02-27,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,113.0,28628.82,6185.12,7443.61,14205.03,18831.4,7443.61
2018-02-28,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,81.0,27038.83,5971.39,6714.64,9571.59,27038.83,6714.64
2018-03-01,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,56.0,20263.02,6156.23,7942.08,14865.08,20263.02,7942.08
2018-03-02,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,65.0,16206.26,6254.86,7094.42,9641.02,16206.26,7094.42
2018-03-05,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,70.0,20593.57,6087.5,7656.27,10644.43,20593.57,7656.27
2018-03-06,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,102.0,12551.23,5922.88,7023.19,9190.8,12135.92,7023.19
2018-03-07,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,173.0,18133.75,6105.79,7968.76,12806.09,16916.49,7968.76
2018-03-08,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,155.0,18462.03,6202.15,7906.28,12781.16,16955.06,7906.28
2018-03-09,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,82.0,12848.34,5943.47,6713.22,9385.17,12848.34,6713.22
2018-03-12,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,117.0,16486.83,5642.33,6299.88,9956.22,15101.68,6299.88
2018-03-13,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,102.0,15315.07,5622.52,6234.52,8877.32,14873.44,6234.52
2018-03-14,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,87.0,13012.67,5514.09,6263.2,7354.13,13012.67,6263.2
2018-03-15,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,100.0,33880.05,5136.15,5424.21,7054.66,14092.22,5424.21
2018-03-16,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,54.0,11444.67,5156.45,5671.99,7258.44,11444.67,5671.99
2018-03-19,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,49.0,15978.61,6029.49,6868.45,9581.94,15978.61,6868.45
2018-03-20,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,97.0,15564.94,5252.69,5728.0,9044.78,15564.94,5728.0
2018-03-21,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,89.0,13072.51,5335.4,6890.81,8624.0,13072.51,6890.81
2018-03-22,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,101.0,7610.39,5327.11,5721.16,6979.8,7483.36,5721.16
2018-03-23,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,78.0,15793.39,5265.84,6125.08,11732.1,15793.39,6125.08
2018-03-26,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,82.0,30437.36,5547.1,6597.02,10531.09,30437.36,6597.02
2018-03-27,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,106.0,11353.31,5268.3,5891.59,8235.72,10207.78,5891.59
2018-03-28,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,66.0,16019.76,5651.4,6295.07,10428.12,16019.76,6295.07
2018-03-29,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,70.0,11346.8,5614.0,6453.3,8300.49,11346.8,6453.3
2018-03-30,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,79.0,26029.88,5827.99,6722.82,13376.14,26029.88,6722.82
2018-04-02,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,88.0,18148.14,5874.36,7015.51,13732.49,18148.14,7015.51
2018-04-03,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,139.0,45043.74,5757.23,6653.93,15936.09,40015.42,6653.93
2018-04-04,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,199.0,20165.43,5421.82,5937.44,8361.5,11439.34,5937.44
2018-04-05,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,159.0,23484.67,5249.97,5647.35,8312.57,14468.23,5647.35
2018-04-06,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,184.0,41921.79,5418.54,6397.72,10078.27,40065.78,6397.72
2018-04-09,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,139.0,20771.3,5218.94,6062.61,8272.62,15814.97,6062.61
2018-04-10,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,174.0,15432.95,5562.5,6433.14,8939.93,13001.11,6433.14
2018-04-11,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,132.0,30335.28,5552.83,6540.48,8852.58,10437.56,6540.48
2018-04-12,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,131.0,8601.29,5435.26,6259.51,7651.56,8573.0,6259.51
2018-04-13,UcmDbConn,[CatchAndRelease].[GetCatchAndReleaseSummaryForTilesV4],All,108.0,19274.45,5343.74,6222.08,8588.07,15278.43,6222.08
