startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,4438.0,19294.06,15.65,62.5,78.12,140.63,62.5
2018-02-05,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,5765.0,2950.23,15.64,62.5,78.12,113.8,62.5
2018-02-06,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,7195.0,12498.91,46.73,62.5,78.14,187.51,62.5
2018-02-07,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,5986.0,1140.55,41.61,62.5,78.12,125.0,62.5
2018-02-08,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,5551.0,19272.89,18.42,62.5,78.15,125.0,62.5
2018-02-09,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,5052.0,3579.93,15.65,62.5,78.12,109.59,62.5
2018-02-12,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,6362.0,1031.39,31.6,62.5,78.12,156.25,62.5
2018-02-13,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,3850.0,19377.93,31.24,62.5,78.12,148.84,62.5
2018-02-14,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,5449.0,2328.55,39.22,62.5,78.12,109.38,62.5
2018-02-15,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,4916.0,19261.52,34.64,62.5,78.13,124.96,62.5
2018-02-16,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,5171.0,1171.9,15.97,62.5,78.12,125.21,62.5
2018-02-19,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,5660.0,7057.93,62.22,62.5,78.13,187.54,62.5
2018-02-20,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,6307.0,2000.17,62.49,62.52,125.02,368.55,62.52
2018-02-21,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,6209.0,750.02,16.58,62.5,78.12,124.99,62.5
2018-02-22,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,6595.0,11927.73,62.49,62.51,78.13,125.0,62.51
2018-02-23,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,5505.0,970.35,62.46,62.5,78.13,140.63,62.5
2018-02-26,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,5871.0,1703.77,31.35,62.5,78.13,156.24,62.5
2018-02-27,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,7085.0,7219.18,46.95,62.5,78.12,125.01,62.5
2018-02-28,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,6974.0,18343.51,47.24,62.5,78.13,109.39,62.5
2018-03-01,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,6271.0,18492.63,62.47,62.5,78.13,125.01,62.5
2018-03-02,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,4929.0,19364.41,15.67,62.5,78.12,124.81,62.5
2018-03-05,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,6057.0,1171.88,15.63,62.5,78.12,125.0,62.5
2018-03-06,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,6073.0,19271.95,15.67,62.5,78.12,124.97,62.5
2018-03-07,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,5469.0,3548.15,62.47,62.5,78.13,156.24,62.5
2018-03-08,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,5184.0,1468.71,61.99,62.5,78.12,125.0,62.5
2018-03-09,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,4441.0,1140.61,28.28,62.5,78.12,125.0,62.5
2018-03-12,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,5701.0,18472.55,17.28,62.5,78.12,124.98,62.5
2018-03-13,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,5622.0,12990.23,16.64,62.5,78.12,125.04,62.5
2018-03-14,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,6112.0,2249.97,31.17,62.5,78.13,156.25,62.5
2018-03-15,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,5505.0,19369.9,29.92,62.5,78.13,125.0,62.5
2018-03-16,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,4968.0,687.49,29.69,62.5,78.15,156.26,62.5
2018-03-19,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,6348.0,3296.83,46.13,62.51,78.15,156.24,62.51
2018-03-20,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,5196.0,19280.49,18.48,62.5,78.13,125.05,62.5
2018-03-21,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,4927.0,1218.75,30.18,62.5,78.12,124.98,62.5
2018-03-22,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,4681.0,2078.09,19.42,62.5,78.12,125.01,62.5
2018-03-23,UcmDbConn,[ClientCenter].[AccountSearchByAccountIds],All,5297.0,19263.18,19.41,62.5,78.13,156.24,62.5
