startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,34640.0,23397.75,15.66,62.5,109.37,359.49,62.5
2018-02-05,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,37171.0,19262.3,15.69,62.5,93.75,249.27,62.5
2018-02-06,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,36332.0,50670.66,15.65,62.5,125.0,491.44,62.5
2018-02-07,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,40902.0,3331.67,15.64,62.5,93.86,250.72,62.5
2018-02-08,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,33640.0,11344.93,15.65,62.5,93.83,243.97,62.5
2018-02-09,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,30543.0,5609.14,15.63,62.5,114.35,669.0,62.5
2018-02-12,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,36363.0,19375.39,15.64,62.5,93.73,280.89,62.5
2018-02-13,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,26245.0,3769.56,29.89,62.51,96.05,250.04,62.51
2018-02-14,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,31558.0,19343.88,15.71,62.5,93.74,257.9,62.5
2018-02-15,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,28383.0,19247.31,15.64,62.5,93.76,233.07,62.5
2018-02-16,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,27521.0,3346.75,15.64,62.5,89.23,218.74,62.5
2018-02-19,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,23635.0,1703.17,15.62,62.47,108.38,296.77,62.47
2018-02-20,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,38529.0,10140.69,33.64,62.54,206.4,532.75,62.54
2018-02-21,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,34077.0,19262.15,16.36,62.5,94.88,275.67,62.5
2018-02-22,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,37358.0,19277.03,15.69,62.5,107.96,280.2,62.5
2018-02-23,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,27459.0,11828.05,15.66,62.5,109.24,282.65,62.5
2018-02-26,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,39220.0,4390.7,15.64,62.5,93.76,234.4,62.5
2018-02-27,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,39638.0,99231.1,15.65,62.5,109.41,344.35,62.5
2018-02-28,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,34484.0,10688.31,15.84,62.5,109.37,297.4,62.5
2018-03-01,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,33143.0,4843.7,16.26,62.5,109.37,333.99,62.5
2018-03-02,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,24724.0,2783.28,15.64,62.5,108.85,271.79,62.5
2018-03-05,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,29240.0,15798.68,15.65,62.5,94.68,251.0,62.5
2018-03-06,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,37438.0,19273.01,18.48,62.51,110.65,296.95,62.51
2018-03-07,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,27463.0,8234.62,31.2,62.51,156.27,479.99,62.51
2018-03-08,UcmDbConn,[ClientCenter].[AccountSearchByCustomerIds],All,30934.0,4555.64,15.65,62.5,96.38,284.65,62.5
