startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[ClientCenter].[GetWeeklySpendByAccountIds],All,3543.0,19257.77,140.59,155.22,218.75,328.12,155.22
2018-02-05,UcmDbConn,[ClientCenter].[GetWeeklySpendByAccountIds],All,4354.0,1470.59,140.13,156.25,218.75,301.69,156.25
2018-02-06,UcmDbConn,[ClientCenter].[GetWeeklySpendByAccountIds],All,4618.0,16015.3,139.3,156.23,218.76,359.37,156.23
2018-02-07,UcmDbConn,[ClientCenter].[GetWeeklySpendByAccountIds],All,4328.0,1347.07,140.61,156.21,218.46,328.12,156.21
2018-02-08,UcmDbConn,[ClientCenter].[GetWeeklySpendByAccountIds],All,4066.0,11140.81,125.0,140.64,203.12,265.59,140.64
2018-02-09,UcmDbConn,[ClientCenter].[GetWeeklySpendByAccountIds],All,3610.0,3579.93,109.39,125.01,171.89,281.25,125.01
2018-02-12,UcmDbConn,[ClientCenter].[GetWeeklySpendByAccountIds],All,4658.0,1859.93,141.71,156.32,249.62,358.98,156.32
2018-02-13,UcmDbConn,[ClientCenter].[GetWeeklySpendByAccountIds],All,2959.0,19377.93,140.63,156.28,234.38,328.14,156.28
2018-02-14,UcmDbConn,[ClientCenter].[GetWeeklySpendByAccountIds],All,4183.0,2906.75,140.62,156.25,218.75,296.77,156.25
2018-02-15,UcmDbConn,[ClientCenter].[GetWeeklySpendByAccountIds],All,4106.0,19277.05,140.62,156.25,218.76,328.1,156.25
2018-02-16,UcmDbConn,[ClientCenter].[GetWeeklySpendByAccountIds],All,3702.0,796.85,140.62,156.25,218.78,296.83,156.25
2018-02-19,UcmDbConn,[ClientCenter].[GetWeeklySpendByAccountIds],All,4309.0,3674.95,155.39,157.13,265.61,671.89,157.13
2018-02-20,UcmDbConn,[ClientCenter].[GetWeeklySpendByAccountIds],All,4782.0,11640.82,156.26,232.82,794.52,2900.04,232.82
2018-02-21,UcmDbConn,[ClientCenter].[GetWeeklySpendByAccountIds],All,4681.0,1333.02,156.22,171.85,249.99,421.84,171.85
2018-02-22,UcmDbConn,[ClientCenter].[GetWeeklySpendByAccountIds],All,4943.0,11927.73,140.64,156.29,234.39,374.99,156.29
