startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1176.0,1983.22,123.92,156.25,203.16,310.97,156.25
2018-02-05,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1460.0,859.23,140.63,156.29,222.05,358.36,156.29
2018-02-06,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1884.0,1437.52,140.51,156.26,265.55,640.63,156.26
2018-02-07,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2063.0,1437.51,110.37,156.25,203.12,326.23,156.25
2018-02-08,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1536.0,51135.08,109.38,156.24,187.56,296.9,156.24
2018-02-09,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1565.0,656.28,109.38,140.62,171.87,252.98,140.62
2018-02-12,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1907.0,19391.85,125.03,171.86,234.41,359.36,171.86
2018-02-13,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1426.0,780.94,156.22,171.87,219.6,317.71,171.87
2018-02-14,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1858.0,40117.03,62.44,78.78,281.24,40054.05,78.78
2018-02-15,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1527.0,40094.06,45.82,78.18,139.32,533.25,78.18
2018-02-16,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1267.0,40151.47,31.74,78.13,124.71,374.98,78.13
2018-02-19,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1373.0,40090.9,46.89,78.31,218.74,40003.18,78.31
2018-02-20,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2055.0,40065.65,109.38,221.45,968.68,2230.47,221.45
2018-02-21,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1637.0,40514.29,78.08,93.74,156.29,40009.99,93.74
2018-02-22,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1644.0,40124.31,62.52,78.47,156.3,40001.32,78.47
2018-02-23,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1266.0,40061.25,36.94,78.13,140.54,437.49,78.13
2018-02-26,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1760.0,40062.57,62.44,78.6,142.13,40003.86,78.6
2018-02-27,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1776.0,40257.62,62.51,93.74,187.51,40005.6,93.74
2018-02-28,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1719.0,40263.59,78.0,81.41,172.22,40014.68,81.41
2018-03-01,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1017.0,40104.86,63.55,78.6,203.14,40013.96,78.6
2018-03-02,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,985.0,40093.44,47.03,78.17,157.31,40012.13,78.17
2018-03-05,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1412.0,40393.99,48.08,78.19,164.13,40030.27,78.19
2018-03-06,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1601.0,40113.39,78.11,86.85,140.64,13576.63,86.85
2018-03-07,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1671.0,40100.65,78.11,93.75,187.49,40003.07,93.75
2018-03-08,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1383.0,40096.16,77.6,92.51,156.24,1281.23,92.51
2018-03-09,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1306.0,40237.62,78.09,80.02,142.39,390.62,80.02
2018-03-12,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1935.0,40085.91,62.48,93.74,203.13,1793.98,93.74
2018-03-13,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1587.0,40108.47,77.82,93.74,187.48,40054.48,93.74
2018-03-14,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1706.0,40154.07,62.47,82.45,187.5,40014.54,82.45
2018-03-15,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1787.0,40105.88,46.88,82.58,140.92,3520.17,82.58
2018-03-16,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1249.0,40170.67,77.3,93.74,156.29,40014.44,93.74
2018-03-19,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1531.0,40015.15,78.12,110.26,218.72,593.73,110.26
2018-03-20,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1521.0,40172.84,62.17,93.78,301.02,40011.01,93.78
2018-03-21,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1618.0,40082.65,62.33,92.12,141.3,12489.4,92.12
2018-03-22,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1552.0,40187.23,59.31,78.52,140.62,670.5,78.52
2018-03-23,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1136.0,40102.58,62.68,93.72,184.24,40023.36,93.72
2018-03-26,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1890.0,41196.99,62.51,91.75,143.89,468.8,91.75
2018-03-27,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1967.0,40392.05,78.11,93.92,187.5,40005.64,93.92
2018-03-28,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2728.0,40140.22,78.13,109.38,171.88,40005.54,109.38
2018-03-29,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2215.0,40892.74,77.87,109.37,171.87,17526.66,109.37
2018-03-30,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1930.0,40071.61,78.12,109.38,156.29,453.11,109.38
2018-04-02,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1989.0,40095.51,78.14,109.4,187.5,519.44,109.4
2018-04-03,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3279.0,40127.55,78.12,109.38,185.63,718.76,109.38
2018-04-04,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2897.0,40074.11,62.5,93.78,152.47,40000.73,93.78
2018-04-05,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3123.0,40077.85,62.48,93.74,140.61,328.11,93.74
2018-04-06,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2731.0,40078.1,140.64,203.13,937.79,5098.73,203.13
2018-04-09,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3004.0,40229.94,77.93,109.34,158.28,40003.68,109.34
2018-04-10,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3105.0,40149.3,78.1,109.31,156.25,468.72,109.31
2018-04-11,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3980.0,40199.26,78.11,109.37,203.13,781.24,109.37
2018-04-12,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2935.0,40164.35,78.12,109.37,187.5,33797.45,109.37
2018-04-13,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2645.0,40069.08,78.11,109.04,171.92,718.75,109.04
2018-04-16,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3171.0,40055.49,78.1,109.37,187.5,1093.76,109.37
2018-04-17,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,4105.0,40222.66,66.91,109.18,187.52,40002.63,109.18
2018-04-18,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3922.0,40134.81,78.12,109.36,187.64,671.86,109.36
2018-04-19,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3559.0,40125.09,78.11,109.37,187.64,40003.43,109.37
2018-04-20,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2808.0,40069.43,77.02,109.37,187.51,480.13,109.37
2018-04-23,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2974.0,40178.51,78.15,124.68,267.38,40010.29,124.68
2018-04-24,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3126.0,40104.77,94.31,140.63,348.9,40012.47,140.63
2018-04-25,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3167.0,40350.84,78.12,109.37,203.12,40025.9,109.37
2018-04-26,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2370.0,41399.7,109.36,125.01,252.81,40056.12,125.01
2018-04-27,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2830.0,40219.41,93.75,125.0,328.14,8562.51,125.0
2018-04-30,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3367.0,40679.85,78.11,109.34,175.32,5375.07,109.34
2018-05-01,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3030.0,40076.18,78.12,108.47,171.87,343.78,108.47
2018-05-02,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3440.0,40084.84,78.11,109.37,187.51,14876.66,109.37
2018-05-03,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3394.0,40189.54,78.1,109.37,187.49,40006.23,109.37
2018-05-04,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2711.0,40096.23,75.07,109.21,157.03,40000.86,109.21
2018-05-07,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3383.0,40122.71,78.12,109.37,187.51,23327.32,109.37
2018-05-08,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3301.0,40100.63,78.11,109.34,171.68,718.74,109.34
2018-05-09,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3392.0,40114.46,78.12,109.37,187.5,468.76,109.37
2018-05-10,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2889.0,106074.05,78.12,109.37,265.61,3968.74,109.37
2018-05-11,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2609.0,42720.4,78.12,109.37,171.88,40009.59,109.37
2018-05-14,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3414.0,40102.68,78.12,109.39,234.3,40011.5,109.39
2018-05-15,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3572.0,42896.47,77.05,107.73,187.21,1181.66,107.73
2018-05-16,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3242.0,40234.94,74.11,108.86,171.92,722.16,108.86
2018-05-17,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3634.0,40095.03,78.14,124.95,326.05,1609.4,124.95
2018-05-18,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3041.0,40076.57,78.1,93.86,177.04,10125.02,93.86
2018-05-21,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3233.0,40156.13,78.14,119.63,250.09,40005.95,119.63
2018-05-22,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3039.0,40436.65,78.12,109.38,203.77,953.17,109.38
2018-05-23,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3603.0,40107.85,78.12,109.39,218.74,40013.69,109.39
2018-05-24,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3493.0,40550.54,78.13,109.4,207.79,750.03,109.4
2018-05-25,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2701.0,40160.32,78.49,116.18,234.18,40020.59,116.18
2018-05-28,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1952.0,40078.13,78.12,109.37,199.14,593.78,109.37
2018-05-29,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3612.0,7156.42,78.16,109.4,187.5,515.61,109.4
2018-05-30,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3523.0,40075.28,78.15,109.41,203.15,1297.07,109.41
2018-05-31,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3360.0,40096.54,85.34,125.0,424.91,2827.22,125.0
2018-06-01,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2704.0,40142.62,109.08,169.92,389.77,33757.9,169.92
2018-06-04,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3345.0,113465.76,124.99,232.99,639.01,40012.87,232.99
2018-06-05,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3037.0,40175.83,93.75,140.67,346.84,2671.85,140.67
2018-06-06,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3284.0,40109.03,94.21,152.32,416.89,7548.94,152.32
2018-06-07,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3562.0,40079.05,78.52,125.02,332.2,40003.64,125.02
2018-06-08,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3542.0,40169.0,78.24,125.01,311.46,40022.94,125.01
2018-06-11,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3500.0,40092.48,93.74,140.9,344.46,40007.82,140.9
2018-06-12,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3524.0,58429.8,78.14,125.0,296.86,6078.15,125.0
2018-06-13,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3453.0,40423.59,108.92,187.46,574.29,40008.85,187.46
2018-06-14,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3413.0,40093.43,109.49,234.43,624.24,40064.21,234.43
2018-06-15,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2636.0,40165.35,78.19,125.01,281.84,36427.11,125.01
2018-06-18,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3477.0,40132.85,93.29,140.62,359.78,40013.55,140.62
2018-06-19,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3287.0,40083.35,84.05,140.59,344.07,40004.99,140.59
2018-06-20,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3039.0,40126.11,93.7,140.63,311.34,40007.47,140.63
2018-06-21,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3014.0,40719.0,78.13,109.41,234.4,40000.68,109.41
2018-06-22,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2893.0,40092.38,74.62,109.37,187.65,421.88,109.37
2018-06-25,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3763.0,40292.41,78.14,123.98,250.29,40003.11,123.98
2018-06-26,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3389.0,40202.28,78.12,109.42,249.65,40000.37,109.42
2018-06-27,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3248.0,40113.37,78.13,112.31,259.26,40007.3,112.31
2018-06-28,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2902.0,40157.15,84.53,124.99,280.72,8250.07,124.99
2018-06-29,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2629.0,40121.56,81.31,124.99,281.26,40002.82,124.99
2018-07-02,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,2870.0,40089.87,80.27,125.67,312.66,3617.72,125.67
2018-07-03,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,3023.0,40090.64,78.13,122.92,250.0,5608.36,122.92
2018-07-04,UcmDbConn,[ClientCenter].[GetWeeklySpendByCustomerIds],All,1804.0,40158.07,62.52,97.57,218.74,589.81,97.57
