startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Common].GetActionReasons,All,380.0,3106.23,62.47,78.12,718.73,1625.18,78.12
2018-02-05,UcmDbConn,[Common].GetActionReasons,All,169.0,2000.05,62.5,78.13,734.21,1687.55,78.13
2018-02-06,UcmDbConn,[Common].GetActionReasons,All,181.0,2343.58,62.5,155.58,687.48,1249.99,155.58
2018-02-07,UcmDbConn,[Common].GetActionReasons,All,288.0,1250.34,62.5,65.55,624.93,1156.37,65.55
2018-02-08,UcmDbConn,[Common].GetActionReasons,All,236.0,3453.53,62.5,109.38,765.6,1203.12,109.38
2018-02-09,UcmDbConn,[Common].GetActionReasons,All,195.0,2093.44,62.5,78.13,641.16,1155.96,78.13
2018-02-12,UcmDbConn,[Common].GetActionReasons,All,124.0,1046.83,62.5,78.12,625.61,687.59,78.12
2018-02-13,UcmDbConn,[Common].GetActionReasons,All,160.0,1671.83,62.5,78.13,687.5,1140.74,78.13
2018-02-14,UcmDbConn,[Common].GetActionReasons,All,170.0,4953.46,62.5,93.87,687.55,4953.46,93.87
2018-02-15,UcmDbConn,[Common].GetActionReasons,All,168.0,1218.75,62.5,78.12,656.68,1108.99,78.12
2018-02-16,UcmDbConn,[Common].GetActionReasons,All,94.0,750.77,62.45,62.51,656.24,750.77,62.51
2018-02-19,UcmDbConn,[Common].GetActionReasons,All,67.0,3109.25,62.1,592.26,1125.03,3109.25,592.26
2018-02-20,UcmDbConn,[Common].GetActionReasons,All,146.0,1250.06,62.51,93.75,656.22,1203.6,93.75
2018-02-21,UcmDbConn,[Common].GetActionReasons,All,128.0,3327.5,62.5,578.15,765.52,2093.26,578.15
2018-02-22,UcmDbConn,[Common].GetActionReasons,All,318.0,2500.03,62.49,78.12,671.88,1171.93,78.12
2018-02-23,UcmDbConn,[Common].GetActionReasons,All,112.0,1703.06,62.42,62.59,672.63,1156.25,62.59
2018-02-26,UcmDbConn,[Common].GetActionReasons,All,227.0,2796.83,62.49,78.12,656.25,1187.18,78.12
2018-02-27,UcmDbConn,[Common].GetActionReasons,All,262.0,2093.77,62.5,78.11,702.99,1171.81,78.11
2018-02-28,UcmDbConn,[Common].GetActionReasons,All,191.0,3374.96,62.5,78.12,687.49,1328.1,78.12
2018-03-01,UcmDbConn,[Common].GetActionReasons,All,239.0,1734.38,62.5,78.13,687.15,1360.02,78.13
