startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,7944.0,19258.31,62.47,62.52,593.79,734.38,62.52
2018-02-05,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,9061.0,19269.3,62.26,62.5,590.7,656.25,62.5
2018-02-06,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,9639.0,19264.67,62.48,62.51,291.03,671.65,62.51
2018-02-07,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,9225.0,19264.62,62.48,62.51,125.65,656.02,62.51
2018-02-08,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,9001.0,45744.56,62.49,62.78,140.61,671.97,62.78
2018-02-09,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,8294.0,19258.95,62.49,62.51,125.0,641.82,62.51
2018-02-12,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,10460.0,2635.02,62.49,62.51,109.37,624.99,62.51
2018-02-13,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,6626.0,2812.38,62.49,62.52,109.88,625.0,62.52
2018-02-14,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,9194.0,19274.69,62.48,62.51,125.0,653.96,62.51
2018-02-15,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,8629.0,19365.17,62.49,62.51,125.0,656.23,62.51
2018-02-16,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,7306.0,2671.87,62.47,62.51,124.96,640.52,62.51
2018-02-19,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,5891.0,2249.96,61.84,62.5,170.85,640.79,62.5
2018-02-20,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,9073.0,2609.55,62.49,62.64,183.21,625.11,62.64
2018-02-21,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,9484.0,6017.68,62.49,62.51,125.01,625.02,62.51
2018-02-22,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,9989.0,19264.96,62.49,62.52,125.0,640.62,62.52
2018-02-23,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,8710.0,19363.49,62.14,62.51,209.56,671.84,62.51
2018-02-26,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,10892.0,2796.83,62.44,62.5,125.0,625.03,62.5
2018-02-27,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,11171.0,2734.31,62.36,62.51,116.78,640.6,62.51
2018-02-28,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,11004.0,19265.32,62.49,62.51,124.96,640.72,62.51
2018-03-01,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,11592.0,13969.18,62.49,62.52,124.87,626.02,62.52
2018-03-02,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,11586.0,16553.65,62.49,62.51,125.02,640.64,62.51
2018-03-05,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,9873.0,2531.46,62.48,62.51,109.56,624.99,62.51
2018-03-06,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,10356.0,19281.74,62.49,62.52,140.94,656.25,62.52
2018-03-07,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,9694.0,13109.2,62.5,62.65,155.77,640.63,62.65
2018-03-08,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,9145.0,19261.95,62.49,62.51,157.0,655.28,62.51
2018-03-09,UcmDbConn,[Common].[GetActiveBusinessFunctions],All,7748.0,19258.97,62.49,62.51,573.72,656.29,62.51
