startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Common].[GetActiveTeams],All,81.0,203.13,78.13,93.75,140.62,203.13,93.75
2018-02-05,UcmDbConn,[Common].[GetActiveTeams],All,85.0,1187.5,78.13,93.74,125.0,1187.5,93.74
2018-02-06,UcmDbConn,[Common].[GetActiveTeams],All,117.0,640.61,78.12,93.74,140.67,202.94,93.74
2018-02-07,UcmDbConn,[Common].[GetActiveTeams],All,131.0,718.75,78.13,93.74,159.88,671.85,93.74
2018-02-08,UcmDbConn,[Common].[GetActiveTeams],All,84.0,1953.14,78.14,93.75,187.63,1953.14,93.75
2018-02-09,UcmDbConn,[Common].[GetActiveTeams],All,102.0,921.89,78.12,93.73,125.0,187.49,93.73
2018-02-12,UcmDbConn,[Common].[GetActiveTeams],All,80.0,750.03,78.12,93.75,140.63,750.03,93.75
2018-02-13,UcmDbConn,[Common].[GetActiveTeams],All,79.0,796.86,78.13,93.74,140.61,796.86,93.74
2018-02-14,UcmDbConn,[Common].[GetActiveTeams],All,112.0,734.28,78.12,78.77,140.62,671.74,78.77
2018-02-15,UcmDbConn,[Common].[GetActiveTeams],All,71.0,141.23,78.13,93.75,109.86,141.23,93.75
2018-02-16,UcmDbConn,[Common].[GetActiveTeams],All,91.0,748.66,78.13,91.68,124.99,748.66,91.68
2018-02-19,UcmDbConn,[Common].[GetActiveTeams],All,18.0,140.63,78.1,93.73,140.63,140.63,93.73
2018-02-20,UcmDbConn,[Common].[GetActiveTeams],All,56.0,593.44,93.61,109.38,237.76,593.44,109.38
2018-02-21,UcmDbConn,[Common].[GetActiveTeams],All,103.0,203.46,78.13,93.74,125.7,171.87,93.74
2018-02-22,UcmDbConn,[Common].[GetActiveTeams],All,152.0,172.02,78.14,93.75,125.93,156.27,93.75
2018-02-23,UcmDbConn,[Common].[GetActiveTeams],All,76.0,141.18,78.11,78.25,125.01,141.18,78.25
2018-02-26,UcmDbConn,[Common].[GetActiveTeams],All,146.0,1203.1,78.12,93.73,140.62,265.63,93.73
2018-02-27,UcmDbConn,[Common].[GetActiveTeams],All,119.0,234.38,78.12,93.75,140.62,234.29,93.75
2018-02-28,UcmDbConn,[Common].[GetActiveTeams],All,80.0,813.88,78.13,93.75,140.7,813.88,93.75
2018-03-01,UcmDbConn,[Common].[GetActiveTeams],All,145.0,1593.72,78.13,93.71,140.61,734.36,93.71
2018-03-02,UcmDbConn,[Common].[GetActiveTeams],All,88.0,609.38,78.11,78.13,125.0,609.38,78.13
2018-03-05,UcmDbConn,[Common].[GetActiveTeams],All,86.0,750.01,78.13,95.47,187.5,750.01,95.47
2018-03-06,UcmDbConn,[Common].[GetActiveTeams],All,120.0,19255.07,78.13,93.74,140.63,1734.35,93.74
2018-03-07,UcmDbConn,[Common].[GetActiveTeams],All,88.0,749.91,78.13,93.74,140.74,749.91,93.74
2018-03-08,UcmDbConn,[Common].[GetActiveTeams],All,94.0,203.04,78.12,78.85,140.62,203.04,78.85
2018-03-09,UcmDbConn,[Common].[GetActiveTeams],All,68.0,140.87,78.12,90.69,124.99,140.87,90.69
2018-03-12,UcmDbConn,[Common].[GetActiveTeams],All,133.0,1253.79,78.13,90.17,140.61,171.87,90.17
2018-03-13,UcmDbConn,[Common].[GetActiveTeams],All,116.0,234.37,78.12,93.16,125.0,156.24,93.16
2018-03-14,UcmDbConn,[Common].[GetActiveTeams],All,178.0,703.57,78.12,93.74,140.68,265.62,93.74
2018-03-15,UcmDbConn,[Common].[GetActiveTeams],All,110.0,359.36,78.12,93.73,125.0,156.25,93.73
2018-03-16,UcmDbConn,[Common].[GetActiveTeams],All,128.0,171.89,78.12,93.75,140.61,171.36,93.75
2018-03-19,UcmDbConn,[Common].[GetActiveTeams],All,121.0,233.53,78.13,93.75,155.57,223.94,93.75
2018-03-20,UcmDbConn,[Common].[GetActiveTeams],All,133.0,781.24,78.14,93.75,140.98,224.85,93.75
2018-03-21,UcmDbConn,[Common].[GetActiveTeams],All,81.0,153.3,78.12,79.72,125.0,153.3,79.72
2018-03-22,UcmDbConn,[Common].[GetActiveTeams],All,177.0,202.72,78.12,83.09,140.61,171.88,83.09
2018-03-23,UcmDbConn,[Common].[GetActiveTeams],All,111.0,736.04,78.12,93.74,203.13,687.49,93.74
2018-03-26,UcmDbConn,[Common].[GetActiveTeams],All,158.0,234.29,78.12,93.64,140.62,231.35,93.64
2018-03-27,UcmDbConn,[Common].[GetActiveTeams],All,150.0,19368.61,78.12,93.75,140.62,437.5,93.75
2018-03-28,UcmDbConn,[Common].[GetActiveTeams],All,116.0,749.96,78.13,93.75,140.62,265.63,93.75
2018-03-29,UcmDbConn,[Common].[GetActiveTeams],All,80.0,281.24,78.12,93.74,140.4,281.24,93.74
2018-03-30,UcmDbConn,[Common].[GetActiveTeams],All,120.0,656.23,78.13,93.75,187.49,593.74,93.75
2018-04-02,UcmDbConn,[Common].[GetActiveTeams],All,119.0,1265.06,78.13,94.88,312.5,1125.04,94.88
2018-04-03,UcmDbConn,[Common].[GetActiveTeams],All,145.0,624.99,78.13,93.74,125.0,593.75,93.74
2018-04-04,UcmDbConn,[Common].[GetActiveTeams],All,242.0,187.5,78.12,78.14,109.39,156.25,78.14
2018-04-05,UcmDbConn,[Common].[GetActiveTeams],All,92.0,218.72,78.04,78.13,109.38,218.72,78.13
2018-04-06,UcmDbConn,[Common].[GetActiveTeams],All,131.0,250.03,78.08,78.13,140.81,250.01,78.13
2018-04-09,UcmDbConn,[Common].[GetActiveTeams],All,112.0,218.74,78.12,78.87,109.35,155.97,78.87
2018-04-10,UcmDbConn,[Common].[GetActiveTeams],All,142.0,9959.67,78.12,93.75,141.01,1734.35,93.75
2018-04-11,UcmDbConn,[Common].[GetActiveTeams],All,112.0,217.81,78.12,79.43,124.98,187.5,79.43
2018-04-12,UcmDbConn,[Common].[GetActiveTeams],All,117.0,1250.01,78.12,93.72,140.64,611.36,93.72
