startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Common].[GetAllServiceLocations],All,89.0,671.86,62.5,62.54,171.88,671.86,62.54
2018-02-05,UcmDbConn,[Common].[GetAllServiceLocations],All,88.0,609.39,62.5,62.51,78.12,609.39,62.51
2018-02-06,UcmDbConn,[Common].[GetAllServiceLocations],All,102.0,687.49,62.49,62.51,624.98,687.48,62.51
2018-02-07,UcmDbConn,[Common].[GetAllServiceLocations],All,114.0,734.39,62.5,62.51,171.34,624.98,62.51
2018-02-08,UcmDbConn,[Common].[GetAllServiceLocations],All,87.0,2515.64,62.5,78.12,140.49,2515.64,78.12
2018-02-09,UcmDbConn,[Common].[GetAllServiceLocations],All,104.0,718.76,62.49,62.51,93.75,609.37,62.51
2018-02-12,UcmDbConn,[Common].[GetAllServiceLocations],All,65.0,673.33,62.49,62.51,124.99,673.33,62.51
2018-02-13,UcmDbConn,[Common].[GetAllServiceLocations],All,75.0,703.09,62.5,62.51,109.36,703.09,62.51
2018-02-14,UcmDbConn,[Common].[GetAllServiceLocations],All,109.0,281.21,62.5,62.51,78.16,109.4,62.51
2018-02-15,UcmDbConn,[Common].[GetAllServiceLocations],All,83.0,624.99,62.5,63.16,124.99,624.99,63.16
2018-02-16,UcmDbConn,[Common].[GetAllServiceLocations],All,84.0,625.0,62.5,62.53,94.87,625.0,62.53
2018-02-19,UcmDbConn,[Common].[GetAllServiceLocations],All,21.0,687.45,62.48,78.29,640.61,687.45,78.29
2018-02-20,UcmDbConn,[Common].[GetAllServiceLocations],All,63.0,703.06,62.5,62.56,171.89,703.06,62.56
2018-02-21,UcmDbConn,[Common].[GetAllServiceLocations],All,85.0,689.92,62.5,62.51,140.64,689.92,62.51
2018-02-22,UcmDbConn,[Common].[GetAllServiceLocations],All,131.0,670.6,62.5,62.75,125.01,656.25,62.75
2018-02-23,UcmDbConn,[Common].[GetAllServiceLocations],All,74.0,93.75,62.49,62.5,78.12,93.75,62.5
2018-02-26,UcmDbConn,[Common].[GetAllServiceLocations],All,125.0,1718.71,62.5,62.57,125.0,843.81,62.57
2018-02-27,UcmDbConn,[Common].[GetAllServiceLocations],All,137.0,125.0,62.5,62.51,93.74,109.38,62.51
2018-02-28,UcmDbConn,[Common].[GetAllServiceLocations],All,82.0,779.47,62.5,62.59,124.6,779.47,62.59
2018-03-01,UcmDbConn,[Common].[GetAllServiceLocations],All,102.0,1171.86,62.5,62.51,140.62,781.25,62.51
2018-03-02,UcmDbConn,[Common].[GetAllServiceLocations],All,77.0,1171.85,62.5,62.51,125.01,1171.85,62.51
2018-03-05,UcmDbConn,[Common].[GetAllServiceLocations],All,91.0,640.65,62.5,62.51,78.13,640.65,62.51
2018-03-06,UcmDbConn,[Common].[GetAllServiceLocations],All,118.0,19255.21,62.5,62.83,453.12,2031.6,62.83
2018-03-07,UcmDbConn,[Common].[GetAllServiceLocations],All,88.0,806.13,62.5,62.51,531.25,806.13,62.51
2018-03-08,UcmDbConn,[Common].[GetAllServiceLocations],All,89.0,749.27,62.5,62.57,593.75,749.27,62.57
2018-03-09,UcmDbConn,[Common].[GetAllServiceLocations],All,60.0,656.24,62.5,62.51,78.21,656.24,62.51
2018-03-12,UcmDbConn,[Common].[GetAllServiceLocations],All,103.0,139.34,62.5,62.51,78.73,109.38,62.51
2018-03-13,UcmDbConn,[Common].[GetAllServiceLocations],All,102.0,1421.89,62.49,62.52,78.12,624.88,62.52
2018-03-14,UcmDbConn,[Common].[GetAllServiceLocations],All,138.0,1478.11,62.5,62.58,125.0,656.24,62.58
2018-03-15,UcmDbConn,[Common].[GetAllServiceLocations],All,111.0,1091.68,62.5,62.54,124.99,687.48,62.54
2018-03-16,UcmDbConn,[Common].[GetAllServiceLocations],All,120.0,687.49,62.5,62.6,624.99,663.0,62.6
2018-03-19,UcmDbConn,[Common].[GetAllServiceLocations],All,92.0,671.91,62.5,62.85,156.25,671.91,62.85
