startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Common].[GetBingAdsLanguages],All,477.0,2559.33,62.47,62.52,640.63,1218.72,62.52
2018-02-05,UcmDbConn,[Common].[GetBingAdsLanguages],All,209.0,1687.55,62.49,77.93,639.49,1101.5,77.93
2018-02-06,UcmDbConn,[Common].[GetBingAdsLanguages],All,210.0,3421.84,62.5,77.79,636.76,1281.19,77.79
2018-02-07,UcmDbConn,[Common].[GetBingAdsLanguages],All,373.0,1718.44,62.49,62.54,609.37,1156.37,62.54
2018-02-08,UcmDbConn,[Common].[GetBingAdsLanguages],All,299.0,3469.16,62.5,78.13,671.85,2203.05,78.13
2018-02-09,UcmDbConn,[Common].[GetBingAdsLanguages],All,224.0,1562.29,62.48,62.53,640.63,1155.96,62.53
2018-02-12,UcmDbConn,[Common].[GetBingAdsLanguages],All,143.0,1125.0,62.49,63.89,609.35,1046.83,63.89
2018-02-13,UcmDbConn,[Common].[GetBingAdsLanguages],All,200.0,2281.15,62.5,78.07,625.0,1062.49,78.07
2018-02-14,UcmDbConn,[Common].[GetBingAdsLanguages],All,190.0,4562.61,62.5,77.86,670.84,4436.11,77.86
2018-02-15,UcmDbConn,[Common].[GetBingAdsLanguages],All,201.0,1124.98,62.49,62.55,624.29,656.33,62.55
2018-02-16,UcmDbConn,[Common].[GetBingAdsLanguages],All,110.0,656.3,62.43,62.56,140.62,624.95,62.56
2018-02-19,UcmDbConn,[Common].[GetBingAdsLanguages],All,87.0,2515.54,62.49,62.68,624.94,2515.54,62.68
2018-02-20,UcmDbConn,[Common].[GetBingAdsLanguages],All,191.0,2343.66,62.5,78.57,625.03,1203.6,78.57
2018-02-21,UcmDbConn,[Common].[GetBingAdsLanguages],All,142.0,2577.52,62.5,77.93,656.19,1562.01,77.93
2018-02-22,UcmDbConn,[Common].[GetBingAdsLanguages],All,435.0,1437.37,62.5,62.67,625.0,1125.01,62.67
2018-02-23,UcmDbConn,[Common].[GetBingAdsLanguages],All,122.0,2203.12,62.5,62.62,626.16,1171.79,62.62
2018-02-26,UcmDbConn,[Common].[GetBingAdsLanguages],All,293.0,3312.48,62.5,62.56,609.37,1203.11,62.56
2018-02-27,UcmDbConn,[Common].[GetBingAdsLanguages],All,345.0,2078.1,62.5,62.72,614.18,1156.24,62.72
2018-02-28,UcmDbConn,[Common].[GetBingAdsLanguages],All,233.0,2874.96,62.5,78.1,640.61,1265.61,78.1
2018-03-01,UcmDbConn,[Common].[GetBingAdsLanguages],All,320.0,1140.62,62.5,62.76,626.45,843.29,62.76
2018-03-02,UcmDbConn,[Common].[GetBingAdsLanguages],All,303.0,1859.29,62.5,62.56,625.02,1142.85,62.56
2018-03-05,UcmDbConn,[Common].[GetBingAdsLanguages],All,196.0,1265.41,62.49,62.51,625.0,1140.6,62.51
2018-03-06,UcmDbConn,[Common].[GetBingAdsLanguages],All,426.0,1812.5,62.5,62.58,640.63,1249.98,62.58
2018-03-07,UcmDbConn,[Common].[GetBingAdsLanguages],All,212.0,1906.27,62.5,63.5,641.91,1687.47,63.5
2018-03-08,UcmDbConn,[Common].[GetBingAdsLanguages],All,369.0,2484.34,62.5,63.08,625.03,1296.85,63.08
2018-03-09,UcmDbConn,[Common].[GetBingAdsLanguages],All,172.0,1687.49,62.5,78.12,672.0,1660.46,78.12
2018-03-12,UcmDbConn,[Common].[GetBingAdsLanguages],All,304.0,1796.86,62.5,64.1,640.3,1292.29,64.1
2018-03-13,UcmDbConn,[Common].[GetBingAdsLanguages],All,334.0,5077.93,62.49,78.17,687.5,1765.6,78.17
2018-03-14,UcmDbConn,[Common].[GetBingAdsLanguages],All,370.0,2265.6,62.5,66.14,640.63,1171.87,66.14
2018-03-15,UcmDbConn,[Common].[GetBingAdsLanguages],All,318.0,2921.84,62.5,77.93,718.86,1734.37,77.93
2018-03-16,UcmDbConn,[Common].[GetBingAdsLanguages],All,375.0,3296.82,62.5,77.3,625.89,1718.73,77.3
2018-03-19,UcmDbConn,[Common].[GetBingAdsLanguages],All,171.0,2796.83,62.5,93.75,1109.38,2687.5,93.75
2018-03-20,UcmDbConn,[Common].[GetBingAdsLanguages],All,223.0,2312.48,62.5,78.09,656.25,1686.54,78.09
2018-03-21,UcmDbConn,[Common].[GetBingAdsLanguages],All,284.0,2734.33,62.49,62.54,625.0,1187.49,62.54
2018-03-22,UcmDbConn,[Common].[GetBingAdsLanguages],All,296.0,1906.27,62.5,65.31,781.08,1624.98,65.31
2018-03-23,UcmDbConn,[Common].[GetBingAdsLanguages],All,366.0,3015.57,62.5,64.27,624.99,1624.98,64.27
2018-03-26,UcmDbConn,[Common].[GetBingAdsLanguages],All,370.0,2812.51,62.49,62.55,625.22,812.49,62.55
2018-03-27,UcmDbConn,[Common].[GetBingAdsLanguages],All,674.0,3483.86,62.49,62.56,624.98,1179.08,62.56
2018-03-28,UcmDbConn,[Common].[GetBingAdsLanguages],All,280.0,3937.37,62.5,77.17,593.97,781.27,77.17
2018-03-29,UcmDbConn,[Common].[GetBingAdsLanguages],All,312.0,2406.18,62.5,62.53,625.0,1187.49,62.53
2018-03-30,UcmDbConn,[Common].[GetBingAdsLanguages],All,248.0,2578.07,62.5,77.46,640.54,1828.08,77.46
2018-04-02,UcmDbConn,[Common].[GetBingAdsLanguages],All,273.0,3734.25,62.5,78.13,671.7,2109.37,78.13
2018-04-03,UcmDbConn,[Common].[GetBingAdsLanguages],All,255.0,2171.88,62.5,64.32,671.86,1671.88,64.32
2018-04-04,UcmDbConn,[Common].[GetBingAdsLanguages],All,252.0,3671.81,62.49,62.55,640.64,2624.94,62.55
2018-04-05,UcmDbConn,[Common].[GetBingAdsLanguages],All,276.0,1656.23,62.49,62.51,609.35,1124.97,62.51
2018-04-06,UcmDbConn,[Common].[GetBingAdsLanguages],All,120.0,3156.2,62.5,65.23,624.99,2906.23,65.23
2018-04-09,UcmDbConn,[Common].[GetBingAdsLanguages],All,274.0,2234.55,62.49,62.51,203.11,687.42,62.51
2018-04-10,UcmDbConn,[Common].[GetBingAdsLanguages],All,280.0,4922.09,62.5,62.65,527.06,687.49,62.65
2018-04-11,UcmDbConn,[Common].[GetBingAdsLanguages],All,275.0,2437.45,62.5,62.58,609.36,1703.09,62.58
2018-04-12,UcmDbConn,[Common].[GetBingAdsLanguages],All,211.0,3375.06,62.5,63.53,625.0,1937.5,63.53
2018-04-13,UcmDbConn,[Common].[GetBingAdsLanguages],All,265.0,11344.45,62.5,62.56,624.99,1046.54,62.56
2018-04-16,UcmDbConn,[Common].[GetBingAdsLanguages],All,246.0,2272.36,62.5,62.99,625.03,1234.35,62.99
2018-04-17,UcmDbConn,[Common].[GetBingAdsLanguages],All,228.0,3303.21,62.5,62.74,593.75,2328.07,62.74
2018-04-18,UcmDbConn,[Common].[GetBingAdsLanguages],All,236.0,1187.77,62.5,63.56,624.99,695.89,63.56
2018-04-19,UcmDbConn,[Common].[GetBingAdsLanguages],All,397.0,1734.36,62.5,62.51,609.36,1156.17,62.51
2018-04-20,UcmDbConn,[Common].[GetBingAdsLanguages],All,140.0,1843.76,62.49,77.81,648.13,1218.74,77.81
2018-04-23,UcmDbConn,[Common].[GetBingAdsLanguages],All,180.0,1718.72,62.5,78.12,626.44,1281.22,78.12
2018-04-24,UcmDbConn,[Common].[GetBingAdsLanguages],All,288.0,2829.52,62.5,78.12,640.6,1203.13,78.12
2018-04-25,UcmDbConn,[Common].[GetBingAdsLanguages],All,171.0,2203.13,62.5,62.7,609.23,1796.9,62.7
2018-04-26,UcmDbConn,[Common].[GetBingAdsLanguages],All,135.0,718.75,62.5,78.12,625.04,656.26,78.12
2018-04-27,UcmDbConn,[Common].[GetBingAdsLanguages],All,163.0,2890.64,62.5,78.12,625.0,718.74,78.12
