startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3730.0,19280.04,31.25,62.5,83.51,156.3,62.5
2018-02-05,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4954.0,1125.0,30.41,62.5,79.21,171.87,62.5
2018-02-06,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4892.0,19288.59,31.59,62.51,94.57,234.37,62.51
2018-02-07,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4640.0,722.93,33.89,62.51,93.75,173.68,62.51
2018-02-08,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4476.0,18724.46,32.39,62.63,93.75,171.89,62.63
2018-02-09,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3564.0,17183.77,43.27,62.64,93.74,171.16,62.64
2018-02-12,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4244.0,12548.66,31.92,62.51,93.59,159.84,62.51
2018-02-13,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,2868.0,874.93,62.49,77.3,93.75,138.4,77.3
2018-02-14,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4101.0,19361.36,31.47,62.51,92.97,171.74,62.51
2018-02-15,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4019.0,19245.42,31.37,62.52,93.7,140.92,62.52
2018-02-16,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3402.0,765.54,31.26,62.51,91.09,154.47,62.51
2018-02-19,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,2555.0,890.63,19.08,62.49,79.4,156.25,62.49
2018-02-20,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4635.0,1531.36,44.27,66.46,140.63,431.55,66.46
2018-02-21,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4510.0,1799.39,37.37,62.57,93.76,156.25,62.57
2018-02-22,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4462.0,3656.24,35.0,62.52,93.75,156.25,62.52
2018-02-23,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3947.0,19370.17,29.23,62.5,93.74,186.75,62.5
2018-02-26,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,5074.0,656.24,31.38,62.51,93.75,156.25,62.51
2018-02-27,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,5548.0,2168.94,31.78,62.52,93.75,156.25,62.52
2018-02-28,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,5057.0,19374.7,35.11,62.52,93.74,156.24,62.52
2018-03-01,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4522.0,5675.47,36.0,62.53,93.75,171.54,62.53
2018-03-02,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3719.0,8114.4,31.05,62.5,79.1,155.19,62.5
2018-03-05,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4294.0,10180.17,31.25,62.51,93.74,140.62,62.51
2018-03-06,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4306.0,6810.62,50.99,62.59,93.75,171.86,62.59
2018-03-07,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4058.0,4899.9,62.31,71.02,109.35,234.34,71.02
2018-03-08,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4146.0,19276.69,31.39,62.51,93.69,156.25,62.51
2018-03-09,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3274.0,903.72,31.5,62.51,93.7,129.71,62.51
2018-03-12,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4811.0,843.86,31.25,62.5,93.74,140.62,62.5
2018-03-13,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4982.0,3093.67,31.58,62.51,93.74,144.8,62.51
2018-03-14,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4724.0,19237.44,35.02,62.51,93.74,154.36,62.51
2018-03-15,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4385.0,828.11,31.24,62.5,92.08,171.49,62.5
2018-03-16,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4008.0,6203.05,31.16,62.5,82.7,171.87,62.5
2018-03-19,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3495.0,6130.35,28.91,62.5,92.89,156.25,62.5
2018-03-20,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3817.0,13748.67,20.18,62.5,89.01,156.25,62.5
2018-03-21,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3553.0,1234.3,31.07,62.5,79.14,140.61,62.5
2018-03-22,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3515.0,15494.83,29.2,62.5,78.27,140.62,62.5
2018-03-23,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3773.0,19265.63,31.22,62.5,78.87,145.2,62.5
