startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,170.0,171.87,62.5,78.11,82.32,125.01,78.11
2018-02-05,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,154.0,265.77,62.5,62.54,78.16,140.67,62.54
2018-02-06,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,229.0,239.74,62.5,78.07,125.0,203.12,78.07
2018-02-07,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,89.0,125.01,62.5,78.09,82.87,125.01,78.09
2018-02-08,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,207.0,375.01,78.12,78.16,93.76,140.62,78.16
2018-02-09,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,73.0,93.75,62.42,62.5,78.11,93.75,62.5
2018-02-12,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,307.0,281.25,62.5,62.54,78.21,117.63,62.54
2018-02-13,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,179.0,250.0,62.5,62.54,125.0,156.12,62.54
2018-02-14,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,149.0,156.27,62.5,62.54,78.15,125.02,62.54
2018-02-15,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,130.0,593.73,62.5,66.44,93.75,163.88,66.44
2018-02-16,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,88.0,125.13,62.5,62.54,78.22,125.13,62.54
2018-02-19,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,32.0,78.15,15.6,15.65,62.52,78.15,15.65
2018-02-20,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,187.0,296.91,62.5,78.08,125.01,296.91,78.08
2018-02-21,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,178.0,144.64,62.5,63.18,93.8,124.98,63.18
2018-02-22,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,251.0,156.34,18.13,62.51,78.13,109.37,62.51
2018-02-23,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,138.0,218.67,62.5,62.52,81.49,156.14,62.52
2018-02-26,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,199.0,296.86,62.5,62.54,109.38,156.25,62.54
2018-02-27,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,189.0,468.74,62.5,78.12,187.5,390.63,78.12
2018-02-28,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,97.0,109.38,61.5,62.51,79.27,109.38,62.51
2018-03-01,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,126.0,157.05,62.49,62.51,78.11,140.63,62.51
2018-03-02,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,109.0,140.63,46.88,62.5,78.14,125.0,62.5
2018-03-05,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,291.0,579.41,62.5,62.53,109.37,234.03,62.53
2018-03-06,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,430.0,265.63,62.5,62.51,78.79,124.98,62.51
2018-03-07,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,202.0,390.63,62.5,62.51,93.75,129.68,62.51
2018-03-08,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,371.0,171.91,62.5,62.51,78.15,109.38,62.51
2018-03-09,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,280.0,378.4,62.5,62.51,78.13,171.87,62.51
2018-03-12,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,319.0,687.57,62.5,62.53,93.76,203.45,62.53
2018-03-13,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,210.0,2390.58,62.5,62.54,125.04,406.25,62.54
2018-03-14,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,283.0,359.83,62.5,62.52,93.75,140.62,62.52
2018-03-15,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,189.0,218.75,62.49,62.51,93.76,187.53,62.51
2018-03-16,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,192.0,624.99,62.5,62.54,95.5,281.25,62.54
2018-03-19,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,204.0,421.92,62.5,68.74,125.0,218.25,68.74
2018-03-20,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,233.0,281.23,62.5,62.53,109.33,140.56,62.53
2018-03-21,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,185.0,296.89,62.5,62.52,93.74,124.82,62.52
2018-03-22,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,196.0,999.95,62.49,62.51,93.74,249.79,62.51
2018-03-23,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,183.0,265.62,62.48,62.52,93.76,203.13,62.52
2018-03-26,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,241.0,109.39,62.47,62.51,78.14,109.38,62.51
2018-03-27,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,282.0,140.63,62.5,62.51,78.13,109.59,62.51
2018-03-28,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,231.0,359.34,62.5,62.54,93.76,171.87,62.54
2018-03-29,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,177.0,484.37,60.79,62.51,78.16,156.27,62.51
2018-03-30,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,177.0,202.81,62.49,62.53,107.05,171.89,62.53
2018-04-02,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,299.0,203.12,62.5,76.04,93.79,186.99,76.04
2018-04-03,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,276.0,4499.63,62.49,62.51,93.75,703.15,62.51
2018-04-04,UcmDbConn,[Common].[GetClientEngagementLogNotes],All,491.0,250.04,62.48,62.52,93.47,156.25,62.52
