startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Common].[GetContactInformationByContactIds],All,5032.0,19270.47,15.69,62.5,73.91,109.37,62.5
2018-02-05,UcmDbConn,[Common].[GetContactInformationByContactIds],All,6951.0,3203.04,15.67,62.5,66.42,93.93,62.5
2018-02-06,UcmDbConn,[Common].[GetContactInformationByContactIds],All,7056.0,3874.93,16.08,62.5,78.13,187.5,62.5
2018-02-07,UcmDbConn,[Common].[GetContactInformationByContactIds],All,6314.0,421.88,16.69,62.5,77.56,115.0,62.5
2018-02-08,UcmDbConn,[Common].[GetContactInformationByContactIds],All,6051.0,53972.9,15.87,62.5,78.14,102.02,62.5
2018-02-09,UcmDbConn,[Common].[GetContactInformationByContactIds],All,4858.0,824.79,16.39,62.5,75.05,93.75,62.5
2018-02-12,UcmDbConn,[Common].[GetContactInformationByContactIds],All,6266.0,859.39,18.72,62.5,69.94,93.76,62.5
2018-02-13,UcmDbConn,[Common].[GetContactInformationByContactIds],All,4229.0,641.87,47.33,62.5,71.69,93.71,62.5
2018-02-14,UcmDbConn,[Common].[GetContactInformationByContactIds],All,5577.0,1234.4,16.47,62.5,77.66,93.75,62.5
2018-02-15,UcmDbConn,[Common].[GetContactInformationByContactIds],All,5057.0,2234.4,18.9,62.5,78.12,93.75,62.5
2018-02-16,UcmDbConn,[Common].[GetContactInformationByContactIds],All,4613.0,625.0,15.71,62.5,64.3,93.64,62.5
2018-02-19,UcmDbConn,[Common].[GetContactInformationByContactIds],All,4437.0,656.29,15.65,62.5,77.35,164.07,62.5
2018-02-20,UcmDbConn,[Common].[GetContactInformationByContactIds],All,6138.0,2422.02,47.06,62.51,109.39,319.6,62.51
2018-02-21,UcmDbConn,[Common].[GetContactInformationByContactIds],All,6440.0,19374.34,19.38,62.5,78.1,109.36,62.5
2018-02-22,UcmDbConn,[Common].[GetContactInformationByContactIds],All,6434.0,19281.39,22.7,62.5,77.41,93.87,62.5
2018-02-23,UcmDbConn,[Common].[GetContactInformationByContactIds],All,5287.0,1952.89,18.45,62.5,73.51,93.78,62.5
2018-02-26,UcmDbConn,[Common].[GetContactInformationByContactIds],All,6058.0,609.39,17.63,62.5,69.85,93.83,62.5
2018-02-27,UcmDbConn,[Common].[GetContactInformationByContactIds],All,7163.0,4593.7,18.26,62.5,78.09,109.38,62.5
2018-02-28,UcmDbConn,[Common].[GetContactInformationByContactIds],All,6795.0,14703.18,20.06,62.5,78.11,109.41,62.5
2018-03-01,UcmDbConn,[Common].[GetContactInformationByContactIds],All,4382.0,4472.82,62.49,62.5,78.12,109.38,62.5
2018-03-02,UcmDbConn,[Common].[GetContactInformationByContactIds],All,2703.0,8754.26,29.82,62.5,67.6,109.34,62.5
2018-03-05,UcmDbConn,[Common].[GetContactInformationByContactIds],All,2995.0,944.9,46.12,62.5,75.34,93.78,62.5
2018-03-06,UcmDbConn,[Common].[GetContactInformationByContactIds],All,3920.0,19365.7,62.05,62.5,77.63,108.97,62.5
