startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Common].[GetCustomerStates],All,380.0,3106.23,62.45,78.17,890.75,1625.18,78.17
2018-02-05,UcmDbConn,[Common].[GetCustomerStates],All,169.0,1984.42,62.5,93.74,1109.33,1687.55,93.74
2018-02-06,UcmDbConn,[Common].[GetCustomerStates],All,181.0,2874.83,62.5,515.59,656.15,1765.66,515.59
2018-02-07,UcmDbConn,[Common].[GetCustomerStates],All,287.0,1703.3,62.5,78.12,640.48,1187.51,78.12
2018-02-08,UcmDbConn,[Common].[GetCustomerStates],All,236.0,3469.16,62.5,484.41,734.38,1562.5,484.41
2018-02-09,UcmDbConn,[Common].[GetCustomerStates],All,195.0,2077.81,62.5,125.0,640.63,1140.33,125.0
2018-02-12,UcmDbConn,[Common].[GetCustomerStates],All,124.0,1046.83,62.5,78.99,625.61,984.36,78.99
2018-02-13,UcmDbConn,[Common].[GetCustomerStates],All,159.0,2281.15,62.5,78.13,687.48,1156.13,78.13
2018-02-14,UcmDbConn,[Common].[GetCustomerStates],All,170.0,5968.82,62.5,593.68,703.14,5468.86,593.68
2018-02-15,UcmDbConn,[Common].[GetCustomerStates],All,167.0,1655.85,62.5,109.45,640.66,1140.67,109.45
2018-02-16,UcmDbConn,[Common].[GetCustomerStates],All,94.0,703.87,62.21,62.51,593.65,703.87,62.51
2018-02-19,UcmDbConn,[Common].[GetCustomerStates],All,67.0,3046.75,62.49,593.42,984.35,3046.75,593.42
2018-02-20,UcmDbConn,[Common].[GetCustomerStates],All,144.0,1203.6,62.53,293.24,686.85,1171.93,293.24
2018-02-21,UcmDbConn,[Common].[GetCustomerStates],All,128.0,3264.99,62.5,562.0,704.51,2093.26,562.0
2018-02-22,UcmDbConn,[Common].[GetCustomerStates],All,318.0,3015.65,62.5,78.11,655.15,1093.72,78.11
2018-02-23,UcmDbConn,[Common].[GetCustomerStates],All,112.0,2187.49,62.42,79.25,1031.22,1703.06,79.25
