startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Common].[GetFavoritesEntities],All,3730.0,19270.62,30.56,62.5,93.8,626.68,62.5
2018-02-05,UcmDbConn,[Common].[GetFavoritesEntities],All,4954.0,2281.21,19.89,62.5,93.28,592.98,62.5
2018-02-06,UcmDbConn,[Common].[GetFavoritesEntities],All,4892.0,19272.97,31.23,62.5,93.76,593.77,62.5
2018-02-07,UcmDbConn,[Common].[GetFavoritesEntities],All,4639.0,1671.89,31.4,62.5,93.75,531.25,62.5
2018-02-08,UcmDbConn,[Common].[GetFavoritesEntities],All,4475.0,18755.75,31.27,62.5,93.75,296.88,62.5
2018-02-09,UcmDbConn,[Common].[GetFavoritesEntities],All,3563.0,16480.7,31.54,62.5,93.75,609.38,62.5
2018-02-12,UcmDbConn,[Common].[GetFavoritesEntities],All,4244.0,5984.37,31.09,62.5,93.62,250.04,62.5
2018-02-13,UcmDbConn,[Common].[GetFavoritesEntities],All,2868.0,1915.02,61.79,62.51,93.76,169.57,62.51
2018-02-14,UcmDbConn,[Common].[GetFavoritesEntities],All,4100.0,19149.68,29.65,62.5,93.69,593.74,62.5
2018-02-15,UcmDbConn,[Common].[GetFavoritesEntities],All,4019.0,19245.42,29.88,62.5,93.59,421.86,62.5
2018-02-16,UcmDbConn,[Common].[GetFavoritesEntities],All,3402.0,1671.82,29.49,62.5,79.58,233.07,62.5
2018-02-19,UcmDbConn,[Common].[GetFavoritesEntities],All,2554.0,2156.13,17.06,61.05,78.4,578.04,61.05
2018-02-20,UcmDbConn,[Common].[GetFavoritesEntities],All,4633.0,1281.35,31.42,62.5,125.04,390.64,62.5
2018-02-21,UcmDbConn,[Common].[GetFavoritesEntities],All,4507.0,2218.57,31.89,62.5,93.77,359.34,62.5
2018-02-22,UcmDbConn,[Common].[GetFavoritesEntities],All,4462.0,5265.59,31.56,62.5,93.72,281.25,62.5
2018-02-23,UcmDbConn,[Common].[GetFavoritesEntities],All,3947.0,19260.8,19.38,62.5,93.75,609.35,62.5
2018-02-26,UcmDbConn,[Common].[GetFavoritesEntities],All,5073.0,2230.47,31.2,62.5,93.75,247.69,62.5
2018-02-27,UcmDbConn,[Common].[GetFavoritesEntities],All,5546.0,2971.78,31.21,62.5,93.74,218.76,62.5
2018-02-28,UcmDbConn,[Common].[GetFavoritesEntities],All,5056.0,19265.33,31.26,62.5,93.62,203.13,62.5
2018-03-01,UcmDbConn,[Common].[GetFavoritesEntities],All,4522.0,5675.47,31.53,62.5,93.75,233.53,62.5
2018-03-02,UcmDbConn,[Common].[GetFavoritesEntities],All,3719.0,7551.9,19.77,62.5,91.66,592.99,62.5
2018-03-05,UcmDbConn,[Common].[GetFavoritesEntities],All,4294.0,2015.59,29.58,62.5,93.41,203.12,62.5
2018-03-06,UcmDbConn,[Common].[GetFavoritesEntities],All,4306.0,9938.84,46.83,62.5,93.76,593.75,62.5
2018-03-07,UcmDbConn,[Common].[GetFavoritesEntities],All,4058.0,4899.44,48.07,62.5,109.37,622.43,62.5
2018-03-08,UcmDbConn,[Common].[GetFavoritesEntities],All,4146.0,19276.69,30.98,62.5,93.74,546.87,62.5
2018-03-09,UcmDbConn,[Common].[GetFavoritesEntities],All,3274.0,2086.19,31.16,62.5,93.74,593.73,62.5
2018-03-12,UcmDbConn,[Common].[GetFavoritesEntities],All,4811.0,1156.27,29.96,62.5,93.63,171.87,62.5
2018-03-13,UcmDbConn,[Common].[GetFavoritesEntities],All,4980.0,3749.88,31.23,62.5,83.27,171.87,62.5
2018-03-14,UcmDbConn,[Common].[GetFavoritesEntities],All,4723.0,19237.44,32.05,62.5,93.75,218.76,62.5
2018-03-15,UcmDbConn,[Common].[GetFavoritesEntities],All,4385.0,1671.86,30.28,62.5,92.06,265.62,62.5
2018-03-16,UcmDbConn,[Common].[GetFavoritesEntities],All,4008.0,2343.72,29.82,62.5,93.75,593.78,62.5
2018-03-19,UcmDbConn,[Common].[GetFavoritesEntities],All,3495.0,3343.69,20.15,62.5,93.1,315.45,62.5
2018-03-20,UcmDbConn,[Common].[GetFavoritesEntities],All,3816.0,19267.46,19.62,62.5,93.75,593.76,62.5
2018-03-21,UcmDbConn,[Common].[GetFavoritesEntities],All,3553.0,3634.14,29.55,62.5,92.76,281.24,62.5
2018-03-22,UcmDbConn,[Common].[GetFavoritesEntities],All,3512.0,10802.72,19.68,62.5,78.52,578.13,62.5
2018-03-23,UcmDbConn,[Common].[GetFavoritesEntities],All,3772.0,19250.02,31.21,62.5,88.84,213.24,62.5
2018-03-26,UcmDbConn,[Common].[GetFavoritesEntities],All,4788.0,2374.98,31.23,62.5,93.75,217.16,62.5
2018-03-27,UcmDbConn,[Common].[GetFavoritesEntities],All,5323.0,3515.54,30.34,62.5,93.75,320.58,62.5
2018-03-28,UcmDbConn,[Common].[GetFavoritesEntities],All,4965.0,19258.94,31.59,62.5,93.75,265.63,62.5
2018-03-29,UcmDbConn,[Common].[GetFavoritesEntities],All,4622.0,8234.33,31.27,62.5,93.75,421.76,62.5
2018-03-30,UcmDbConn,[Common].[GetFavoritesEntities],All,3224.0,12937.26,45.46,62.5,94.23,624.5,62.5
2018-04-02,UcmDbConn,[Common].[GetFavoritesEntities],All,3383.0,7140.64,53.8,62.5,109.35,609.23,62.5
2018-04-03,UcmDbConn,[Common].[GetFavoritesEntities],All,5170.0,4046.84,30.9,62.5,93.75,422.96,62.5
2018-04-04,UcmDbConn,[Common].[GetFavoritesEntities],All,4979.0,19239.12,31.17,62.5,92.51,339.69,62.5
2018-04-05,UcmDbConn,[Common].[GetFavoritesEntities],All,4861.0,2155.69,19.82,62.5,78.14,171.88,62.5
2018-04-06,UcmDbConn,[Common].[GetFavoritesEntities],All,3770.0,19301.14,30.33,62.5,93.76,528.66,62.5
2018-04-09,UcmDbConn,[Common].[GetFavoritesEntities],All,4823.0,4578.02,28.32,62.5,78.25,171.79,62.5
2018-04-10,UcmDbConn,[Common].[GetFavoritesEntities],All,4716.0,4218.72,30.16,62.5,79.91,203.12,62.5
2018-04-11,UcmDbConn,[Common].[GetFavoritesEntities],All,4878.0,19252.03,30.21,62.5,78.89,218.78,62.5
2018-04-12,UcmDbConn,[Common].[GetFavoritesEntities],All,4437.0,3312.38,31.06,62.5,93.73,234.08,62.5
2018-04-13,UcmDbConn,[Common].[GetFavoritesEntities],All,3942.0,19265.93,19.84,62.5,93.09,263.17,62.5
2018-04-16,UcmDbConn,[Common].[GetFavoritesEntities],All,4583.0,51910.34,29.64,62.5,92.0,593.78,62.5
2018-04-17,UcmDbConn,[Common].[GetFavoritesEntities],All,4749.0,2829.45,31.06,62.5,78.23,186.64,62.5
2018-04-18,UcmDbConn,[Common].[GetFavoritesEntities],All,5459.0,19378.43,33.16,62.5,93.74,187.5,62.5
2018-04-19,UcmDbConn,[Common].[GetFavoritesEntities],All,5100.0,19269.94,33.68,62.5,79.76,171.88,62.5
2018-04-20,UcmDbConn,[Common].[GetFavoritesEntities],All,3795.0,2093.7,19.59,62.5,78.16,203.12,62.5
2018-04-23,UcmDbConn,[Common].[GetFavoritesEntities],All,4610.0,2219.32,30.08,62.5,92.68,315.59,62.5
2018-04-24,UcmDbConn,[Common].[GetFavoritesEntities],All,4702.0,7062.37,46.88,62.5,109.02,203.12,62.5
2018-04-25,UcmDbConn,[Common].[GetFavoritesEntities],All,4534.0,2278.07,31.55,62.5,92.91,174.32,62.5
2018-04-26,UcmDbConn,[Common].[GetFavoritesEntities],All,4484.0,155257.97,62.5,66.31,125.01,687.5,66.31
2018-04-27,UcmDbConn,[Common].[GetFavoritesEntities],All,3887.0,3453.1,62.49,62.51,109.38,385.96,62.51
2018-04-30,UcmDbConn,[Common].[GetFavoritesEntities],All,4825.0,1781.23,46.65,62.5,93.45,250.08,62.5
2018-05-01,UcmDbConn,[Common].[GetFavoritesEntities],All,4120.0,19250.73,31.11,62.5,84.18,187.52,62.5
2018-05-02,UcmDbConn,[Common].[GetFavoritesEntities],All,4737.0,19374.64,33.4,62.5,91.04,296.86,62.5
2018-05-03,UcmDbConn,[Common].[GetFavoritesEntities],All,4684.0,19477.7,31.71,62.5,92.35,276.84,62.5
2018-05-04,UcmDbConn,[Common].[GetFavoritesEntities],All,3576.0,5223.53,31.24,62.5,93.0,593.74,62.5
2018-05-07,UcmDbConn,[Common].[GetFavoritesEntities],All,4455.0,1316.39,31.68,62.5,78.8,187.5,62.5
2018-05-08,UcmDbConn,[Common].[GetFavoritesEntities],All,4524.0,3281.19,31.35,62.5,78.44,156.25,62.5
2018-05-09,UcmDbConn,[Common].[GetFavoritesEntities],All,4963.0,38265.61,32.18,62.5,112.6,753.76,62.5
2018-05-10,UcmDbConn,[Common].[GetFavoritesEntities],All,5011.0,313835.06,47.63,64.66,282.8,1652.32,64.66
2018-05-11,UcmDbConn,[Common].[GetFavoritesEntities],All,3855.0,2582.48,31.28,62.5,93.75,312.49,62.5
2018-05-14,UcmDbConn,[Common].[GetFavoritesEntities],All,4849.0,4533.15,30.55,62.5,90.17,281.31,62.5
2018-05-15,UcmDbConn,[Common].[GetFavoritesEntities],All,4546.0,2391.23,31.24,62.49,79.52,174.63,62.49
2018-05-16,UcmDbConn,[Common].[GetFavoritesEntities],All,4730.0,2765.68,29.31,62.47,80.04,298.82,62.47
2018-05-17,UcmDbConn,[Common].[GetFavoritesEntities],All,4206.0,6043.36,34.55,62.51,93.74,251.84,62.51
2018-05-18,UcmDbConn,[Common].[GetFavoritesEntities],All,3761.0,1793.17,23.59,62.49,81.95,421.16,62.49
2018-05-21,UcmDbConn,[Common].[GetFavoritesEntities],All,4749.0,3000.85,44.56,62.51,90.92,279.22,62.51
2018-05-22,UcmDbConn,[Common].[GetFavoritesEntities],All,4758.0,19364.69,31.29,62.5,83.51,171.91,62.5
2018-05-23,UcmDbConn,[Common].[GetFavoritesEntities],All,4874.0,1671.91,31.25,62.5,82.31,187.5,62.5
2018-05-24,UcmDbConn,[Common].[GetFavoritesEntities],All,4880.0,2203.36,35.6,62.5,93.74,217.63,62.5
2018-05-25,UcmDbConn,[Common].[GetFavoritesEntities],All,3603.0,2964.67,31.38,62.5,83.25,421.88,62.5
2018-05-28,UcmDbConn,[Common].[GetFavoritesEntities],All,2441.0,1701.49,29.69,62.49,79.17,607.2,62.49
2018-05-29,UcmDbConn,[Common].[GetFavoritesEntities],All,5019.0,2046.16,37.98,62.52,81.72,169.67,62.52
2018-05-30,UcmDbConn,[Common].[GetFavoritesEntities],All,4811.0,2780.03,44.65,62.52,90.39,189.72,62.52
2018-05-31,UcmDbConn,[Common].[GetFavoritesEntities],All,4696.0,3944.86,46.96,62.54,108.16,343.75,62.54
2018-06-01,UcmDbConn,[Common].[GetFavoritesEntities],All,3862.0,1855.56,46.67,62.54,107.88,218.75,62.54
2018-06-04,UcmDbConn,[Common].[GetFavoritesEntities],All,4615.0,10449.35,46.83,63.41,109.93,296.97,63.41
2018-06-05,UcmDbConn,[Common].[GetFavoritesEntities],All,4975.0,4825.06,32.76,62.52,93.8,216.33,62.52
2018-06-06,UcmDbConn,[Common].[GetFavoritesEntities],All,4397.0,1671.9,31.33,62.53,107.74,203.13,62.53
2018-06-07,UcmDbConn,[Common].[GetFavoritesEntities],All,4768.0,7806.88,31.54,62.51,93.97,218.21,62.51
2018-06-08,UcmDbConn,[Common].[GetFavoritesEntities],All,4109.0,2484.41,31.24,62.5,93.78,327.49,62.5
2018-06-11,UcmDbConn,[Common].[GetFavoritesEntities],All,4797.0,3383.06,31.25,62.5,97.7,264.58,62.5
2018-06-12,UcmDbConn,[Common].[GetFavoritesEntities],All,4580.0,19250.15,30.4,62.47,93.73,282.56,62.47
2018-06-13,UcmDbConn,[Common].[GetFavoritesEntities],All,4598.0,6281.3,34.09,62.53,109.39,385.0,62.53
2018-06-14,UcmDbConn,[Common].[GetFavoritesEntities],All,4370.0,4897.53,57.52,77.91,122.33,250.0,77.91
2018-06-15,UcmDbConn,[Common].[GetFavoritesEntities],All,4134.0,6421.8,29.79,62.47,93.68,187.48,62.47
2018-06-18,UcmDbConn,[Common].[GetFavoritesEntities],All,4768.0,1468.78,31.25,62.49,93.73,159.57,62.49
2018-06-19,UcmDbConn,[Common].[GetFavoritesEntities],All,4167.0,2201.77,31.99,62.5,93.65,171.87,62.5
2018-06-20,UcmDbConn,[Common].[GetFavoritesEntities],All,4149.0,3289.33,31.14,62.47,82.35,139.05,62.47
2018-06-21,UcmDbConn,[Common].[GetFavoritesEntities],All,4010.0,1890.59,31.18,62.47,82.04,169.23,62.47
2018-06-22,UcmDbConn,[Common].[GetFavoritesEntities],All,3491.0,1577.94,30.98,62.47,79.89,155.79,62.47
2018-06-25,UcmDbConn,[Common].[GetFavoritesEntities],All,4700.0,19249.13,31.12,62.48,91.69,176.96,62.48
2018-06-26,UcmDbConn,[Common].[GetFavoritesEntities],All,4478.0,4774.18,29.88,62.49,90.07,158.5,62.49
2018-06-27,UcmDbConn,[Common].[GetFavoritesEntities],All,4167.0,2091.26,30.67,62.47,80.55,154.37,62.47
2018-06-28,UcmDbConn,[Common].[GetFavoritesEntities],All,3912.0,2547.77,31.28,62.51,93.44,160.48,62.51
2018-06-29,UcmDbConn,[Common].[GetFavoritesEntities],All,3723.0,4936.79,31.25,62.5,80.7,156.56,62.5
2018-07-02,UcmDbConn,[Common].[GetFavoritesEntities],All,4176.0,1963.94,29.03,62.16,79.85,141.81,62.16
2018-07-03,UcmDbConn,[Common].[GetFavoritesEntities],All,3646.0,15878.75,28.75,61.19,78.77,124.91,61.19
2018-07-04,UcmDbConn,[Common].[GetFavoritesEntities],All,2143.0,19359.26,18.48,58.63,78.14,123.94,58.63
2018-07-05,UcmDbConn,[Common].[GetFavoritesEntities],All,3139.0,343.4,19.75,60.89,79.07,130.11,60.89
2018-07-06,UcmDbConn,[Common].[GetFavoritesEntities],All,2863.0,1000.04,19.47,61.11,78.65,138.04,61.11
2018-07-09,UcmDbConn,[Common].[GetFavoritesEntities],All,4053.0,906.25,31.23,62.5,81.09,140.61,62.5
2018-07-10,UcmDbConn,[Common].[GetFavoritesEntities],All,4086.0,4910.07,31.19,62.5,82.97,187.55,62.5
2018-07-11,UcmDbConn,[Common].[GetFavoritesEntities],All,4282.0,1981.7,31.09,62.5,93.74,201.31,62.5
2018-07-12,UcmDbConn,[Common].[GetFavoritesEntities],All,4102.0,3515.94,31.25,62.52,95.46,237.13,62.52
2018-07-13,UcmDbConn,[Common].[GetFavoritesEntities],All,3385.0,578.13,31.18,62.5,89.23,171.09,62.5
2018-07-16,UcmDbConn,[Common].[GetFavoritesEntities],All,4128.0,2454.56,31.16,62.5,92.4,236.36,62.5
2018-07-17,UcmDbConn,[Common].[GetFavoritesEntities],All,4032.0,1890.67,31.24,62.5,82.48,156.65,62.5
2018-07-18,UcmDbConn,[Common].[GetFavoritesEntities],All,4220.0,546.86,31.22,62.49,81.9,140.65,62.49
2018-07-19,UcmDbConn,[Common].[GetFavoritesEntities],All,460.0,184.59,62.46,64.54,79.86,109.38,64.54
