startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Common].[GetFilesMetadata],All,825.0,722.86,62.49,62.51,78.13,151.65,62.51
2018-02-05,UcmDbConn,[Common].[GetFilesMetadata],All,869.0,406.26,62.48,62.5,78.18,140.58,62.5
2018-02-06,UcmDbConn,[Common].[GetFilesMetadata],All,1134.0,2441.98,62.47,62.51,93.75,281.24,62.51
2018-02-07,UcmDbConn,[Common].[GetFilesMetadata],All,1214.0,328.59,62.45,62.5,78.12,125.0,62.5
2018-02-08,UcmDbConn,[Common].[GetFilesMetadata],All,977.0,296.87,62.5,62.54,93.74,140.76,62.54
2018-02-09,UcmDbConn,[Common].[GetFilesMetadata],All,754.0,1239.56,62.49,62.5,78.48,922.05,62.5
2018-02-12,UcmDbConn,[Common].[GetFilesMetadata],All,1024.0,191.96,62.49,62.51,78.13,125.01,62.51
2018-02-13,UcmDbConn,[Common].[GetFilesMetadata],All,724.0,268.38,62.49,62.51,78.15,156.27,62.51
2018-02-14,UcmDbConn,[Common].[GetFilesMetadata],All,1045.0,45096.35,62.47,62.5,78.13,171.88,62.5
2018-02-15,UcmDbConn,[Common].[GetFilesMetadata],All,1005.0,60373.31,62.47,62.51,78.13,156.26,62.51
2018-02-16,UcmDbConn,[Common].[GetFilesMetadata],All,834.0,999.94,62.47,62.51,78.13,140.63,62.51
2018-02-19,UcmDbConn,[Common].[GetFilesMetadata],All,550.0,490.01,32.59,62.5,78.12,140.63,62.5
2018-02-20,UcmDbConn,[Common].[GetFilesMetadata],All,1203.0,718.79,46.86,62.51,125.0,312.47,62.51
2018-02-21,UcmDbConn,[Common].[GetFilesMetadata],All,1123.0,218.77,62.46,62.5,78.15,125.03,62.5
2018-02-22,UcmDbConn,[Common].[GetFilesMetadata],All,1016.0,234.35,62.47,62.5,78.14,109.44,62.5
2018-02-23,UcmDbConn,[Common].[GetFilesMetadata],All,935.0,755.78,19.0,62.5,78.12,124.99,62.5
2018-02-26,UcmDbConn,[Common].[GetFilesMetadata],All,1141.0,360.81,58.85,62.5,78.12,109.37,62.5
2018-02-27,UcmDbConn,[Common].[GetFilesMetadata],All,1120.0,937.48,62.46,62.5,78.47,156.25,62.5
2018-02-28,UcmDbConn,[Common].[GetFilesMetadata],All,1190.0,1031.26,62.49,62.51,93.75,241.83,62.51
2018-03-01,UcmDbConn,[Common].[GetFilesMetadata],All,1167.0,1846.15,58.33,62.5,78.12,109.35,62.5
2018-03-02,UcmDbConn,[Common].[GetFilesMetadata],All,999.0,765.62,22.07,62.5,78.12,140.63,62.5
