startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Common].[GetManagerLevelDetails],All,7939.0,19270.62,62.49,62.51,93.75,541.75,62.51
2018-02-05,UcmDbConn,[Common].[GetManagerLevelDetails],All,9058.0,19269.29,62.47,62.5,92.58,239.6,62.5
2018-02-06,UcmDbConn,[Common].[GetManagerLevelDetails],All,9635.0,19412.93,62.49,62.51,93.77,305.55,62.51
2018-02-07,UcmDbConn,[Common].[GetManagerLevelDetails],All,9222.0,19264.62,62.49,62.51,93.75,250.01,62.51
2018-02-08,UcmDbConn,[Common].[GetManagerLevelDetails],All,9001.0,45807.03,62.49,62.58,93.76,233.38,62.58
2018-02-09,UcmDbConn,[Common].[GetManagerLevelDetails],All,8291.0,19368.21,62.49,62.51,93.75,216.77,62.51
2018-02-12,UcmDbConn,[Common].[GetManagerLevelDetails],All,10458.0,8725.2,62.49,62.51,93.67,167.03,62.51
2018-02-13,UcmDbConn,[Common].[GetManagerLevelDetails],All,6626.0,1203.09,62.49,62.52,93.75,171.91,62.52
2018-02-14,UcmDbConn,[Common].[GetManagerLevelDetails],All,9190.0,19263.91,62.49,62.51,93.38,172.75,62.51
2018-02-15,UcmDbConn,[Common].[GetManagerLevelDetails],All,8629.0,19256.61,62.49,62.51,92.56,171.89,62.51
2018-02-16,UcmDbConn,[Common].[GetManagerLevelDetails],All,7301.0,1968.74,62.48,62.51,79.57,171.23,62.51
2018-02-19,UcmDbConn,[Common].[GetManagerLevelDetails],All,5891.0,2687.41,62.44,62.5,92.76,249.98,62.5
2018-02-20,UcmDbConn,[Common].[GetManagerLevelDetails],All,9073.0,1672.03,62.49,62.76,139.24,421.82,62.76
2018-02-21,UcmDbConn,[Common].[GetManagerLevelDetails],All,9481.0,19380.9,62.49,62.51,93.75,187.48,62.51
2018-02-22,UcmDbConn,[Common].[GetManagerLevelDetails],All,9989.0,12897.22,62.49,62.51,93.74,203.12,62.51
2018-02-23,UcmDbConn,[Common].[GetManagerLevelDetails],All,8709.0,19245.17,62.41,62.5,93.66,219.05,62.5
2018-02-26,UcmDbConn,[Common].[GetManagerLevelDetails],All,10890.0,3875.04,62.48,62.5,93.69,187.53,62.5
2018-02-27,UcmDbConn,[Common].[GetManagerLevelDetails],All,11164.0,3953.13,62.48,62.51,93.74,159.34,62.51
2018-02-28,UcmDbConn,[Common].[GetManagerLevelDetails],All,11004.0,19265.33,62.49,62.51,93.75,167.68,62.51
2018-03-01,UcmDbConn,[Common].[GetManagerLevelDetails],All,11586.0,19265.98,62.49,62.51,93.75,202.94,62.51
2018-03-02,UcmDbConn,[Common].[GetManagerLevelDetails],All,11578.0,45023.41,62.49,62.51,93.74,203.17,62.51
2018-03-05,UcmDbConn,[Common].[GetManagerLevelDetails],All,9869.0,1656.25,62.49,62.5,90.74,142.21,62.5
2018-03-06,UcmDbConn,[Common].[GetManagerLevelDetails],All,10351.0,19281.73,62.49,62.51,93.75,250.0,62.51
2018-03-07,UcmDbConn,[Common].[GetManagerLevelDetails],All,9690.0,13624.82,62.49,62.51,94.5,333.13,62.51
2018-03-08,UcmDbConn,[Common].[GetManagerLevelDetails],All,9141.0,19276.69,62.49,62.51,93.75,215.64,62.51
2018-03-09,UcmDbConn,[Common].[GetManagerLevelDetails],All,7748.0,19274.62,62.49,62.5,93.69,266.96,62.5
2018-03-12,UcmDbConn,[Common].[GetManagerLevelDetails],All,11589.0,19316.56,62.49,62.51,93.74,186.09,62.51
2018-03-13,UcmDbConn,[Common].[GetManagerLevelDetails],All,11056.0,29806.12,62.49,62.51,93.75,249.88,62.51
2018-03-14,UcmDbConn,[Common].[GetManagerLevelDetails],All,12053.0,19270.12,62.49,62.51,93.74,190.75,62.51
2018-03-15,UcmDbConn,[Common].[GetManagerLevelDetails],All,13165.0,19263.79,62.49,62.51,93.74,187.59,62.51
2018-03-16,UcmDbConn,[Common].[GetManagerLevelDetails],All,10363.0,19256.95,62.49,62.51,93.75,361.65,62.51
2018-03-19,UcmDbConn,[Common].[GetManagerLevelDetails],All,8621.0,19368.01,62.49,62.51,93.75,223.46,62.51
2018-03-20,UcmDbConn,[Common].[GetManagerLevelDetails],All,9558.0,19269.51,62.49,62.51,93.75,281.42,62.51
2018-03-21,UcmDbConn,[Common].[GetManagerLevelDetails],All,10720.0,19276.58,62.49,62.51,93.74,172.84,62.51
2018-03-22,UcmDbConn,[Common].[GetManagerLevelDetails],All,8934.0,19265.4,62.49,62.5,93.74,249.6,62.5
