startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,7737.0,21131.18,62.48,62.52,609.36,816.42,62.52
2018-02-05,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,8830.0,19269.3,62.3,62.51,593.75,656.43,62.51
2018-02-06,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,9413.0,19280.29,62.48,62.51,593.73,687.5,62.51
2018-02-07,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,9003.0,19383.66,62.49,62.51,159.66,656.24,62.51
2018-02-08,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,8776.0,45728.93,62.49,62.99,271.23,703.12,62.99
2018-02-09,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,8086.0,19343.4,62.49,62.51,206.32,656.24,62.51
2018-02-12,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,10252.0,2187.52,62.49,62.51,123.41,638.31,62.51
2018-02-13,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,6478.0,2796.75,62.49,62.52,124.99,640.59,62.52
2018-02-14,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,8978.0,19274.51,62.48,62.51,165.79,656.31,62.51
2018-02-15,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,8477.0,19255.83,62.49,62.51,227.31,671.85,62.51
2018-02-16,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,7151.0,2407.88,62.47,62.51,174.49,640.63,62.51
2018-02-19,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,5835.0,2703.02,62.04,62.51,593.74,671.84,62.51
2018-02-20,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,8912.0,2265.78,62.49,62.77,277.1,656.11,62.77
2018-02-21,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,9212.0,6017.68,62.49,62.52,165.77,640.62,62.52
2018-02-22,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,9493.0,12865.67,62.49,62.53,159.6,656.19,62.53
2018-02-23,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,8074.0,19230.22,62.46,62.51,593.75,703.59,62.51
2018-02-26,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,9981.0,19257.04,62.48,62.51,171.88,640.63,62.51
2018-02-27,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,10425.0,2718.69,62.47,62.51,144.33,640.62,62.51
2018-02-28,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,10373.0,19374.69,62.49,62.52,156.2,667.11,62.52
2018-03-01,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,10924.0,13953.55,62.49,62.53,140.65,655.71,62.53
2018-03-02,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,11059.0,44429.63,62.49,62.52,155.98,656.28,62.52
2018-03-05,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,9257.0,2531.46,62.49,62.51,125.04,640.62,62.51
2018-03-06,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,9814.0,19281.74,62.49,62.53,195.65,656.26,62.53
2018-03-07,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,9323.0,12999.86,62.5,62.77,243.69,656.24,62.77
2018-03-08,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,8729.0,19277.58,62.49,62.51,579.3,671.2,62.51
2018-03-09,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,7369.0,19275.46,62.49,62.51,593.75,673.57,62.51
2018-03-12,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,10929.0,19363.39,62.49,62.51,140.72,640.62,62.51
2018-03-13,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,10421.0,21446.86,62.49,62.51,151.78,656.25,62.51
2018-03-14,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,11450.0,19236.69,62.49,62.54,153.06,640.53,62.54
2018-03-15,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,12615.0,19373.18,62.49,62.53,125.02,640.61,62.53
2018-03-16,UcmDbConn,[Common].[GetStandardTitleForAccountTeam],All,9815.0,19359.14,62.49,62.51,535.18,726.87,62.51
