startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Common].[GetTagType],All,380.0,3106.23,62.38,126.44,999.97,1703.13,126.44
2018-02-05,UcmDbConn,[Common].[GetTagType],All,169.0,2218.82,62.5,593.74,1128.78,2000.05,593.74
2018-02-06,UcmDbConn,[Common].[GetTagType],All,181.0,3946.32,62.5,577.66,750.04,1765.66,577.66
2018-02-07,UcmDbConn,[Common].[GetTagType],All,287.0,1703.3,62.5,78.12,655.39,1171.87,78.12
2018-02-08,UcmDbConn,[Common].[GetTagType],All,236.0,3469.16,62.5,593.76,1109.37,1640.65,593.76
2018-02-09,UcmDbConn,[Common].[GetTagType],All,195.0,2077.81,62.48,546.68,656.26,1687.17,546.68
2018-02-12,UcmDbConn,[Common].[GetTagType],All,124.0,1031.18,62.5,78.92,640.58,968.75,78.92
2018-02-13,UcmDbConn,[Common].[GetTagType],All,159.0,2812.38,62.5,78.13,713.74,1140.6,78.13
2018-02-14,UcmDbConn,[Common].[GetTagType],All,170.0,6000.07,62.5,609.36,812.46,4937.84,609.36
2018-02-15,UcmDbConn,[Common].[GetTagType],All,167.0,1156.24,62.49,78.13,656.22,1125.73,78.13
2018-02-16,UcmDbConn,[Common].[GetTagType],All,94.0,671.87,62.27,62.55,593.75,671.87,62.55
2018-02-19,UcmDbConn,[Common].[GetTagType],All,67.0,3046.75,62.49,607.84,1156.15,3046.75,607.84
2018-02-20,UcmDbConn,[Common].[GetTagType],All,145.0,1188.16,62.5,293.24,656.3,1171.93,293.24
2018-02-21,UcmDbConn,[Common].[GetTagType],All,128.0,3264.99,62.5,78.28,810.69,2093.26,78.28
2018-02-22,UcmDbConn,[Common].[GetTagType],All,318.0,3015.65,62.49,78.12,656.35,1171.86,78.12
2018-02-23,UcmDbConn,[Common].[GetTagType],All,112.0,2249.91,62.07,107.75,671.86,1156.25,107.75
2018-02-26,UcmDbConn,[Common].[GetTagType],All,227.0,2234.34,62.49,78.12,671.86,1405.94,78.12
2018-02-27,UcmDbConn,[Common].[GetTagType],All,263.0,2593.7,62.49,64.71,640.62,1156.24,64.71
2018-02-28,UcmDbConn,[Common].[GetTagType],All,190.0,3328.07,62.5,78.12,656.23,1624.97,78.12
2018-03-01,UcmDbConn,[Common].[GetTagType],All,240.0,2203.08,62.5,78.16,670.62,1156.26,78.16
2018-03-02,UcmDbConn,[Common].[GetTagType],All,221.0,2687.45,62.5,109.37,1046.86,1828.09,109.37
2018-03-05,UcmDbConn,[Common].[GetTagType],All,158.0,1843.52,62.5,78.17,718.75,1171.9,78.17
