startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Common].[GetTeamNameForUser],All,3456.0,406.92,15.84,61.27,78.13,111.25,61.27
2018-02-05,UcmDbConn,[Common].[GetTeamNameForUser],All,3296.0,437.37,15.7,62.49,78.13,93.89,62.49
2018-02-06,UcmDbConn,[Common].[GetTeamNameForUser],All,3392.0,1235.87,15.66,31.3,78.12,108.84,31.3
2018-02-07,UcmDbConn,[Common].[GetTeamNameForUser],All,3720.0,530.59,15.66,47.07,78.12,93.88,47.07
2018-02-08,UcmDbConn,[Common].[GetTeamNameForUser],All,3123.0,500.22,15.66,60.2,78.14,109.36,60.2
2018-02-09,UcmDbConn,[Common].[GetTeamNameForUser],All,2763.0,635.52,15.65,31.31,78.12,93.75,31.31
2018-02-12,UcmDbConn,[Common].[GetTeamNameForUser],All,3105.0,1780.97,18.03,62.5,78.13,93.79,62.5
2018-02-13,UcmDbConn,[Common].[GetTeamNameForUser],All,1987.0,1922.75,15.73,62.49,78.13,94.33,62.49
2018-02-14,UcmDbConn,[Common].[GetTeamNameForUser],All,2768.0,1875.03,15.68,62.47,78.12,93.79,62.47
2018-02-15,UcmDbConn,[Common].[GetTeamNameForUser],All,2410.0,312.98,16.26,62.49,78.13,108.8,62.49
2018-02-16,UcmDbConn,[Common].[GetTeamNameForUser],All,2338.0,270.35,15.65,31.26,78.13,93.76,31.26
2018-02-19,UcmDbConn,[Common].[GetTeamNameForUser],All,2478.0,484.42,15.64,31.25,78.12,171.91,31.25
2018-02-20,UcmDbConn,[Common].[GetTeamNameForUser],All,3918.0,3124.31,31.28,63.96,171.87,390.69,63.96
2018-02-21,UcmDbConn,[Common].[GetTeamNameForUser],All,3284.0,328.12,17.57,62.5,78.13,140.63,62.5
2018-02-22,UcmDbConn,[Common].[GetTeamNameForUser],All,4243.0,625.02,15.67,48.49,78.13,93.86,48.49
2018-02-23,UcmDbConn,[Common].[GetTeamNameForUser],All,2782.0,12609.49,15.68,46.85,78.13,109.55,46.85
2018-02-26,UcmDbConn,[Common].[GetTeamNameForUser],All,4613.0,1089.95,15.82,62.48,78.13,109.37,62.48
2018-02-27,UcmDbConn,[Common].[GetTeamNameForUser],All,4872.0,2000.42,15.66,46.77,78.13,109.39,46.77
2018-02-28,UcmDbConn,[Common].[GetTeamNameForUser],All,3305.0,671.89,15.66,31.95,78.12,109.38,31.95
2018-03-01,UcmDbConn,[Common].[GetTeamNameForUser],All,3029.0,625.0,17.65,62.5,78.13,109.39,62.5
2018-03-02,UcmDbConn,[Common].[GetTeamNameForUser],All,2276.0,578.12,15.65,34.78,78.13,131.49,34.78
2018-03-05,UcmDbConn,[Common].[GetTeamNameForUser],All,2667.0,609.36,15.66,35.94,78.13,109.37,35.94
2018-03-06,UcmDbConn,[Common].[GetTeamNameForUser],All,4989.0,735.77,15.66,49.0,78.13,109.31,49.0
2018-03-07,UcmDbConn,[Common].[GetTeamNameForUser],All,3105.0,1156.24,15.68,62.46,78.13,125.0,62.46
2018-03-08,UcmDbConn,[Common].[GetTeamNameForUser],All,4381.0,781.45,15.65,31.94,78.12,109.37,31.94
2018-03-09,UcmDbConn,[Common].[GetTeamNameForUser],All,2609.0,187.5,15.66,45.25,78.13,109.35,45.25
2018-03-12,UcmDbConn,[Common].[GetTeamNameForUser],All,3260.0,827.1,15.66,31.31,78.12,106.76,31.31
2018-03-13,UcmDbConn,[Common].[GetTeamNameForUser],All,3382.0,438.26,15.65,46.64,78.12,109.36,46.64
2018-03-14,UcmDbConn,[Common].[GetTeamNameForUser],All,3452.0,453.16,15.66,62.27,78.12,93.75,62.27
2018-03-15,UcmDbConn,[Common].[GetTeamNameForUser],All,2852.0,562.49,16.4,62.46,78.13,109.37,62.46
2018-03-16,UcmDbConn,[Common].[GetTeamNameForUser],All,2427.0,471.22,15.67,46.97,78.13,109.37,46.97
2018-03-19,UcmDbConn,[Common].[GetTeamNameForUser],All,2849.0,626.8,16.2,61.6,78.13,125.0,61.6
2018-03-20,UcmDbConn,[Common].[GetTeamNameForUser],All,3334.0,333.53,15.75,62.46,78.14,109.38,62.46
2018-03-21,UcmDbConn,[Common].[GetTeamNameForUser],All,3836.0,765.61,15.75,62.41,78.13,125.0,62.41
2018-03-22,UcmDbConn,[Common].[GetTeamNameForUser],All,2808.0,610.88,15.66,31.27,78.12,109.38,31.27
2018-03-23,UcmDbConn,[Common].[GetTeamNameForUser],All,3716.0,781.24,15.65,31.31,78.12,109.38,31.31
2018-03-26,UcmDbConn,[Common].[GetTeamNameForUser],All,2902.0,703.04,15.68,46.87,78.13,94.07,46.87
2018-03-27,UcmDbConn,[Common].[GetTeamNameForUser],All,3764.0,718.74,15.67,47.16,78.13,93.79,47.16
2018-03-28,UcmDbConn,[Common].[GetTeamNameForUser],All,2832.0,640.63,15.67,46.08,78.13,109.38,46.08
2018-03-29,UcmDbConn,[Common].[GetTeamNameForUser],All,3498.0,453.13,15.64,31.24,78.12,125.03,31.24
2018-03-30,UcmDbConn,[Common].[GetTeamNameForUser],All,2388.0,609.33,15.67,47.67,78.13,109.03,47.67
2018-04-02,UcmDbConn,[Common].[GetTeamNameForUser],All,2127.0,609.4,17.86,62.5,78.13,109.38,62.5
2018-04-03,UcmDbConn,[Common].[GetTeamNameForUser],All,3049.0,546.89,15.92,48.6,78.12,108.91,48.6
2018-04-04,UcmDbConn,[Common].[GetTeamNameForUser],All,5113.0,453.17,15.7,62.49,78.13,109.37,62.49
2018-04-05,UcmDbConn,[Common].[GetTeamNameForUser],All,4370.0,342.64,15.66,47.06,78.12,93.76,47.06
2018-04-06,UcmDbConn,[Common].[GetTeamNameForUser],All,2798.0,859.36,15.67,43.19,78.13,171.88,43.19
2018-04-09,UcmDbConn,[Common].[GetTeamNameForUser],All,4031.0,484.37,15.72,62.49,78.12,93.92,62.49
2018-04-10,UcmDbConn,[Common].[GetTeamNameForUser],All,4688.0,1406.16,15.65,31.28,78.12,93.77,31.28
2018-04-11,UcmDbConn,[Common].[GetTeamNameForUser],All,4160.0,656.24,15.65,31.28,78.12,96.66,31.28
2018-04-12,UcmDbConn,[Common].[GetTeamNameForUser],All,3249.0,968.75,16.1,60.53,78.12,93.76,60.53
2018-04-13,UcmDbConn,[Common].[GetTeamNameForUser],All,3332.0,232.3,15.66,46.89,78.12,93.76,46.89
2018-04-16,UcmDbConn,[Common].[GetTeamNameForUser],All,2665.0,484.38,18.43,62.49,78.13,124.98,62.49
2018-04-17,UcmDbConn,[Common].[GetTeamNameForUser],All,2770.0,4080.78,17.69,62.5,78.13,94.17,62.5
2018-04-18,UcmDbConn,[Common].[GetTeamNameForUser],All,3095.0,469.82,18.0,62.5,78.13,109.4,62.5
2018-04-19,UcmDbConn,[Common].[GetTeamNameForUser],All,4611.0,1156.26,15.67,62.3,78.13,105.46,62.3
2018-04-20,UcmDbConn,[Common].[GetTeamNameForUser],All,2943.0,218.79,15.65,31.35,78.12,93.78,31.35
2018-04-23,UcmDbConn,[Common].[GetTeamNameForUser],All,3682.0,374.99,18.78,62.5,93.74,143.99,62.5
2018-04-24,UcmDbConn,[Common].[GetTeamNameForUser],All,3716.0,593.74,29.17,62.5,109.37,187.99,62.5
2018-04-25,UcmDbConn,[Common].[GetTeamNameForUser],All,3057.0,1109.35,18.53,62.5,78.13,109.37,62.5
2018-04-26,UcmDbConn,[Common].[GetTeamNameForUser],All,2276.0,859.47,62.51,78.12,95.29,218.82,78.12
2018-04-27,UcmDbConn,[Common].[GetTeamNameForUser],All,3097.0,1901.61,31.51,62.53,93.75,234.4,62.53
2018-04-30,UcmDbConn,[Common].[GetTeamNameForUser],All,3937.0,1077.36,30.95,62.51,78.14,125.04,62.51
2018-05-01,UcmDbConn,[Common].[GetTeamNameForUser],All,3024.0,860.47,19.36,62.5,78.16,109.38,62.5
2018-05-02,UcmDbConn,[Common].[GetTeamNameForUser],All,3747.0,1265.59,15.68,62.49,78.13,94.82,62.49
2018-05-03,UcmDbConn,[Common].[GetTeamNameForUser],All,3485.0,578.12,17.72,62.5,78.13,109.37,62.5
2018-05-04,UcmDbConn,[Common].[GetTeamNameForUser],All,2514.0,1128.67,16.81,62.47,78.12,102.55,62.47
2018-05-07,UcmDbConn,[Common].[GetTeamNameForUser],All,2915.0,406.36,17.08,62.5,78.14,107.09,62.5
2018-05-08,UcmDbConn,[Common].[GetTeamNameForUser],All,3127.0,624.99,16.16,62.49,78.13,109.32,62.49
2018-05-09,UcmDbConn,[Common].[GetTeamNameForUser],All,3155.0,14924.49,18.92,62.5,78.16,125.0,62.5
2018-05-10,UcmDbConn,[Common].[GetTeamNameForUser],All,3605.0,11984.37,18.37,62.5,92.88,463.38,62.5
2018-05-11,UcmDbConn,[Common].[GetTeamNameForUser],All,2405.0,437.45,19.04,62.5,78.14,140.62,62.5
2018-05-14,UcmDbConn,[Common].[GetTeamNameForUser],All,2607.0,312.52,17.99,62.49,78.17,127.41,62.49
2018-05-15,UcmDbConn,[Common].[GetTeamNameForUser],All,2769.0,2629.4,17.89,62.48,78.16,124.97,62.48
2018-05-16,UcmDbConn,[Common].[GetTeamNameForUser],All,3099.0,24234.6,16.65,62.45,78.13,96.15,62.45
2018-05-17,UcmDbConn,[Common].[GetTeamNameForUser],All,3608.0,656.32,29.17,62.51,78.22,125.02,62.51
2018-05-18,UcmDbConn,[Common].[GetTeamNameForUser],All,2753.0,656.08,17.24,62.5,78.14,106.66,62.5
2018-05-21,UcmDbConn,[Common].[GetTeamNameForUser],All,3556.0,635.69,31.1,62.51,78.16,109.89,62.51
2018-05-22,UcmDbConn,[Common].[GetTeamNameForUser],All,2821.0,437.49,19.42,62.48,78.16,125.01,62.48
2018-05-23,UcmDbConn,[Common].[GetTeamNameForUser],All,3371.0,390.61,19.22,62.5,78.32,140.62,62.5
2018-05-24,UcmDbConn,[Common].[GetTeamNameForUser],All,3530.0,484.8,29.88,62.51,78.15,125.04,62.51
2018-05-25,UcmDbConn,[Common].[GetTeamNameForUser],All,2875.0,765.48,16.57,62.47,78.14,109.37,62.47
2018-05-28,UcmDbConn,[Common].[GetTeamNameForUser],All,1914.0,484.44,15.66,31.28,78.09,81.88,31.28
2018-05-29,UcmDbConn,[Common].[GetTeamNameForUser],All,3807.0,629.12,19.77,62.5,78.15,95.22,62.5
2018-05-30,UcmDbConn,[Common].[GetTeamNameForUser],All,3388.0,296.63,19.55,62.5,78.15,109.36,62.5
2018-05-31,UcmDbConn,[Common].[GetTeamNameForUser],All,3211.0,1093.75,30.34,62.5,93.73,187.51,62.5
2018-06-01,UcmDbConn,[Common].[GetTeamNameForUser],All,2636.0,841.42,31.26,62.52,93.8,140.68,62.52
2018-06-04,UcmDbConn,[Common].[GetTeamNameForUser],All,3407.0,21750.65,46.87,78.11,125.04,234.38,78.11
2018-06-05,UcmDbConn,[Common].[GetTeamNameForUser],All,2896.0,390.62,31.26,62.52,93.78,156.21,62.52
2018-06-06,UcmDbConn,[Common].[GetTeamNameForUser],All,3082.0,469.85,31.25,62.5,96.25,156.27,62.5
2018-06-07,UcmDbConn,[Common].[GetTeamNameForUser],All,2817.0,1109.4,31.26,62.52,93.79,171.8,62.52
2018-06-08,UcmDbConn,[Common].[GetTeamNameForUser],All,2601.0,4749.97,29.96,50.13,78.17,137.38,50.13
2018-06-11,UcmDbConn,[Common].[GetTeamNameForUser],All,2614.0,484.4,31.26,62.5,93.82,171.91,62.5
2018-06-12,UcmDbConn,[Common].[GetTeamNameForUser],All,3378.0,937.84,18.33,46.86,78.15,125.03,46.86
2018-06-13,UcmDbConn,[Common].[GetTeamNameForUser],All,4484.0,1097.33,31.83,62.55,124.99,263.97,62.55
2018-06-14,UcmDbConn,[Common].[GetTeamNameForUser],All,2816.0,359.39,31.25,62.52,125.01,187.49,62.52
2018-06-15,UcmDbConn,[Common].[GetTeamNameForUser],All,2386.0,441.54,25.46,46.87,78.22,155.16,46.87
2018-06-18,UcmDbConn,[Common].[GetTeamNameForUser],All,3313.0,343.75,31.28,62.52,93.76,125.05,62.52
2018-06-19,UcmDbConn,[Common].[GetTeamNameForUser],All,2841.0,595.38,31.22,62.49,93.75,140.63,62.49
