startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Common].[GetTeamsByManager],All,8140.0,19264.41,62.48,62.5,93.73,273.39,62.5
2018-02-05,UcmDbConn,[Common].[GetTeamsByManager],All,9285.0,19269.29,62.47,62.5,78.82,190.14,62.5
2018-02-06,UcmDbConn,[Common].[GetTeamsByManager],All,9889.0,19380.7,62.48,62.51,93.77,249.47,62.51
2018-02-07,UcmDbConn,[Common].[GetTeamsByManager],All,9351.0,19264.62,62.49,62.51,93.75,187.5,62.51
2018-02-08,UcmDbConn,[Common].[GetTeamsByManager],All,9122.0,45822.65,62.49,62.62,93.75,203.13,62.62
2018-02-09,UcmDbConn,[Common].[GetTeamsByManager],All,8431.0,19368.21,62.49,62.51,93.47,172.04,62.51
2018-02-12,UcmDbConn,[Common].[GetTeamsByManager],All,10566.0,12532.46,62.49,62.51,81.05,156.24,62.51
2018-02-13,UcmDbConn,[Common].[GetTeamsByManager],All,6721.0,2124.9,62.49,62.51,93.74,171.87,62.51
2018-02-14,UcmDbConn,[Common].[GetTeamsByManager],All,9302.0,19357.67,62.49,62.51,92.0,164.23,62.51
2018-02-15,UcmDbConn,[Common].[GetTeamsByManager],All,8712.0,22328.37,62.49,62.51,78.84,156.25,62.51
2018-02-16,UcmDbConn,[Common].[GetTeamsByManager],All,7456.0,1359.38,62.48,62.51,78.28,156.23,62.51
2018-02-19,UcmDbConn,[Common].[GetTeamsByManager],All,6066.0,2687.41,62.38,62.5,80.06,218.76,62.5
2018-02-20,UcmDbConn,[Common].[GetTeamsByManager],All,9299.0,2375.16,62.49,62.56,125.51,405.81,62.56
2018-02-21,UcmDbConn,[Common].[GetTeamsByManager],All,9587.0,6626.31,62.49,62.51,93.74,171.87,62.51
2018-02-22,UcmDbConn,[Common].[GetTeamsByManager],All,10179.0,12897.22,62.49,62.51,93.59,171.88,62.51
2018-02-23,UcmDbConn,[Common].[GetTeamsByManager],All,8854.0,19264.77,62.34,62.5,80.34,174.19,62.5
2018-02-26,UcmDbConn,[Common].[GetTeamsByManager],All,11092.0,3765.64,62.48,62.5,90.24,171.87,62.5
2018-02-27,UcmDbConn,[Common].[GetTeamsByManager],All,11366.0,4687.45,62.48,62.5,90.53,140.96,62.5
2018-02-28,UcmDbConn,[Common].[GetTeamsByManager],All,11153.0,19265.33,62.49,62.51,93.74,171.31,62.51
2018-03-01,UcmDbConn,[Common].[GetTeamsByManager],All,11670.0,19265.98,62.49,62.51,93.74,187.44,62.51
2018-03-02,UcmDbConn,[Common].[GetTeamsByManager],All,11680.0,45025.47,62.49,62.51,93.73,188.07,62.51
2018-03-05,UcmDbConn,[Common].[GetTeamsByManager],All,9996.0,1695.85,62.49,62.5,79.48,140.67,62.5
2018-03-06,UcmDbConn,[Common].[GetTeamsByManager],All,10574.0,19281.73,62.49,62.51,93.73,187.34,62.51
2018-03-07,UcmDbConn,[Common].[GetTeamsByManager],All,9966.0,13624.82,62.49,62.51,93.75,219.56,62.51
2018-03-08,UcmDbConn,[Common].[GetTeamsByManager],All,9363.0,19262.06,62.49,62.5,93.74,187.5,62.5
2018-03-09,UcmDbConn,[Common].[GetTeamsByManager],All,7900.0,19275.56,62.49,62.5,80.1,200.04,62.5
2018-03-12,UcmDbConn,[Common].[GetTeamsByManager],All,11811.0,19316.56,62.49,62.5,93.44,171.87,62.5
2018-03-13,UcmDbConn,[Common].[GetTeamsByManager],All,11245.0,21431.27,62.49,62.5,93.74,203.56,62.5
2018-03-14,UcmDbConn,[Common].[GetTeamsByManager],All,12245.0,19237.44,62.49,62.51,93.73,169.29,62.51
2018-03-15,UcmDbConn,[Common].[GetTeamsByManager],All,13385.0,19263.79,62.49,62.51,93.7,172.13,62.51
2018-03-16,UcmDbConn,[Common].[GetTeamsByManager],All,10481.0,19273.58,62.49,62.51,93.74,235.53,62.51
2018-03-19,UcmDbConn,[Common].[GetTeamsByManager],All,8791.0,19273.69,62.49,62.51,93.74,171.82,62.51
2018-03-20,UcmDbConn,[Common].[GetTeamsByManager],All,9763.0,19267.45,62.49,62.51,93.75,188.58,62.51
2018-03-21,UcmDbConn,[Common].[GetTeamsByManager],All,10861.0,19366.83,62.49,62.51,93.73,171.96,62.51
2018-03-22,UcmDbConn,[Common].[GetTeamsByManager],All,9185.0,19265.4,62.49,62.5,81.39,179.35,62.5
2018-03-23,UcmDbConn,[Common].[GetTeamsByManager],All,15205.0,19383.62,62.49,62.51,90.17,156.8,62.51
2018-03-26,UcmDbConn,[Common].[GetTeamsByManager],All,10679.0,19374.2,62.48,62.5,93.74,201.79,62.5
2018-03-27,UcmDbConn,[Common].[GetTeamsByManager],All,14930.0,19380.62,62.49,62.51,93.75,187.49,62.51
2018-03-28,UcmDbConn,[Common].[GetTeamsByManager],All,11921.0,19368.35,62.49,62.51,93.74,171.87,62.51
2018-03-29,UcmDbConn,[Common].[GetTeamsByManager],All,10945.0,19267.91,62.49,62.51,93.75,171.89,62.51
2018-03-30,UcmDbConn,[Common].[GetTeamsByManager],All,11286.0,13062.24,62.5,62.51,93.75,171.87,62.51
2018-04-02,UcmDbConn,[Common].[GetTeamsByManager],All,8049.0,5906.26,62.49,62.51,93.92,405.5,62.51
2018-04-03,UcmDbConn,[Common].[GetTeamsByManager],All,12507.0,19250.82,62.49,62.51,93.74,202.01,62.51
2018-04-04,UcmDbConn,[Common].[GetTeamsByManager],All,12042.0,19268.31,62.49,62.5,93.59,187.49,62.5
2018-04-05,UcmDbConn,[Common].[GetTeamsByManager],All,12161.0,1892.9,62.49,62.5,78.47,155.21,62.5
2018-04-06,UcmDbConn,[Common].[GetTeamsByManager],All,11788.0,19301.14,62.49,62.51,94.26,359.38,62.51
2018-04-09,UcmDbConn,[Common].[GetTeamsByManager],All,10979.0,19269.08,62.48,62.5,79.17,156.25,62.5
2018-04-10,UcmDbConn,[Common].[GetTeamsByManager],All,11431.0,4461.38,62.49,62.51,79.39,156.26,62.51
2018-04-11,UcmDbConn,[Common].[GetTeamsByManager],All,15997.0,19282.44,62.49,62.51,79.02,156.24,62.51
2018-04-12,UcmDbConn,[Common].[GetTeamsByManager],All,12829.0,19379.77,62.49,62.51,93.57,171.89,62.51
2018-04-13,UcmDbConn,[Common].[GetTeamsByManager],All,14550.0,19382.91,62.49,62.51,79.04,156.25,62.51
2018-04-16,UcmDbConn,[Common].[GetTeamsByManager],All,10851.0,11727.29,62.49,62.51,79.8,171.91,62.51
2018-04-17,UcmDbConn,[Common].[GetTeamsByManager],All,16041.0,63610.33,62.49,62.51,78.86,140.73,62.51
2018-04-18,UcmDbConn,[Common].[GetTeamsByManager],All,14189.0,19376.74,62.49,62.51,92.77,156.56,62.51
2018-04-19,UcmDbConn,[Common].[GetTeamsByManager],All,12631.0,19276.2,62.49,62.51,79.65,172.91,62.51
2018-04-20,UcmDbConn,[Common].[GetTeamsByManager],All,10191.0,3359.46,62.49,62.5,78.28,140.59,62.5
2018-04-23,UcmDbConn,[Common].[GetTeamsByManager],All,11513.0,19263.86,62.49,62.51,93.75,203.13,62.51
2018-04-24,UcmDbConn,[Common].[GetTeamsByManager],All,11294.0,6966.88,62.49,62.55,109.31,188.31,62.55
2018-04-25,UcmDbConn,[Common].[GetTeamsByManager],All,16962.0,10133.7,62.5,62.51,78.94,140.63,62.51
2018-04-26,UcmDbConn,[Common].[GetTeamsByManager],All,10667.0,173615.97,62.5,68.85,112.88,593.76,68.85
2018-04-27,UcmDbConn,[Common].[GetTeamsByManager],All,9836.0,19281.04,62.5,62.72,109.37,312.26,62.72
2018-04-30,UcmDbConn,[Common].[GetTeamsByManager],All,9983.0,4609.28,62.49,62.5,79.19,179.89,62.5
2018-05-01,UcmDbConn,[Common].[GetTeamsByManager],All,9809.0,6577.8,62.49,62.5,78.78,156.25,62.5
2018-05-02,UcmDbConn,[Common].[GetTeamsByManager],All,11145.0,19268.62,62.49,62.51,93.11,171.74,62.51
2018-05-03,UcmDbConn,[Common].[GetTeamsByManager],All,12430.0,19273.97,62.49,62.51,93.68,178.21,62.51
2018-05-04,UcmDbConn,[Common].[GetTeamsByManager],All,8999.0,19273.2,62.49,62.5,78.35,187.49,62.5
2018-05-07,UcmDbConn,[Common].[GetTeamsByManager],All,9775.0,1921.85,62.49,62.51,78.68,171.33,62.51
2018-05-08,UcmDbConn,[Common].[GetTeamsByManager],All,10706.0,2446.25,62.49,62.51,91.65,171.13,62.51
2018-05-09,UcmDbConn,[Common].[GetTeamsByManager],All,11380.0,24595.53,62.49,62.51,109.12,693.61,62.51
2018-05-10,UcmDbConn,[Common].[GetTeamsByManager],All,10732.0,401214.69,62.49,64.47,223.64,1719.12,64.47
2018-05-11,UcmDbConn,[Common].[GetTeamsByManager],All,9981.0,337079.89,62.49,62.51,93.75,280.46,62.51
2018-05-14,UcmDbConn,[Common].[GetTeamsByManager],All,10341.0,7231.78,61.86,62.55,87.89,216.55,62.55
2018-05-15,UcmDbConn,[Common].[GetTeamsByManager],All,10111.0,4906.28,62.37,62.53,80.12,177.3,62.53
2018-05-16,UcmDbConn,[Common].[GetTeamsByManager],All,10036.0,12193.34,60.1,62.53,79.9,205.21,62.53
2018-05-17,UcmDbConn,[Common].[GetTeamsByManager],All,9073.0,6406.78,62.43,63.46,93.73,187.42,63.46
2018-05-18,UcmDbConn,[Common].[GetTeamsByManager],All,8085.0,1921.9,59.65,62.52,79.5,174.42,62.52
2018-05-21,UcmDbConn,[Common].[GetTeamsByManager],All,10338.0,3701.44,62.4,62.54,82.47,204.63,62.54
2018-05-22,UcmDbConn,[Common].[GetTeamsByManager],All,10070.0,19364.69,62.2,62.57,80.86,171.37,62.57
2018-05-23,UcmDbConn,[Common].[GetTeamsByManager],All,9969.0,12253.27,61.4,62.53,80.25,171.45,62.53
