startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Common].[GetUcmCustomerResellers],All,391.0,12381.17,4250.22,4777.99,5858.55,10077.74,4777.99
2018-02-05,UcmDbConn,[Common].[GetUcmCustomerResellers],All,173.0,27983.11,4305.18,4732.07,6375.18,9993.29,4732.07
2018-02-06,UcmDbConn,[Common].[GetUcmCustomerResellers],All,202.0,40591.54,4553.93,5218.67,7409.09,40024.84,5218.67
2018-02-07,UcmDbConn,[Common].[GetUcmCustomerResellers],All,297.0,40646.95,4108.21,4672.02,7114.18,40089.38,4672.02
2018-02-08,UcmDbConn,[Common].[GetUcmCustomerResellers],All,248.0,42786.18,4109.38,4609.41,5627.39,8407.12,4609.41
2018-02-09,UcmDbConn,[Common].[GetUcmCustomerResellers],All,209.0,41028.11,3976.96,4537.44,6600.49,40667.5,4537.44
2018-02-12,UcmDbConn,[Common].[GetUcmCustomerResellers],All,130.0,40685.67,4171.36,4688.73,7380.11,40064.56,4688.73
2018-02-13,UcmDbConn,[Common].[GetUcmCustomerResellers],All,163.0,40171.04,4394.96,4924.18,8713.02,19023.79,4924.18
2018-02-14,UcmDbConn,[Common].[GetUcmCustomerResellers],All,174.0,12323.5,4078.16,4562.49,6286.87,12307.89,4562.49
2018-02-15,UcmDbConn,[Common].[GetUcmCustomerResellers],All,180.0,40063.46,4098.56,4671.9,7596.26,40060.85,4671.9
2018-02-16,UcmDbConn,[Common].[GetUcmCustomerResellers],All,103.0,40116.77,4117.9,4718.57,20873.48,40054.7,4718.57
2018-02-19,UcmDbConn,[Common].[GetUcmCustomerResellers],All,67.0,9254.99,4551.66,5250.45,7065.17,9254.99,5250.45
2018-02-20,UcmDbConn,[Common].[GetUcmCustomerResellers],All,151.0,25744.34,5094.14,7498.88,14529.64,23005.29,7498.88
2018-02-21,UcmDbConn,[Common].[GetUcmCustomerResellers],All,131.0,39300.73,4447.56,5303.67,9317.51,18251.65,5303.67
2018-02-22,UcmDbConn,[Common].[GetUcmCustomerResellers],All,331.0,40015.27,4174.22,4720.89,7342.9,17122.12,4720.89
2018-02-23,UcmDbConn,[Common].[GetUcmCustomerResellers],All,113.0,8378.07,4490.32,4947.33,6425.2,7320.67,4947.33
2018-02-26,UcmDbConn,[Common].[GetUcmCustomerResellers],All,234.0,40598.2,4235.87,4868.46,7062.43,15585.58,4868.46
2018-02-27,UcmDbConn,[Common].[GetUcmCustomerResellers],All,273.0,40631.87,4222.0,4800.37,6801.63,40007.67,4800.37
2018-02-28,UcmDbConn,[Common].[GetUcmCustomerResellers],All,202.0,40143.1,4560.87,5162.42,8265.39,12262.36,5162.42
2018-03-01,UcmDbConn,[Common].[GetUcmCustomerResellers],All,248.0,40094.67,4389.16,4937.49,6953.13,40056.76,4937.49
2018-03-02,UcmDbConn,[Common].[GetUcmCustomerResellers],All,236.0,41133.68,4394.84,5084.09,7796.65,40564.11,5084.09
2018-03-05,UcmDbConn,[Common].[GetUcmCustomerResellers],All,163.0,40734.07,4607.56,5092.97,6217.96,40708.24,5092.97
2018-03-06,UcmDbConn,[Common].[GetUcmCustomerResellers],All,309.0,11528.6,4541.63,4961.96,6797.03,9192.53,4961.96
2018-03-07,UcmDbConn,[Common].[GetUcmCustomerResellers],All,161.0,40016.75,4687.8,5562.06,8776.77,40015.07,5562.06
2018-03-08,UcmDbConn,[Common].[GetUcmCustomerResellers],All,280.0,40106.72,4353.66,4931.61,6298.23,9116.96,4931.61
2018-03-09,UcmDbConn,[Common].[GetUcmCustomerResellers],All,144.0,8725.25,4533.42,4999.96,6315.88,8241.4,4999.96
2018-03-12,UcmDbConn,[Common].[GetUcmCustomerResellers],All,241.0,40594.25,4300.73,4895.89,7187.36,13688.34,4895.89
