startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[Common].[GetUserDetailsByUserId],All,90.0,109.26,62.5,62.51,78.12,109.26,62.51
2018-02-05,UcmDbConn,[Common].[GetUserDetailsByUserId],All,75.0,97.71,15.64,62.51,78.15,97.71,62.51
2018-02-06,UcmDbConn,[Common].[GetUserDetailsByUserId],All,61.0,234.41,62.49,62.5,78.16,234.41,62.5
2018-02-07,UcmDbConn,[Common].[GetUserDetailsByUserId],All,53.0,109.4,62.49,69.63,78.13,109.4,69.63
2018-02-08,UcmDbConn,[Common].[GetUserDetailsByUserId],All,68.0,93.73,15.61,15.65,78.12,93.73,15.65
2018-02-09,UcmDbConn,[Common].[GetUserDetailsByUserId],All,46.0,156.25,62.5,78.1,83.26,156.25,78.1
2018-02-12,UcmDbConn,[Common].[GetUserDetailsByUserId],All,52.0,93.76,61.41,62.51,78.17,93.76,62.51
2018-02-13,UcmDbConn,[Common].[GetUserDetailsByUserId],All,43.0,78.14,62.5,62.51,78.13,78.14,62.51
2018-02-14,UcmDbConn,[Common].[GetUserDetailsByUserId],All,54.0,156.25,15.64,62.5,93.78,156.25,62.5
2018-02-15,UcmDbConn,[Common].[GetUserDetailsByUserId],All,61.0,125.0,62.38,77.86,78.15,125.0,77.86
2018-02-16,UcmDbConn,[Common].[GetUserDetailsByUserId],All,82.0,78.13,15.63,62.49,78.12,78.13,62.49
2018-02-19,UcmDbConn,[Common].[GetUserDetailsByUserId],All,37.0,124.99,15.61,31.26,109.38,124.99,31.26
2018-02-20,UcmDbConn,[Common].[GetUserDetailsByUserId],All,72.0,437.49,62.48,62.53,203.09,437.49,62.53
2018-02-21,UcmDbConn,[Common].[GetUserDetailsByUserId],All,80.0,109.39,15.65,62.5,78.13,109.39,62.5
2018-02-22,UcmDbConn,[Common].[GetUserDetailsByUserId],All,54.0,78.13,15.65,62.5,78.11,78.13,62.5
2018-02-23,UcmDbConn,[Common].[GetUserDetailsByUserId],All,63.0,234.34,62.46,62.51,78.12,234.34,62.51
2018-02-26,UcmDbConn,[Common].[GetUserDetailsByUserId],All,65.0,93.75,62.1,62.51,78.13,93.75,62.51
2018-02-27,UcmDbConn,[Common].[GetUserDetailsByUserId],All,74.0,109.38,15.64,62.5,78.13,109.38,62.5
2018-02-28,UcmDbConn,[Common].[GetUserDetailsByUserId],All,91.0,122.63,62.23,62.51,78.12,122.63,62.51
2018-03-01,UcmDbConn,[Common].[GetUserDetailsByUserId],All,86.0,78.13,15.63,62.5,78.11,78.13,62.5
2018-03-02,UcmDbConn,[Common].[GetUserDetailsByUserId],All,51.0,109.38,15.65,62.5,78.13,109.38,62.5
2018-03-05,UcmDbConn,[Common].[GetUserDetailsByUserId],All,33.0,79.69,62.38,62.51,78.13,79.69,62.51
2018-03-06,UcmDbConn,[Common].[GetUserDetailsByUserId],All,101.0,93.76,60.65,62.51,78.13,78.18,62.51
2018-03-07,UcmDbConn,[Common].[GetUserDetailsByUserId],All,75.0,156.25,62.5,62.54,78.13,156.25,62.54
2018-03-08,UcmDbConn,[Common].[GetUserDetailsByUserId],All,104.0,124.99,62.5,62.51,78.12,78.17,62.51
2018-03-09,UcmDbConn,[Common].[GetUserDetailsByUserId],All,64.0,89.68,62.5,62.58,78.12,89.68,62.58
2018-03-12,UcmDbConn,[Common].[GetUserDetailsByUserId],All,96.0,437.49,62.5,62.52,78.32,437.49,62.52
2018-03-13,UcmDbConn,[Common].[GetUserDetailsByUserId],All,93.0,109.38,62.47,62.51,78.13,109.38,62.51
2018-03-14,UcmDbConn,[Common].[GetUserDetailsByUserId],All,102.0,609.4,15.63,62.5,78.12,93.75,62.5
2018-03-15,UcmDbConn,[Common].[GetUserDetailsByUserId],All,84.0,78.14,20.12,62.51,78.12,78.14,62.51
2018-03-16,UcmDbConn,[Common].[GetUserDetailsByUserId],All,52.0,78.14,61.67,62.5,78.13,78.14,62.5
2018-03-19,UcmDbConn,[Common].[GetUserDetailsByUserId],All,43.0,93.75,15.65,62.51,78.13,93.75,62.51
2018-03-20,UcmDbConn,[Common].[GetUserDetailsByUserId],All,42.0,93.75,15.62,61.8,83.61,93.75,61.8
2018-03-21,UcmDbConn,[Common].[GetUserDetailsByUserId],All,67.0,109.41,15.62,62.5,78.15,109.41,62.5
2018-03-22,UcmDbConn,[Common].[GetUserDetailsByUserId],All,41.0,153.76,15.66,62.5,80.64,153.76,62.5
2018-03-23,UcmDbConn,[Common].[GetUserDetailsByUserId],All,55.0,81.01,62.42,62.53,78.14,81.01,62.53
2018-03-26,UcmDbConn,[Common].[GetUserDetailsByUserId],All,115.0,126.18,15.65,62.51,78.16,124.99,62.51
2018-03-27,UcmDbConn,[Common].[GetUserDetailsByUserId],All,90.0,156.24,62.49,62.52,78.18,156.24,62.52
