startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,306.0,40196.89,15.66,62.49,78.15,140.62,62.49
2018-02-05,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,572.0,972.19,15.61,62.47,93.73,171.9,62.47
2018-02-06,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,541.0,374.98,15.69,62.5,93.76,187.53,62.5
2018-02-07,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,445.0,593.74,19.78,62.5,93.73,203.55,62.5
2018-02-08,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,526.0,345.62,15.6,62.46,93.62,140.62,62.46
2018-02-09,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,416.0,281.29,15.64,62.49,78.12,123.45,62.49
2018-02-12,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,542.0,453.12,15.62,62.5,78.13,140.62,62.5
2018-02-13,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,453.0,625.01,30.5,62.5,78.8,158.67,62.5
2018-02-14,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,495.0,269.03,15.6,62.37,78.12,123.53,62.37
2018-02-15,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,445.0,499.91,15.62,62.49,78.12,124.99,62.49
2018-02-16,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,313.0,312.5,15.63,62.49,78.13,140.63,62.49
2018-02-19,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,206.0,218.8,0.0,16.04,78.12,140.64,16.04
2018-02-20,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,593.0,968.83,19.75,62.51,187.48,468.77,62.51
2018-02-21,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,491.0,359.43,15.64,62.5,101.73,281.25,62.5
2018-02-22,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,379.0,438.36,15.63,62.5,93.74,171.92,62.5
2018-02-23,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,379.0,778.2,18.55,62.5,109.47,234.37,62.5
2018-02-26,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,551.0,296.85,15.61,62.45,78.13,171.88,62.45
2018-02-27,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,557.0,1265.61,15.62,62.5,93.74,453.12,62.5
2018-02-28,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,822.0,1546.85,46.87,62.5,109.38,218.75,62.5
2018-03-01,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,676.0,828.2,46.88,62.5,140.62,234.37,62.5
2018-03-02,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,397.0,640.63,15.62,62.49,78.14,171.88,62.49
2018-03-05,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,592.0,349.48,31.24,62.51,78.25,109.37,62.51
2018-03-06,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,435.0,265.62,19.2,62.5,78.15,140.61,62.5
2018-03-07,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,393.0,658.47,46.88,62.5,93.74,164.17,62.5
2018-03-08,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,345.0,313.42,15.65,62.49,78.16,171.76,62.49
2018-03-09,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,420.0,593.74,15.68,62.5,78.13,125.0,62.5
2018-03-12,UcmDbConn,[CompetitorFinder].[GetCompetitorGroupDetailsByOwnerId],All,632.0,500.0,15.62,62.49,93.75,203.14,62.49
