startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[CustomerPlanning].[GetCustomerFileDetails],All,38.0,93.76,62.48,62.5,78.12,93.76,62.5
2018-02-05,UcmDbConn,[CustomerPlanning].[GetCustomerFileDetails],All,349.0,140.64,15.62,62.49,62.76,78.13,62.49
2018-02-06,UcmDbConn,[CustomerPlanning].[GetCustomerFileDetails],All,441.0,373.89,15.61,62.49,78.14,171.88,62.49
2018-02-07,UcmDbConn,[CustomerPlanning].[GetCustomerFileDetails],All,499.0,312.41,15.62,62.5,66.01,171.88,62.5
2018-02-08,UcmDbConn,[CustomerPlanning].[GetCustomerFileDetails],All,324.0,125.0,15.63,62.5,78.13,93.74,62.5
2018-02-09,UcmDbConn,[CustomerPlanning].[GetCustomerFileDetails],All,273.0,171.92,15.6,62.46,62.52,78.13,62.46
2018-02-12,UcmDbConn,[CustomerPlanning].[GetCustomerFileDetails],All,257.0,145.65,0.0,46.49,62.54,78.12,46.49
2018-02-13,UcmDbConn,[CustomerPlanning].[GetCustomerFileDetails],All,158.0,112.4,62.46,62.5,78.13,93.75,62.5
2018-02-14,UcmDbConn,[CustomerPlanning].[GetCustomerFileDetails],All,223.0,171.87,15.75,62.5,78.12,92.9,62.5
2018-02-15,UcmDbConn,[CustomerPlanning].[GetCustomerFileDetails],All,291.0,140.2,15.63,62.5,64.95,93.75,62.5
2018-02-16,UcmDbConn,[CustomerPlanning].[GetCustomerFileDetails],All,183.0,140.7,15.59,62.5,78.05,109.35,62.5
2018-02-19,UcmDbConn,[CustomerPlanning].[GetCustomerFileDetails],All,63.0,466.61,0.0,16.89,62.51,466.61,16.89
2018-02-20,UcmDbConn,[CustomerPlanning].[GetCustomerFileDetails],All,135.0,296.89,62.49,62.51,171.69,281.27,62.51
2018-02-21,UcmDbConn,[CustomerPlanning].[GetCustomerFileDetails],All,133.0,109.36,62.49,62.5,78.15,93.76,62.5
2018-02-22,UcmDbConn,[CustomerPlanning].[GetCustomerFileDetails],All,101.0,203.11,18.57,62.5,62.78,125.01,62.5
