startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[EngagementHistory].[GetCatchAndReleaseEngagementLogV2],All,145.0,217.73,62.52,78.47,125.0,156.25,78.47
2018-02-05,UcmDbConn,[EngagementHistory].[GetCatchAndReleaseEngagementLogV2],All,137.0,453.04,62.5,78.13,125.0,234.34,78.13
2018-02-06,UcmDbConn,[EngagementHistory].[GetCatchAndReleaseEngagementLogV2],All,213.0,281.25,62.51,78.14,125.0,156.25,78.14
2018-02-07,UcmDbConn,[EngagementHistory].[GetCatchAndReleaseEngagementLogV2],All,86.0,187.5,62.51,93.6,109.37,187.5,93.6
2018-02-08,UcmDbConn,[EngagementHistory].[GetCatchAndReleaseEngagementLogV2],All,196.0,187.5,78.12,93.75,124.98,140.66,93.75
2018-02-09,UcmDbConn,[EngagementHistory].[GetCatchAndReleaseEngagementLogV2],All,74.0,109.38,62.39,62.52,93.76,109.38,62.52
2018-02-12,UcmDbConn,[EngagementHistory].[GetCatchAndReleaseEngagementLogV2],All,277.0,375.17,62.51,78.12,109.29,187.9,78.12
2018-02-13,UcmDbConn,[EngagementHistory].[GetCatchAndReleaseEngagementLogV2],All,166.0,218.76,62.51,93.74,129.21,217.15,93.74
2018-02-14,UcmDbConn,[EngagementHistory].[GetCatchAndReleaseEngagementLogV2],All,147.0,156.36,62.5,78.14,109.51,140.62,78.14
2018-02-15,UcmDbConn,[EngagementHistory].[GetCatchAndReleaseEngagementLogV2],All,111.0,203.11,62.51,78.14,109.41,125.02,78.14
2018-02-16,UcmDbConn,[EngagementHistory].[GetCatchAndReleaseEngagementLogV2],All,86.0,171.84,62.56,78.24,109.45,171.84,78.24
2018-02-19,UcmDbConn,[EngagementHistory].[GetCatchAndReleaseEngagementLogV2],All,37.0,175.78,15.63,29.15,124.81,175.78,29.15
2018-02-20,UcmDbConn,[EngagementHistory].[GetCatchAndReleaseEngagementLogV2],All,182.0,484.42,62.51,78.39,171.85,265.66,78.39
2018-02-21,UcmDbConn,[EngagementHistory].[GetCatchAndReleaseEngagementLogV2],All,175.0,312.5,62.51,78.13,125.0,187.56,78.13
2018-02-22,UcmDbConn,[EngagementHistory].[GetCatchAndReleaseEngagementLogV2],All,260.0,391.14,16.0,62.51,109.38,187.55,62.51
