startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[EngagementHistory].[GetClientEngagementDescription],All,143.0,265.63,62.51,78.12,109.38,265.63,78.12
2018-02-05,UcmDbConn,[EngagementHistory].[GetClientEngagementDescription],All,122.0,203.14,62.5,78.1,109.38,203.12,78.1
2018-02-06,UcmDbConn,[EngagementHistory].[GetClientEngagementDescription],All,183.0,421.9,62.51,78.13,156.2,359.36,78.13
2018-02-07,UcmDbConn,[EngagementHistory].[GetClientEngagementDescription],All,64.0,109.38,62.53,78.13,93.79,109.38,78.13
2018-02-08,UcmDbConn,[EngagementHistory].[GetClientEngagementDescription],All,184.0,288.12,78.12,78.17,109.39,171.89,78.17
2018-02-09,UcmDbConn,[EngagementHistory].[GetClientEngagementDescription],All,50.0,265.6,62.5,78.05,94.43,265.6,78.05
2018-02-12,UcmDbConn,[EngagementHistory].[GetClientEngagementDescription],All,271.0,234.36,62.5,77.97,80.49,171.93,77.97
2018-02-13,UcmDbConn,[EngagementHistory].[GetClientEngagementDescription],All,156.0,390.61,62.51,78.12,125.0,249.99,78.12
2018-02-14,UcmDbConn,[EngagementHistory].[GetClientEngagementDescription],All,110.0,281.24,62.52,78.13,93.93,234.4,78.13
2018-02-15,UcmDbConn,[EngagementHistory].[GetClientEngagementDescription],All,95.0,187.5,62.51,78.11,109.37,187.5,78.11
2018-02-16,UcmDbConn,[EngagementHistory].[GetClientEngagementDescription],All,74.0,234.35,62.51,78.12,93.75,234.35,78.12
2018-02-19,UcmDbConn,[EngagementHistory].[GetClientEngagementDescription],All,8.0,78.12,15.66,62.48,78.12,78.12,62.48
2018-02-20,UcmDbConn,[EngagementHistory].[GetClientEngagementDescription],All,162.0,593.76,62.51,78.15,203.11,546.87,78.15
2018-02-21,UcmDbConn,[EngagementHistory].[GetClientEngagementDescription],All,140.0,343.78,62.51,78.12,109.37,234.38,78.12
2018-02-22,UcmDbConn,[EngagementHistory].[GetClientEngagementDescription],All,173.0,1328.06,62.5,77.97,109.45,234.41,77.97
2018-02-23,UcmDbConn,[EngagementHistory].[GetClientEngagementDescription],All,92.0,250.0,62.51,78.12,93.75,250.0,78.12
2018-02-26,UcmDbConn,[EngagementHistory].[GetClientEngagementDescription],All,158.0,185.73,62.51,78.12,108.94,173.2,78.12
