startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmDbConn,[EngagementHistory].[GetClientsLastEngagementDateByCustomerV2],All,13838.0,1625.11,19.46,62.5,93.75,236.08,62.5
2018-02-05,UcmDbConn,[EngagementHistory].[GetClientsLastEngagementDateByCustomerV2],All,13727.0,2765.54,19.45,62.5,93.73,201.16,62.5
2018-02-06,UcmDbConn,[EngagementHistory].[GetClientsLastEngagementDateByCustomerV2],All,13108.0,3312.47,19.1,62.5,96.11,234.36,62.5
2018-02-07,UcmDbConn,[EngagementHistory].[GetClientsLastEngagementDateByCustomerV2],All,14499.0,1588.29,19.11,62.5,93.75,234.39,62.5
2018-02-08,UcmDbConn,[EngagementHistory].[GetClientsLastEngagementDateByCustomerV2],All,12786.0,3203.43,19.05,62.5,93.76,207.27,62.5
2018-02-09,UcmDbConn,[EngagementHistory].[GetClientsLastEngagementDateByCustomerV2],All,10778.0,1155.1,18.4,62.49,78.42,202.37,62.49
2018-02-12,UcmDbConn,[EngagementHistory].[GetClientsLastEngagementDateByCustomerV2],All,12759.0,13605.35,18.82,62.5,90.12,202.68,62.5
2018-02-13,UcmDbConn,[EngagementHistory].[GetClientsLastEngagementDateByCustomerV2],All,9439.0,1572.86,31.14,62.51,93.76,218.75,62.51
2018-02-14,UcmDbConn,[EngagementHistory].[GetClientsLastEngagementDateByCustomerV2],All,11303.0,8124.44,18.65,62.5,92.49,203.1,62.5
2018-02-15,UcmDbConn,[EngagementHistory].[GetClientsLastEngagementDateByCustomerV2],All,10593.0,1062.12,18.59,62.5,93.03,189.14,62.5
2018-02-16,UcmDbConn,[EngagementHistory].[GetClientsLastEngagementDateByCustomerV2],All,9529.0,1359.32,18.71,62.5,78.68,196.23,62.5
2018-02-19,UcmDbConn,[EngagementHistory].[GetClientsLastEngagementDateByCustomerV2],All,7874.0,1078.16,15.95,31.25,78.24,234.09,31.25
2018-02-20,UcmDbConn,[EngagementHistory].[GetClientsLastEngagementDateByCustomerV2],All,12868.0,9057.3,31.04,62.51,156.29,433.57,62.51
2018-02-21,UcmDbConn,[EngagementHistory].[GetClientsLastEngagementDateByCustomerV2],All,12148.0,3308.44,19.49,62.5,93.75,193.3,62.5
2018-02-22,UcmDbConn,[EngagementHistory].[GetClientsLastEngagementDateByCustomerV2],All,12204.0,4906.23,19.49,62.5,93.72,187.94,62.5
2018-02-23,UcmDbConn,[EngagementHistory].[GetClientsLastEngagementDateByCustomerV2],All,10293.0,10937.0,18.74,62.49,91.8,203.14,62.49
